Rnd,Pick,Tm,Name,Pos,Age,G,College/Univ
,,,,,,,
1,1,TAM,Jameis Winston,QB,21,16,Florida St.
,,,,,,,
1,2,TEN,Marcus Mariota,QB,21,12,Oregon
,,,,,,,
1,3,JAX,Dante Fowler Jr.,OLB,21,,Florida
,,,,,,,
1,4,OAK,Amari Cooper,WR,21,16,Alabama
,,,,,,,
1,5,WAS,Brandon Scherff,T,23,16,Iowa
,,,,,,,
1,6,NYJ,Leonard Williams,DE,21,16,USC
,,,,,,,
1,7,CHI,Kevin White,WR,23,,West Virginia
,,,,,,,
1,8,ATL,Vic Beasley,OLB,23,16,Clemson
,,,,,,,
1,9,NYG,Ereck Flowers,T,21,15,Miami (FL)
,,,,,,,
1,10,STL,Todd Gurley,RB,21,13,Georgia
,,,,,,,
1,11,MIN,Trae Waynes,CB,23,15,Michigan St.
,,,,,,,
1,12,CLE,Danny Shelton,NT,22,16,Washington
,,,,,,,
1,13,NOR,Andrus Peat,T,21,12,Stanford
,,,,,,,
1,14,MIA,DeVante Parker,WR,22,15,Louisville
,,,,,,,
1,15,SDG,Melvin Gordon,RB,22,14,Wisconsin
,,,,,,,
1,16,HOU,Kevin Johnson,CB,23,16,Wake Forest
,,,,,,,
1,17,SFO,Arik Armstead,DT,21,16,Oregon
,,,,,,,
1,18,KAN,Marcus Peters,CB,22,16,Washington
,,,,,,,
1,19,CLE,Cameron Erving,C,23,16,Florida St.
,,,,,,,
1,20,PHI,Nelson Agholor,WR,22,13,USC
,,,,,,,
1,21,CIN,Cedric Ogbuehi,T,23,5,Texas A&amp;M
,,,,,,,
1,22,PIT,Bud Dupree,OLB,22,16,Kentucky
,,,,,,,
1,23,DEN,Shane Ray,DE,22,14,Missouri
,,,,,,,
1,24,ARI,D.J. Humphries,T,21,,Florida
,,,,,,,
1,25,CAR,Shaq Thompson,OLB,21,14,Washington
,,,,,,,
1,26,BAL,Breshad Perriman,WR,22,,Central Florida
,,,,,,,
1,27,DAL,Byron Jones,CB,23,16,Connecticut
,,,,,,,
1,28,DET,Laken Tomlinson,G,23,16,Duke
,,,,,,,
1,29,IND,Phillip Dorsett,WR,22,11,Miami (FL)
,,,,,,,
1,30,GNB,Damarious Randall,FS,23,15,Arizona St.
,,,,,,,
1,31,NOR,Stephone Anthony,ILB,23,16,Clemson
,,,,,,,
1,32,NWE,Malcom Brown,DT,21,16,Texas
,,,,,,,
2,33,NYG,Landon Collins,SS,21,16,Alabama
,,,,,,,
2,34,TAM,Donovan Smith,T,22,16,Penn St.
,,,,,,,
2,35,OAK,Mario Edwards,DT,21,14,Florida St.
,,,,,,,
2,36,JAX,T.J. Yeldon,RB,21,12,Alabama
,,,,,,,
2,37,NYJ,Devin Smith,WR,23,10,Ohio St.
,,,,,,,
2,38,WAS,Preston Smith,DE,22,16,Mississippi St.
,,,,,,,
