id,grade
1,P-8
2,P-8
3,P-8
4,K-8
5,P-8
6,P-8
7,K-9
8,6-8
9,9-12
10,P-6
11,6-8
12,P-3
13,3-12
14,5-8
15,1-10
16,K-5
17,K-5
18,P-5
19,K-3
20,K-4
21,P-8
22,K-5
23,6-12
24,9-12
25,P-5
26,P-8
27,K-10
28,P-8
29,P-6
30,P-8
31,P-8
32,P-12
33,K-12
34,P-8
35,P-12
36,9-12
37,K-5
38,P-8
39,K-5
40,K-5
41,P-1
42,6-12
43,K-8
44,6-12
45,P-6
46,P-1
47,5-12
48,1-8
49,K-5
50,K-6
51,P-8
52,9-12
53,P-8
54,P-5
55,K-8
56,K-1
57,6-12
58,9-12
59,P-8
60,9-12
61,6-12
62,P-8
63,P-5
64,5-12
65,1-12
66,P-8
67,K-8
68,P-8
69,6-12
70,P-8
71,P-5
72,P-8
73,P-1
74,P-8
75,9-12
76,K-5
77,P-8
78,P-8
79,P-8
80,9-10
