id,coordinates
1,"(47.51042025500004, -122.26276562799995)"
2,"(47.61118419300004, -122.28800275799995)"
3,"(47.671198606000075, -122.37568393199996)"
4,"(47.62547818300004, -122.30827667399996)"
5,"(47.55063310300005, -122.27991364999997)"
6,"(47.51697570700003, -122.35946395399998)"
7,"(47.51087089100008, -122.25975656099996)"
8,"(47.609618357000045, -122.308640992)"
9,"(47.53826769700004, -122.28405606099994)"
10,"(47.69050261900003, -122.31319531099996)"
11,"(47.68085752800005, -122.32512336599996)"
12,"(47.677248150000025, -122.32231534799996)"
13,"(47.52065571900005, -122.339114113)"
14,"(47.58880002400008, -122.29647558499994)"
15,"(47.61996669400003, -122.33885846399994)"
16,"(47.67745644100006, -122.38474299599994)"
17,"(47.56614859200005, -122.38719025499995)"
18,"(47.596919265000054, -122.30601201299999)"
19,"(47.664760381000065, -122.35247907899998)"
20,"(47.574986531000036, -122.28536135499996)"
21,"(47.69353537300003, -122.28935521999995)"
22,"(47.66410110100003, -122.33117847699998)"
23,"(47.68699883700003, -122.30013291199998)"
24,"(47.56503750600007, -122.38454732599996)"
25,"(47.61806725100007, -122.28675729799994)"
26,"(47.53283766000004, -122.37492741399996)"
27,"(47.66567842400008, -122.31368391399997)"
28,"(47.66023161000004, -122.36416921999995)"
29,"(47.664806672000054, -122.35356919499998)"
30,"(47.663800941000034, -122.33676626399995)"
31,"(47.632387599000026, -122.32072223999995)"
32,"(47.701580756000055, -122.29732953699994)"
33,"(47.622907283000075, -122.28879287899997)"
34,"(47.538873059000025, -122.375636843)"
35,"(47.55909180800006, -122.29275405799996)"
36,"(47.64132161800006, -122.31643691399995)"
37,"(47.719225624000046, -122.32171104999998)"
38,"(47.72154541300006, -122.31392479799996)"
39,"(47.52190441300007, -122.38787410599997)"
40,"(47.69421986200007, -122.31806523499995)"
41,"(47.56052763500003, -122.29107783899997)"
42,"(47.61265937500008, -122.31629868699997)"
43,"(47.67485323900007, -122.29283895299994)"
44,"(47.71071886000004, -122.32022443599999)"
45,"(47.677248150000025, -122.32231534799996)"
46,"(47.638569070000074, -122.36049003)"
47,"(47.731430630000034, -122.32784327799999)"
48,"(47.61337341500007, -122.30928640299999)"
49,"(47.616873190000035, -122.33533240599996)"
50,"(47.60320134800003, -122.30595623399995)"
51,"(47.66368030600006, -122.27324033099995)"
52,"(47.56503750600007, -122.38454732599996)"
53,"(47.68072946700005, -122.28904754099995)"
54,"(47.63931582500004, -122.32034868699998)"
55,"(47.56542100400003, -122.38501808299998)"
56,"(47.677368175000026, -122.35284455799996)"
57,"(47.59628876700003, -122.32426859099996)"
58,"(47.607756351000035, -122.32481339899999)"
59,"(47.69112059200006, -122.32011434399999)"
60,"(47.68891058400004, -122.33552591299997)"
61,"(47.61339106600008, -122.32594232899999)"
62,"(47.71387447800004, -122.35349994099994)"
63,"(47.62169507800007, -122.29231491799999)"
64,"(47.59949202100006, -122.29691214499996)"
65,"(47.699165582000035, -122.31722234299997)"
66,"(47.56341896500004, -122.38508785899995)"
67,"(47.643440690000034, -122.35089961399996)"
68,"(47.55586612600007, -122.31641140799996)"
69,"(47.700629744000025, -122.32486573799997)"
70,"(47.56224453500005, -122.31217720599994)"
71,"(47.66664859500003, -122.31817801899996)"
72,"(47.63442242900004, -122.30792638599996)"
73,"(47.60842417100008, -122.30092573399997)"
74,"(47.68566025400003, -122.31849399699996)"
75,"(47.626443907000066, -122.30429422899999)"
76,"(47.66965404300004, -122.31336034299994)"
77,"(47.68639414100005, -122.357634556)"
78,"(47.64724668500003, -122.39976574299999)"
79,"(47.63110511300005, -122.35813769699996)"
80,"(47.551960371000064, -122.32518291899999)"
