id,classification,Art_Piece_id
1,Sculpture,
2,Sculpture,
3,Sculpture,
4,Structures,
5,Structures,
6,Sculpture,
7,IN PUBLIC: SEATTLE 1991,
8,2-Dimensional,
9,Sculpture,
10,Sculpture,
11,VIDEO Installation,
12,,
13,Sculpture,
14,Sculpture,
15,Sculpture,
16,Bronze,
17,Environments,
18,Sculpture,
19,Mixed Media,
20,Mixed Media,
21,Sculpture,
22,Environments,
23,Sculpture,
24,Environments,
25,Sculpture,
26,Sculpture,
27,2-Dimensional,
28,Sculpture,
29,2-Dimensional,
30,Sculpture,
31,Sculpture,
32,Sculpture,
33,Sculpture,
34,Sculpture,
35,Sculpture,
36,Sculpture,
37,Sculpture,
38,Sculpture,
39,Installation,
40,Sculpture,
41,Sculpture,
42,Installation,
43,Installation,
44,Sculpture,
45,Installation,
46,Sculpture,
47,Sculpture,
48,Sculpture,
49,Sculpture,
50,2-Dimensional,
51,Sculpture,
52,Sculpture,
53,Sculpture,
54,Structures,
55,Sculpture,
56,2-Dimensional,
57,Sculpture,
58,Sculpture,
59,DRAWINGS,
60,Sculpture,
61,Sculpture,
62,Environments,
63,Sculpture,
64,Sculpture,
65,2-Dimensional,
66,2-Dimensional,
67,Structures,
68,Sculpture,
69,Sculpture,
70,Sculpture,
71,Environments,
72,Sculpture,
73,Installation,
74,Sculpture,
75,Installation,
76,Sculpture,
77,Sculpture,
78,Mixed Media,
79,Installation,
80,Mixed Media,
81,Sculptures,
82,Print/PHOTO TRANSFER,
83,Sculpture,
84,Sculptures,
85,Installation,
86,Environments,
87,Environments,
88,Photographs,
89,Structures/Sculpture,
90,VIDEO Installation,
91,Installation,
92,Sculpture,
93,Environments,
94,Sculpture,
95,VIDEO,
96,Installation,
97,Sculpture,
98,Installation,
99,Environments,
100,Infrastructure,
101,Sculpture,
102,Infrastructure,
103,Infrastructure,
104,Infrastructure,
105,Paintings,
106,Sculpture,
107,Structures,
108,Sculpture,
109,Installation,
110,Sculpture,
111,Sculpture,
112,Sculpture,
113,Infrastructure,
114,Infrastructure,
115,Infrastructure,
116,Infrastructure,
117,Infrastructure,
118,Sculpture,
119,Integrated light Installation,
120,Infrastructure,
121,Sculpture,
122,Structures,
123,Structures,
124,Infrastructure,
125,Infrastructure,
126,Sculpture,
127,Installation,
128,Sculpture,
129,2-Dimensional,
130,Mixed Media,
131,Infrastructure,
132,2-Dimensional,
133,Sculpture,
134,Sculpture,
135,Sculpture/FOUNTAIN,
136,Infrastructure,
137,Infrastructure,
138,Structures,
139,Sculpture,
140,Sculpture,
141,Environments,
142,Environments,
143,Environments,
144,Sculpture,
145,Sculpture,
146,Structures,
147,Sculpture,
148,Mixed Media,
149,Mixed Media,
150,Sculpture,
151,Sculpture,
152,Sculpture,
153,Sculpture,
154,Structures,
155,Mixed Media,
156,Structures,
157,Sculpture,
158,Sculpture,
159,Environments,
160,Environments,
161,Sculpture,
162,2-Dimensional,
163,Structures,
164,Sculpture,
165,Sculpture,
166,Sculpture,
167,Sculpture,
168,Sculpture,
169,Sculpture,
170,Sculpture,
171,Sculpture,
172,Sculpture,
173,Sculpture,
174,Sculpture,
175,Environments,
176,Sculpture,
177,Sculpture,
178,Sculpture,
179,Sculpture,
180,Sculpture,
181,Sculpture,
182,Sculpture,
183,Structures,
184,2-Dimensional,
185,Sculpture,
186,Sculpture,
187,Structures,
188,Sculpture,
189,Sculpture,
190,Sculpture,
191,2-Dimensional,
192,Sculpture,
193,Sculpture,
194,Sculpture,
195,Sculpture,
196,2-Dimensional,
197,Sculpture,
198,Sculpture,
199,Structures,
200,Sculpture,
201,Sculpture,
202,Structure,
203,Sculpture,
204,Sculpture,
205,Sculpture,
206,Sculpture,
207,2-Dimensional,
208,Sculpture,
209,2-Dimensional,
210,Sculpture,
211,Environments,
212,Structures,
213,Sculpture,
214,Paintings,
215,Environments,
216,Structures,
217,Sculpture,
218,Sculpture,
219,Sculpture,
220,Sculpture,
221,Sculpture,
222,Environments,
223,2-Dimensional,
224,Sculpture,
225,2-Dimensional,
226,Sculpture,
227,Sculpture,
228,2-Dimensional,
229,2-Dimensional,
230,Structures,
231,,
232,Sculpture,
233,Sculpture,
234,Mixed Media,
235,2-Dimensional,
236,Structures,
237,Sculpture,
238,Sculpture,
239,Sculpture,
240,Sculpture,
241,Structure,
242,Sculpture,
243,2-Dimensional,
244,Sculpture,
245,Sculpture,
246,Sculpture,
247,Sculpture,
248,Sculpture,
249,2-Dimensional,
250,2-Dimensional,
251,Structures,
252,Structures,
253,Sculpture,
254,Sculpture,
255,Sculpture,
256,2-Dimensional,
257,Sculpture,
258,Sculpture,
259,Sculpture,
260,Sculpture,
261,Sculpture,
262,Sculpture,
263,Sculpture,
264,Sculpture,
265,Sculpture,
266,Sculpture,
267,Structures,
268,Sculpture,
269,Sculpture,
270,Sculpture,
271,Sculpture,
272,Sculpture,
273,Sculpture,
274,Sculpture,
275,2-Dimensional,
276,2-Dimensional,
277,Sculpture,
278,Sculpture,
279,Sculpture,
280,Sculpture,
281,Sculpture,
282,Sculpture,
283,Sculpture,
284,Sculpture,
285,Structures,
286,Sculpture,
287,Sculpture,
288,Sculpture,
289,,
290,Sculpture,
291,,
292,Environments,
293,Sculpture,
294,Structures,
295,Sculpture,
296,Sculpture,
297,,
298,,
299,Infrastructure,
300,,
301,Sculpture,
302,Sculpture,
303,Sculpture,
304,Sculpture,
305,Sculpture,
306,Sculpture,
307,,
308,Structures,
309,,
310,Structures,
311,Structures,
312,Structures,
313,MOSAIC,
314,,
315,,
316,Sculpture,
