id,title,description,media,measurements,Public_Art_Data_id
1,Fountain of Wisdom,'',Welded bronze,,
2,Moon Gates,'',,,
3,Seattle Scatter Piece,'',"Concrete, terrazzo",,
4,Renouveau,'',Stained glass,,
5,Second Avenue Additions,'',Permanently sited,,
6,Untitled (Kiosk),'',Mixed media; wood; metal,"108x45x22""",
7,Day/Night,'Lutshootseed and English texts painted on panels  installed on either side of a historical bust of Chief Sealth dedicated to the many transient intertribal native people who live on the streets of Seattle.',Porcelain enamel on steel panel,"42"" X 84"" EACH",
8,East is West,'Wall mural of ceramic and glass tile depicting Filipino history.',Ceramic & glass tile,"12'x14'7x3'2.5""",
9,Little Liberty,'Replica of the Statue of Liberty',Copper alloy,"6'10""x3'6""x2'11""",
10,"Babe, The Phoenix Fairy, and The Magic Grove",'The three artworks for the Faye G. Allen Children's Center are based on a series of folk tale themes found in the folklore section of the Central Library.  ',"Wood, steel, pink foam, paper mache fabric, beads, glitter, acrylic",Babe - .01: 4'h x 8'w x 3.5'd; Phoenix Fairy - .02:  5'h x 6.5'w x 4'd; Magic Grove - .03  4'h x 8'w x 10'd,
11,Astronomy by Day (and Other Oxymorons),"'A two channel video Installation projected on the east wall of the atrium, between levels 6-9.   A series of computer-generated 3D objects viewed from a continuous forward tracking shot that moves almost imperceptibly forward. '","Two-channel video projection, four video projectors with customized wall mounts, two channel synch box, two DVD players and two DVD's","Projector bracket/basket 20"" x 15.5"" x 17""; Wall plate 26"" x 10"" x 4""; Extension Arm from wall approx 37""; vertical shaft on north mount 14 1/4""-south 21 1/4""",
12,I-90 Portal,'',Concrete,,
13,Coelacanths,'',Red granite,"12x18""",
14,Naramore Fountain,'',"Bronze, concrete, aggregate","15'x7'3""",
15,Fortson Square  ,"'.01 Arched windows:  6'9"" L x 5'5"" W (tapering to 4"" W and 10"" D.  .02 Column:  4'9"" L x 9 1/2"" dia. (base) x 7 1/2"" dia (top)--capital for Column     2' L x 2' W x2' D  .03Tin Ceiling Detail: 4 'L x 2' 10"" W x 8"" D  .04 Logs:  (2) 3'6"" L x 1' W x 6"" D (wil'","Recycled architectural artifacts, tile, pavers, brick, cast objects, granite sculpture, concrete and plant materials",see description,
16,Pursuit of Knowledge,'',"4'8""x7'7""x6'",,
17,Westlake Star Axis/Seven Hills,'',Granite; concrete,"30'x2'6x18""",
