id,Address,Longitude,Longitude
1,602 12TH AVE E,-122.31648873,-122.31648873
2,1531 NW 62ND ST,-122.37772097,-122.37772097
3,8455 34TH AVE SW,-122.37558386,-122.37558386
4,550 TERRY AVE N,-122.3367397,-122.3367397
5,4620 S FINDLAY ST,-122.27462171,-122.27462171
6,600 4TH AVE,-122.32972129,-122.32972129
7,1521 NW 50TH ST,-122.37743046,-122.37743046
8,7031 28TH AVE NE,-122.29781792,-122.29781792
9,1809 S LANDER ST,-122.30880057,-122.30880057
10,3623 12TH AVE W,-122.37258012,-122.37258012
11,5335 BALLARD AVE NW,-122.38440336,-122.38440336
12,601 UNION ST,-122.33207691,-122.33207691
13,9369 8TH AVE S,-122.32379627,-122.32379627
14,2037 YALE AVE E,-122.32743718,-122.32743718
15,2037 YALE AVE E,-122.32743718,-122.32743718
16,4513 54TH AVE NE,-122.269978,-122.269978
17,126 NE 57TH ST,-122.32709645,-122.32709645
18,4409 39TH AVE SW,-122.3818434,-122.3818434
19,6511 RAINIER AVE S,-122.27412577,-122.27412577
20,1830 E MERCER ST,-122.30772895,-122.30772895
21,4838 S RAYMOND ST,-122.27101526,-122.27101526
22,818 17TH AVE,-122.30997768,-122.30997768
23,8227 DENSMORE AVE N,-122.33807008,-122.33807008
24,3002 12TH AVE W,-122.3723306,-122.3723306
25,6542 21ST AVE NW,-122.38300685,-122.38300685
26,502 N 71ST ST,-122.35240446,-122.35240446
27,8020 STROUD AVE N,-122.33405346,-122.33405346
28,2915 FUHRMAN AVE E,-122.31792102,-122.31792102
29,2915 FUHRMAN AVE E,-122.31792102,-122.31792102
30,2429A 55TH AVE SW,,
31,3823 40TH AVE SW,-122.38320158,-122.38320158
32,400 DEXTER AVE N,-122.34195684,-122.34195684
33,1919 POST AL,-122.34252101,-122.34252101
34,116 37TH AVE E,-122.28617779,-122.28617779
35,1220 4TH AVE S,-122.32829252,-122.32829252
36,4718 2ND AVE NE,-122.32692883,-122.32692883
37,811 5TH AVE,-122.33119077,-122.33119077
38,3721 SUNNYSIDE AVE N,-122.33059611,-122.33059611
39,9830 ARROWSMITH AVE S,-122.25223486,-122.25223486
40,3733 BELVIDERE AVE SW,-122.37977397,-122.37977397
41,3911 S FERDINAND ST,-122.28293845,-122.28293845
42,1205 E PIKE ST,-122.31644919,-122.31644919
43,10227 42ND AVE SW,-122.38640022,-122.38640022
44,2534 WARREN AVE N,-122.35422037,-122.35422037
45,10126 66TH AVE S,-122.25093357,-122.25093357
46,10126 66TH AVE S,-122.25093357,-122.25093357
47,523 N 68TH ST,-122.35156472,-122.35156472
48,3403 NW 62ND ST,-122.40132095,-122.40132095
49,8633 39TH AVE SW,-122.3822884,-122.3822884
50,5229 S MAYFLOWER ST,-122.26687045,-122.26687045
51,2721 10TH AVE E,-122.32001738,-122.32001738
52,415 N 68TH ST,-122.35366589,-122.35366589
53,415 N 68TH ST,-122.35366589,-122.35366589
54,4300 BROOKLYN AVE NE,-122.31403576,-122.31403576
55,4747 34TH AVE NE,-122.2915675,-122.2915675
56,2621 2ND AVE,-122.34974746,-122.34974746
57,1913 7TH AVE,-122.33749589,-122.33749589
58,1913 7TH AVE,-122.33749589,-122.33749589
59,7414 34TH AVE NW,-122.40021794,-122.40021794
60,2326 CALIFORNIA AVE SW,-122.38612535,-122.38612535
61,7530 DETROIT AVE SW,-122.3378589,-122.3378589
62,7338 44TH AVE SW,-122.38822044,-122.38822044
63,8724 HOLMAN RD NW,-122.37581156,-122.37581156
64,8724 HOLMAN RD NW,-122.37581156,-122.37581156
65,3816 22ND AVE SW,-122.36084374,-122.36084374
66,4225 2ND AVE S,-122.33222511,-122.33222511
67,322 21ST AVE E,-122.30437139,-122.30437139
68,2320 S WARSAW ST,-122.30347684,-122.30347684
69,11 W ALOHA ST,-122.35737496,-122.35737496
70,331 N 84TH ST,-122.35388734,-122.35388734
71,331 N 84TH ST,-122.35388734,-122.35388734
72,3532 45TH AVE NE,-122.27896603,-122.27896603
73,322 21ST AVE E,-122.30437139,-122.30437139
74,318 NE NORTHGATE WAY,-122.32530577,-122.32530577
75,2135 NW 97TH ST,-122.38452127,-122.38452127
76,2135 NW 97TH ST,-122.38452127,-122.38452127
77,8100 8TH AVE S,-122.32270544,-122.32270544
78,9818 ROOSEVELT WAY NE,-122.31736905,-122.31736905
79,9818 ROOSEVELT WAY NE,-122.31736905,-122.31736905
80,6516 12TH AVE NE,-122.31535713,-122.31535713
81,1803 42ND AVE E,-122.27880622,-122.27880622
82,2021 7TH AVE,-122.33836402,-122.33836402
83,3814 NE 95TH ST,-122.28715111,-122.28715111
84,3814 NE 95TH ST,-122.28715111,-122.28715111
85,2545 37TH AVE W,-122.40526305,-122.40526305
86,2001 8TH AVE,-122.33727143,-122.33727143
87,4029 E MADISON ST,-122.28023081,-122.28023081
88,7112 48TH AVE S,-122.27241268,-122.27241268
89,6000 16TH AVE SW,-122.35308846,-122.35308846
90,608 NW 65TH ST,-122.36383881,-122.36383881
91,9728 34TH AVE SW,-122.37529798,-122.37529798
92,9728 34TH AVE SW,-122.37529798,-122.37529798
93,420 N 125TH ST,-122.3532256,-122.3532256
94,5201 RAVENNA AVE NE,-122.30373155,-122.30373155
