id,case_type,description,case_group
1,HOUSING / ZONING,"Bradrick 4.29.16 The garage needs to be repaired, it is open to entry.",VACANT BUILDING
2,HOUSING / ZONING,Bradrick 4.29.16 Exterior Housing violations.,HOUSING
3,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:9; total units occupied:8. Demolition.,TENANT RELOCATION ASSIST ORD
4,TENANT RELOCATION ORDINANCE,Issuance of an Owner's Certification of Exemption.  Total units:  14; total units occupied:  14.  Substantial rehabilitation.,TENANT RELOCATION ASSIST ORD
5,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; total units occupied: 1.  Substantial Rehabilitation.,TENANT RELOCATION ASSIST ORD
6,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units 3; total units occupied: 2.  Demolition.,TENANT RELOCATION ASSIST ORD
7,CITATION,WEEDS AND VEGETATION CODE: Vegetation encroaching on to abutting sidewalk along 9th Avenue NE.,WEEDS AND VEGETATION
8,CONSTRUCTION,Removing approximately the back 1/3 of this 3 bedroom 2 bathroom SFR and deck and remodeling without a permit and inspections.,BUILDING
9,HOUSING / ZONING,Work float behind home and decking replacement occurring without permit.,ZONING
10,HOUSING / ZONING,04/28/16 EO Vacant building violations,VACANT BUILDING
11,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
12,CITATION,WEEDS AND VEGETATION CODE VIOLATION: Vegetation encroaching onto sidewalk.,WEEDS AND VEGETATION
13,HOUSING / ZONING,04/21/16 Vacant building violations,VACANT BUILDING
14,HOUSING / ZONING,04/28/16 EO Vacant building violations,VACANT BUILDING
15,HOUSING / ZONING,04/28/16 DW Observed left ouver construction debris,ZONING
16,HOUSING / ZONING,Housing and Bldg Code Violation,HOUSING
17,HOUSING / ZONING,"Bradrick 4.21.16 Vacant, Open, Violation. I will issue an Emergency Order to Close.",VACANT BUILDING
18,CITATION,rs 04-28-16  Vegetation overgrown onto ROW of street.,WEEDS AND VEGETATION
19,HOUSING / ZONING,04/28/16 EO Vacant building violations,VACANT BUILDING
20,HOUSING / ZONING,04/20/16 Per SPD - Vacant building violations,HOUSING
21,CITATION,04/27/16 DW Observed vegetation overhanging into sidewalk r-o-w,WEEDS AND VEGETATION
