id,address
1,212 E BOSTON ST
2,4532 S HENDERSON ST
3,4524 7TH AVE NE
4,2522 14TH AVE S
5,2003 13TH AVE S
6,1141 N 91ST ST
7,4721 9TH AVE NE
8,6031 38TH AVE SW
9,2822 BOYER AVE E
10,6105 22ND AVE NW
11,8815 RAVENNA AVE NE
12,4719 9TH AVE NE
13,11204 ROOSEVELT WAY NE
14,13759 INTERLAKE AVE N
15,8605 14TH AVE S
16,2026 14TH AVE S
17,3053 FAUNTLEROY AVE SW
18,6501 FRANCIS AVE N
19,13759 INTERLAKE AVE N
20,12040 GREENWOOD AVE N
21,1900 23RD AVE S
22,1900 WESTLAKE AVE N
23,8125 48TH AVE S
24,906 S EDDY ST
25,8152 16TH AVE SW
26,1601 INTERLAKEN PL E
27,7729 15TH AVE SW
28,7503 16TH AVE SW
29,7503 16TH AVE SW
30,1900 WESTLAKE AVE N
31,133 NE 60TH ST
32,5725 25TH AVE NE
33,5634 32ND AVE SW
34,3838 AURORA AVE N
35,14032 RIVIERA PL NE
36,14357 BAGLEY AVE N
37,1226 S TRENTON ST
38,748 11TH AVE E
39,622 RAINIER AVE S
40,9614 RAINIER AVE S
41,1437 S DONOVAN ST
42,14356 MERIDIAN AVE N
43,1706 DEXTER AVE N
44,740 11TH AVE E
45,2448 NE NORTHGATE WAY
46,9032 17TH AVE SW
47,4561 S LUCILE ST
48,7531 13TH AVE SW
49,2700 RAINIER AVE S
50,3919 14TH AVE S
51,3115 WETMORE AVE S
52,9646 53RD AVE S
53,4809 42ND AVE S
54,3409 S JUNEAU ST
55,5519 S FLETCHER ST
56,2016 SW TRENTON ST
57,1220 BOYLSTON AVE
58,1702 DEXTER AVE N
59,1700 DEXTER AVE N
60,6409 BEACON AVE S
61,6714 CARLETON AVE S
62,1500 SW MYRTLE ST
63,11700 SAND POINT WAY NE
64,11700 SAND POINT WAY NE
65,9006 3RD AVE S
66,9034 3RD AVE S
67,4550 S HENDERSON ST
68,822 S CLOVERDALE ST
69,827 S CLOVERDALE ST
70,3945 S ELMGROVE ST
71,714 24TH AVE S
72,714 24TH AVE S
73,1627 SW WEBSTER ST
74,2214 E SPRUCE ST
75,6325 24TH AVE SW
76,2620 NW 56TH ST
77,2616 NW 56TH ST
78,1213 E SHELBY ST
79,4306 SW JUNEAU ST
80,5617 32ND AVE SW
81,5617 32ND AVE SW
82,1922 AIRPORT WAY S
83,5719 S BANGOR ST
84,2027 S WASHINGTON ST
85,5446 32ND AVE SW
86,8400 14TH AVE SW
87,5947 32ND AVE SW
88,9032 17TH AVE SW
89,7118 28TH AVE SW
90,9033 17TH AVE SW
91,1220 S HOLGATE ST
92,3615 NE 115TH ST
93,8157 11TH AVE SW
94,1014 SW PORTLAND ST
95,736 BELMONT PL E
96,6820 51ST AVE S
97,1611 SW WEBSTER ST
98,7719 15TH AVE SW
99,4835 DELRIDGE WAY SW
100,838 28TH AVE S
101,8907 20TH AVE NE
102,2645 NW 90TH ST
103,10010 DENSMORE AVE N
104,6115 S PILGRIM ST
105,9013 6TH AVE NW
106,9013 6TH AVE NW
107,714 N 95TH ST
108,3025 NE 130TH ST
109,9818 ROOSEVELT WAY NE
110,9818 ROOSEVELT WAY NE
111,6301 RAINIER AVE S
112,1917 EASTLAKE AVE E
113,4722 2ND AVE NE
114,3200 E UNION ST
115,1800 E OLIVE WAY
116,1005 NE 72ND ST
117,707 WESTLAKE AVE N
118,2324 W NEWTON ST
119,7740 16TH AVE SW
120,1514 N 40TH ST
121,2236 YALE AVE E
122,1501 S DONOVAN ST
123,9208 12TH AVE SW
124,1040 S DONOVAN ST
125,9028 14TH AVE SW
126,2601 12TH AVE W
127,2001 13TH AVE S
128,5930 34TH AVE SW
129,6420 FLORA AVE S
130,4526 55TH AVE NE
131,6553 DIBBLE AVE NW
132,6553 DIBBLE AVE NW
133,7124 31ST AVE SW
134,816 NW 52ND ST
135,816 NW 52ND ST
136,3528 NE 130TH ST
137,5024 35TH AVE NE
138,5024 35TH AVE NE
139,2145 N 133RD ST
140,346 NW 89TH ST
141,2336 44TH AVE SW
142,612 N 45TH ST
143,207 17TH AVE
144,1740 1ST AVE S
145,1506 NW 61ST ST
146,10535 INTERLAKE AVE N
147,4019 16TH AVE SW
148,2020 S JACKSON ST
149,4808 S FRONTENAC ST
150,621 18TH AVE S
151,9029 16TH AVE SW
152,5134 48TH AVE S
153,5134 48TH AVE S
154,5402 S CLOVERDALE ST
155,114 ALASKAN WAY S
156,2843 NW 91ST ST
157,14327 FREMONT AVE N
158,6224 CARLETON AVE S
159,1311 N 79TH ST
160,4002 NE 135TH ST
161,13029A 3RD AVE NE
162,4405 CORLISS AVE N
163,12340 33RD AVE NE
164,8511 19TH AVE NW
165,8511 19TH AVE NW
166,2201 NW 64TH ST
167,2201 NW 64TH ST
168,6115 S PILGRIM ST
169,3008 NE 95TH ST
170,3925 M L KING JR WAY S
171,6743 15TH AVE NW
172,6215 20TH AVE NW
173,1022 NE 127TH ST
174,1022 NE 127TH ST
175,6118 BEACON AVE S
176,10423 62ND AVE S
177,10423 62ND AVE S
178,4710 UNIVERSITY WAY NE
179,1513 SW HOLDEN ST
180,1513 SW HOLDEN ST
181,7748 16TH AVE SW
182,6759 16TH AVE SW
183,1251 S CLOVERDALE ST
184,723 23RD AVE
185,9238 13TH AVE SW
186,903 UNION ST
187,7951 7TH AVE SW
188,8631 17TH AVE SW
189,8631 17TH AVE SW
190,1432 30TH AVE
191,2211 24TH AVE E
192,1848 WESTLAKE AVE N
193,8029 ASHWORTH AVE N
194,4154 41ST AVE S
195,9462 OLSON PL SW
196,1414 NE 56TH ST
197,1414 NE 56TH ST
198,1441 NW 59TH ST
199,1441 NW 59TH ST
200,903 UNION ST
201,305 ERIE AVE
202,1801 E YESLER WAY
203,9738 14TH AVE NW
204,11907 LAKESIDE PL NE
205,8700 2ND AVE NW
206,1701 37TH AVE
207,12739 LAKE CITY WAY NE
208,9820 TRITON DR NW
209,5908 FAUNTLEROY WAY SW
210,6002 3RD AVE NW
211,6002 3RD AVE NW
212,10015 42ND AVE SW
213,1819 WESTLAKE AVE N
214,1848 WESTLAKE AVE N
215,8004 39TH AVE SW
216,8004 39TH AVE SW
217,1110 14TH AVE
218,1110 14TH AVE
219,3232 FUHRMAN AVE E
220,4740 DELRIDGE WAY SW
221,1110 14TH AVE
222,7713 RAINIER AVE S
223,10340 AURORA AVE N
224,5917 34TH AVE SW
225,6379 DELRIDGE WAY SW
226,1110 14TH AVE
227,6316 22ND AVE SW
228,7509 12TH AVE SW
229,308 22ND AVE S
230,1257 S CLOVERDALE ST
231,214 E BOSTON ST
232,1406 37TH AVE
233,7510 15TH AVE NW
234,4118 20TH AVE SW
235,4348 S HENDERSON ST
236,538 LAKESIDE AVE S
237,1501 26TH AVE S
238,7262 RAINIER AVE S
239,7262 RAINIER AVE S
240,210 NW 101ST ST
241,1509 STURGUS AVE S
242,1509 STURGUS AVE S
243,13306 20TH AVE NE
244,8448 54TH AVE S
245,8448 54TH AVE S
246,9023 38TH AVE S
247,10701 LINDEN AVE N
248,9627 53RD AVE S
249,2711 S LANE ST
250,12209 7TH AVE NW
251,6810 40TH AVE NE
252,1500 16TH AVE
253,5209 RUSSELL AVE NW
254,1010 S DEARBORN ST
255,7942 16TH AVE SW
256,8755 PHINNEY AVE N
257,8759 PHINNEY AVE N
258,8148 16TH AVE SW
259,8148 16TH AVE SW
260,1288 NW BLAKELY CT
261,3638 50TH AVE NE
262,10419 ROOSEVELT WAY NE
263,7515 AURORA AVE N
264,5314 8TH AVE NE
265,7555 25TH AVE NE
266,11813 BEACON AVE S
267,9043 18TH AVE SW
268,9036 4TH AVE SW
269,5016 21ST AVE NE
270,4029 7TH AVE NE
271,172 17TH AVE
272,818 17TH AVE
273,8700 2ND AVE NW
274,5744 37TH AVE NE
275,5744 37TH AVE NE
276,7201 EAST MARGINAL WAY S
277,900 17TH AVE
278,1151 N 94TH ST
279,8512 DIBBLE AVE NW
280,
281,5471 S OTHELLO ST
282,4063 RAINIER AVE S
283,8639 31ST AVE SW
284,2350 N 115TH ST
285,6049 SEAVIEW AVE NW
286,8724 SAND POINT WAY NE
287,8732 SAND POINT WAY NE
288,1507 NE RAVENNA BLVD
289,11045 35TH AVE NE
290,106 CHERRY ST
291,5046 35TH AVE NE
292,5050 35TH AVE NE
293,6546 DIBBLE AVE NW
294,3706 47TH PL NE
295,10784 68TH AVE S
296,719 23RD AVE
297,12242 PALATINE AVE N
298,12242 PALATINE AVE N
299,11025 LAKE CITY WAY NE
300,2551 S RAYMOND ST
301,5921 34TH AVE SW
302,5921 34TH AVE SW
303,524 6TH AVE W
304,3827 33RD AVE SW
305,2500 SW TRENTON ST
306,322 20TH AVE
307,2900 NE BLAKELEY ST
308,801 5TH AVE
309,2305 24TH AVE S
310,5703 40TH AVE NE
311,3813 19TH AVE SW
312,418 NE 92ND ST
313,3652 S ANDOVER ST
314,4201 37TH AVE S
315,8331 WABASH AVE S
316,3227 14TH AVE W
317,1808 24TH AVE E
318,4204 RAINIER AVE S
319,801 5TH AVE
320,3411 35TH AVE SW
321,3844 29TH AVE W
322,5210 18TH AVE SW
323,4515 S ANGELINE ST
324,11524 GREENWOOD AVE N
325,6546 DIBBLE AVE NW
326,121 W MERCER ST
327,5014 19TH AVE NE
328,2703 E UNION ST
329,2328 MINOR AVE E
330,154 NE 115TH ST
331,7701 8TH AVE NW
332,2410 BOYER AVE E
333,417 WARD ST
334,6912 46TH AVE S
335,2401 4TH AVE S
336,12327 PINEHURST WAY NE
337,1214 S WALKER ST
338,2351 10TH AVE E
339,2806 NW 57TH ST
340,2108 N 128TH ST
341,546 NE 88TH ST
342,7510 21ST AVE NE
343,2314 E SPRING ST
344,2609 E JOHN ST
345,410 FEDERAL AVE E
346,5033 49TH AVE S
347,5033 49TH AVE S
348,1257 S CLOVERDALE ST
349,3844 COURTLAND PL S
350,1418 37TH AVE
351,1418 37TH AVE
352,8306 WABASH AVE S
353,14211 37TH AVE NE
354,9022 VALDEZ AVE S
355,4520 21ST AVE NE
356,418 W BARRETT ST
357,1220 BOYLSTON AVE
358,3428 10TH AVE W
359,11338 28TH AVE NE
360,12737 35TH AVE NE
361,11551 4TH AVE NW
362,3418 NE 65TH ST
363,753 N 84TH ST
364,4415 SW JUNEAU ST
365,8050 11TH AVE NW
366,8010 25TH AVE NW
367,6251 5TH AVE NW
368,2350 N 115TH ST
369,11045 35TH AVE NE
370,4116 E MADISON ST
371,1117 W HOWE ST
372,918 W MCGRAW ST
373,357 NW 90TH ST
374,513 19TH AVE
375,8419 GREENWOOD AVE N
376,10131 3RD AVE NW
377,8403 GREENWOOD AVE N
378,8400 8TH AVE NW
379,8400 8TH AVE NW
380,7468 4TH AVE NE
381,213 N 85TH ST
382,3600 26TH PL W
383,2350 N 115TH ST
384,8012 36TH AVE NE
385,UNADDRESSABLE
386,12315 28TH AVE NE
387,4142 SW ELMGROVE ST
388,6722 15TH AVE NW
389,4013 LEARY WAY NW
390,3638 MERIDIAN AVE N
391,3503 SW MONROE ST
392,6249 FLORA AVE S
393,7322 32ND AVE SW
394,3613 S FINDLAY ST
395,7920 RAINIER AVE S
396,7920 RAINIER AVE S
397,2350 N 115TH ST
398,3020 NE 127TH ST
399,14019 32ND AVE NE
400,13034 30TH AVE NE
401,5202 WALLINGFORD AVE N
402,6912 46TH AVE S
403,8801 AURORA AVE N
404,11925 BEACON AVE S
405,7322 18TH AVE SW
406,14100 LINDEN AVE N
407,1427 S HENDERSON ST
408,6901 WEST MARGINAL WAY SW
409,5908 42ND AVE SW
410,UNADDRESSABLE
411,9701 57TH AVE S
412,UNADDRESSABLE
413,2237 NW 59TH ST
414,724 S KENYON ST
415,5016 26TH AVE SW
416,7055 18TH AVE SW
417,8645 22ND AVE SW
418,5021 35TH AVE SW
419,805 23RD AVE
420,1931 13TH AVE W
421,2900 S KING ST
422,7717 52ND AVE S
423,7031 RAINIER AVE S
424,6312 DELRIDGE WAY SW
425,3905 W HOOKER ST
426,2211 41ST AVE SW
427,6324 DELRIDGE WAY SW
428,2350 N 115TH ST
429,12743 30TH AVE NE
430,7539 12TH AVE SW
431,5913 RAINIER AVE S
432,323 BELMONT AVE E
433,4612 STONE WAY N
434,8914 LAKE CITY WAY NE
435,5112 LEARY AVE NW
436,4825 S MYRTLE ST
437,3228 16TH AVE S
438,103 N 73RD ST
439,11303 9TH AVE NE
440,624 W EWING ST
441,4557 50TH AVE SW
442,5913 RAINIER AVE S
443,5913 RAINIER AVE S
444,5913 RAINIER AVE S
445,6511 DELRIDGE WAY SW
446,8400 8TH AVE NW
447,8400 8TH AVE NW
448,4320 AURORA AVE N
449,4550 S HENDERSON ST
450,5101 S ROXBURY ST
451,318 LEE ST
452,313 PROSPECT ST
453,11303 9TH AVE NE
454,1130 GRAND AVE
455,7555 25TH AVE NE
456,4127 SW ORCHARD ST
457,3002 NW 72ND ST
458,2708 39TH AVE SW
459,9028 VALDEZ AVE S
460,4308 EVANSTON AVE N
461,1302 N 143RD ST
462,920 NW 63RD ST
463,4510 21ST AVE NE
464,3907 14TH AVE S
465,14040 LAKE CITY WAY NE
466,3700 S HUDSON ST
467,8600 25TH AVE SW
468,3021 38TH AVE SW
469,4709 37TH AVE NE
470,1127 15TH AVE
471,5625 DELRIDGE WAY SW
472,1815 13TH AVE S
473,3218 CLAREMONT AVE S
474,1725 SW BARTON ST
475,5126 S FINDLAY ST
476,4003 AIRPORT WAY S
477,2500 ELLIOTT AVE
478,6012 12TH AVE S
479,10317 MIDVALE AVE N
480,9103 8TH AVE S
481,433 BELMONT AVE E
482,9240 2ND AVE SW
483,
484,2201 NW 61ST ST
485,8823 10TH AVE SW
486,5565 23RD AVE S
487,7557 15TH AVE SW
488,5565 23RD AVE S
489,3508 S HOLLY ST
490,4211 S CLOVERDALE ST
491,2361 13TH AVE S
492,2106 20TH AVE S
493,2106 20TH AVE S
494,4051 GILMAN AVE W
495,5414 26TH AVE SW
496,6247 35TH AVE NE
497,2524 MAGNOLIA BLVD W
498,2515 NW 65TH ST
499,2051 7TH AVE
500,1517 21ST AVE S
501,2833 10TH AVE E
502,4238 S KENYON ST
503,9103 8TH AVE S
504,5026 20TH AVE NE
505,12556 FREMONT AVE N
506,5612 DELRIDGE WAY SW
507,5612 DELRIDGE WAY SW
508,1911 SW CHARLESTOWN ST
509,3200 PORTAGE BAY PL E
510,5815 20TH AVE NW
511,11279 59TH AVE S
512,2510 NE 140TH ST
513,763 S HOMER ST
514,1110 14TH AVE
515,3100 FAIRVIEW AVE E
516,807 N 40TH ST
517,802 NE 66TH ST
518,1901 45TH AVE SW
519,4607 SW THISTLE ST
520,5619 26TH AVE SW
521,5411 26TH AVE SW
522,2815 NE 60TH ST
523,11541 26TH AVE NE
524,4827 S GRAHAM ST
525,533 N 73RD ST
526,7748 17TH AVE SW
527,2236 SW ORCHARD ST
528,1227 NW 85TH ST
529,2430 W LYNN ST
530,2420 W LYNN PL
531,2446 W LYNN ST
532,2509 W MCGRAW ST
533,2515 W MCGRAW ST
534,5618 DELRIDGE WAY SW
535,7708 16TH AVE SW
536,302 LAKESIDE AVE S
537,4718 38TH AVE NE
538,1765 17TH AVE S
539,4800 20TH AVE NW
540,4238 S KENYON ST
541,2556 S JUNEAU ST
542,2556 S JUNEAU ST
543,8540 23RD AVE NE
544,807 S HENDERSON ST
545,2716 E YESLER WAY
546,3210 NE 91ST ST
547,7955 DELRIDGE WAY SW
548,4309 NE 58TH ST
549,9269 57TH AVE S
550,5209 RUSSELL AVE NW
551,2043 23RD AVE E
552,4804 S SNOQUALMIE ST
553,6213 37TH AVE NE
554,2209 12TH AVE W
555,2311 N 55TH ST
556,3617 WOODLAND PARK AVE N
557,6047 47TH AVE SW
558,10680 62ND AVE S
559,916 25TH AVE
560,4244 7TH AVE NE
561,4307 S WEBSTER ST
562,5235A 11TH AVE NE
563,2223 NE 125TH ST
564,7618 48TH AVE S
565,5659 S AVON ST
566,4238 S KENYON ST
567,1133 24TH AVE S
568,1133 24TH AVE S
569,11045 35TH AVE NE
570,8856 20TH AVE SW
571,2603 E THOMAS ST
572,14011 20TH AVE NE
573,1956 1ST AVE S
574,8856 20TH AVE SW
575,10369 ASHWORTH AVE N
576,3905 W HOOKER ST
577,5909 32ND AVE SW
578,2508 N 50TH ST
579,
580,10118 RENTON AVE S
581,4221 37TH AVE S
582,400 E UNION ST
583,5957 34TH AVE SW
584,326 NE 91ST ST
585,6758 35TH AVE SW
586,1610 N 41ST ST
587,4228 WALLINGFORD AVE N
588,9526 25TH AVE NW
589,1018 9TH AVE
590,908 13TH AVE
591,6520 HIGH POINT DR SW
592,11050 30TH AVE NE
593,3648 24TH AVE W
594,2302 NE NORTHGATE WAY
595,3310 59TH AVE SW
596,1220 S HOLGATE ST
597,2216 NW 60TH ST
598,3632 24TH AVE S
599,5948 28TH AVE S
600,9032 17TH AVE SW
601,809 S HENDERSON ST
602,7725 35TH AVE SW
603,5543 22ND AVE S
604,8430 35TH AVE SW
605,9244 GREENWOOD AVE N
606,3428 25TH AVE W
607,2313 24TH AVE E
608,4221 E NEWTON ST
609,1416 N 46TH ST
610,9444 9TH AVE SW
611,3610 SW 102ND ST
612,9200 42ND AVE NE
613,3850 36TH AVE W
614,12740 26TH AVE NE
615,2731 60TH AVE SW
616,2037 WAVERLY PL N
617,5917 CALIFORNIA AVE SW
618,4089 SW BARTON ST
619,2821 10TH AVE W
620,5008 26TH AVE SW
621,5657 23RD AVE SW
622,5647 23RD AVE SW
623,5635 23RD AVE SW
624,1225 NW ELFORD DR
625,1401 S BENNETT ST
626,1559 S DAWSON ST
627,4908 RAINIER AVE S
628,5559 18TH AVE S
629,7531 12TH AVE SW
630,5559 18TH AVE S
631,9015 9TH AVE SW
632,9005 31ST AVE NW
633,4617 22ND AVE NE
634,4520 21ST AVE NE
635,4018 WOODLAND PARK AVE N
636,4611 22ND AVE NE
637,1726 24TH AVE S
638,8716 SAND POINT WAY NE
639,521 20TH AVE
640,3909 E HOWELL ST
641,1617 30TH AVE
642,1617 30TH AVE
643,4410 37TH AVE SW
644,9001 RENTON AVE S
645,1710 NE NORTHGATE WAY
646,1123 E JOHN ST
647,4410 37TH AVE SW
648,123 12TH AVE E
649,1019 TERRY AVE
650,621 22ND AVE E
651,1617 30TH AVE
652,2629 NE 140TH ST
653,203 BELMONT AVE E
654,1108 9TH AVE W
655,431 27TH AVE E
656,7749 22ND AVE NE
657,9213 26TH AVE SW
658,121 12TH AVE E
659,1507 NE RAVENNA BLVD
660,6536 25TH AVE NE
661,507 MAYNARD AVE S
662,2321 NE 95TH ST
663,7349 DUMAR WAY SW
664,8320 WOLCOTT AVE S
665,1802 SW HOLDEN ST
666,6252 34TH AVE NE
667,1037 S CLOVERDALE ST
668,11709 26TH AVE NE
669,3911 S MORGAN ST
670,820 NW 85TH ST
671,1319 DEXTER AVE N
672,10011 WALLINGFORD AVE N
673,1290 SW ORCHARD ST
674,7332 15TH AVE NW
675,10011 WALLINGFORD AVE N
676,540 N 68TH ST
677,545 N 83RD ST
678,9010 VIEW AVE NW
679,147 NW 80TH ST
680,6531 11TH AVE NW
681,2305 W BERTONA ST
682,621 22ND AVE E
683,11709 26TH AVE NE
684,1308 12TH AVE S
685,3200 NE 137TH ST
686,708 N 92ND ST
687,6741 MURRAY AVE SW
688,919 NW 97TH ST
689,4838E S CHICAGO ST
690,13000 LINDEN AVE N
691,922 NW 63RD ST
692,7538 43RD AVE S
693,3041 NE 143RD ST
694,6707 AURORA AVE N
695,1512 NE NORTHGATE WAY
696,227 29TH AVE E
697,1226 FEDERAL AVE E
698,7323 KEEN WAY N
699,4120 36TH AVE SW
700,1726 NW 64TH ST
701,600 24TH AVE E
702,2603 NW 63RD ST
703,1819 S KING ST
704,3314 FUHRMAN AVE E
705,300 BOREN AVE N
706,5247 21ST AVE NE
707,4228 FREMONT AVE N
708,9050 15TH AVE NW
709,1315 E JEFFERSON ST
710,6701 20TH AVE NW
711,9050 15TH AVE NW
712,922 NW 63RD ST
713,1500 16TH AVE
714,4745 RAVENNA AVE NE
715,1953 8TH AVE W
716,6518 CLEOPATRA PL NW
717,3032 NE 140TH ST
718,4838 S CHICAGO ST
719,9312 51ST AVE S
720,5538 22ND AVE S
721,6821 RAVENNA AVE NE
722,7720 AURORA AVE N
723,953 E UNION ST
724,810 NE 96TH ST
725,1051 E GALER ST
726,7900 RAINIER AVE S
727,3625 BEACH DR SW
728,7910 RAINIER AVE S
729,3022 26TH AVE W
730,2029 24TH AVE S
731,4204 LETITIA AVE S
732,4304 NE 77TH ST
733,7948 16TH AVE SW
734,7500 43RD AVE NE
735,3907 25TH AVE S
736,2102 N 40TH ST
737,1804 SW BARTON ST
738,134 S BRANDON ST
739,3610 INTERLAKE AVE N
740,7758 16TH AVE SW
741,10036 44TH AVE SW
742,2812 E UNION ST
743,6505 34TH AVE NW
744,3041 NE 143RD ST
745,3642 INTERLAKE AVE N
746,1006 E MERCER ST
747,5559 28TH AVE NE
748,5261 UNIVERSITY WAY NE
749,3425 34TH AVE S
750,5212 19TH AVE NE
751,312 NE 52ND ST
752,7547 DIBBLE AVE NW
753,221 24TH AVE E
754,1347 14TH AVE S
755,6215 S RYAN ST
756,312 NE 52ND ST
