id,last_inspection_result,current_status
1,FAILED,OPEN
2,FAILED,OPEN
3,,OPEN
4,,ADMINISTRATIVE CLOSURE
5,,OPEN
6,,OPEN
7,FAILED,OPEN
8,FAILED,OPEN
9,,OPEN
10,FAILED,OPEN
11,FAILED,OPEN
12,FAILED,OPEN
13,FAILED,OPEN
14,FAILED,OPEN
15,FAILED,OPEN
16,FAILED,OPEN
17,FAILED,OPEN
18,FAILED,OPEN
19,FAILED,OPEN
20,FAILED,OPEN
21,FAILED,OPEN
22,FAILED,OPEN
23,FAILED,OPEN
24,,ADMINISTRATIVE CLOSURE
25,FAILED,OPEN
26,FAILED,OPEN
27,,OPEN
28,FAILED,OPEN
29,FAILED,OPEN
30,,OPEN
31,FAILED,OPEN
32,,OPEN
33,FAILED,OPEN
34,FAILED,OPEN
35,,OPEN
36,FAILED,OPEN
37,FAILED,OPEN
38,FAILED,OPEN
39,FAILED,OPEN
40,PASSED,ENFORCED COMPLIANCE
41,FAILED,OPEN
42,FAILED,OPEN
43,FAILED,OPEN
44,FAILED,OPEN
45,FAILED,OPEN
46,FAILED,OPEN
47,FAILED,OPEN
48,FAILED,OPEN
49,FAILED,OPEN
50,FAILED,OPEN
51,FAILED,OPEN
52,FAILED,OPEN
53,FAILED,OPEN
54,FAILED,OPEN
55,FAILED,OPEN
56,FAILED,OPEN
57,FAILED,OPEN
58,FAILED,OPEN
59,FAILED,OPEN
60,FAILED,OPEN
61,FAILED,OPEN
62,FAILED,OPEN
63,FAILED,OPEN
64,FAILED,OPEN
65,FAILED,OPEN
66,FAILED,OPEN
67,FAILED,OPEN
68,FAILED,OPEN
69,,ADMINISTRATIVE CLOSURE
70,FAILED,OPEN
71,FAILED,OPEN
72,FAILED,OPEN
73,,VIOLATION
74,FAILED,OPEN
75,FAILED,OPEN
76,FAILED,OPEN
77,FAILED,OPEN
78,,OPEN
79,FAILED,OPEN
80,FAILED,OPEN
81,FAILED,OPEN
82,FAILED,OPEN
83,FAILED,OPEN
84,FAILED,OPEN
85,FAILED,OPEN
86,FAILED,OPEN
87,FAILED,OPEN
88,FAILED,OPEN
89,FAILED,OPEN
90,FAILED,OPEN
91,FAILED,OPEN
92,FAILED,OPEN
93,FAILED,OPEN
94,FAILED,OPEN
95,,OPEN
96,FAILED,OPEN
97,FAILED,OPEN
98,FAILED,OPEN
99,FAILED,OPEN
100,FAILED,OPEN
101,FAILED,OPEN
102,,OPEN
103,,OPEN
104,FAILED,OPEN
105,FAILED,OPEN
106,FAILED,OPEN
107,FAILED,OPEN
108,FAILED,OPEN
109,FAILED,OPEN
110,FAILED,OPEN
111,FAILED,OPEN
112,,OPEN
113,FAILED,OPEN
114,FAILED,OPEN
115,FAILED,OPEN
116,FAILED,OPEN
117,FAILED,OPEN
118,PASSED,VOLUNTARY COMPLIANCE
119,,OPEN
120,PASSED,VOLUNTARY COMPLIANCE
121,,OPEN
122,FAILED,OPEN
123,,OPEN
124,FAILED,OPEN
125,FAILED,OPEN
126,FAILED,OPEN
127,PASSED,VOLUNTARY COMPLIANCE
128,,OPEN
129,FAILED,OPEN
130,FAILED,OPEN
131,FAILED,OPEN
132,FAILED,OPEN
133,FAILED,OPEN
134,FAILED,OPEN
135,FAILED,OPEN
136,FAILED,OPEN
137,FAILED,OPEN
138,FAILED,OPEN
139,FAILED,OPEN
140,FAILED,OPEN
141,,OPEN
142,,OPEN
143,FAILED,OPEN
144,FAILED,OPEN
145,FAILED,OPEN
146,FAILED,OPEN
147,FAILED,OPEN
148,FAILED,OPEN
149,FAILED,OPEN
150,,OPEN
151,FAILED,OPEN
152,FAILED,OPEN
153,FAILED,OPEN
154,FAILED,OPEN
155,FAILED,OPEN
156,FAILED,OPEN
157,FAILED,OPEN
158,FAILED,OPEN
159,FAILED,OPEN
160,FAILED,OPEN
161,FAILED,OPEN
162,PASSED,VOLUNTARY COMPLIANCE
163,FAILED,OPEN
164,FAILED,OPEN
165,FAILED,OPEN
166,FAILED,OPEN
167,FAILED,OPEN
168,FAILED,OPEN
169,FAILED,OPEN
170,FAILED,OPEN
171,FAILED,OPEN
172,FAILED,OPEN
173,FAILED,OPEN
174,FAILED,OPEN
175,PASSED,VOLUNTARY COMPLIANCE
176,FAILED,OPEN
177,FAILED,OPEN
178,FAILED,OPEN
179,FAILED,OPEN
180,,OPEN
181,FAILED,OPEN
182,FAILED,OPEN
183,,OPEN
184,FAILED,OPEN
185,FAILED,OPEN
186,,OPEN
187,FAILED,OPEN
188,FAILED,OPEN
189,FAILED,OPEN
190,FAILED,OPEN
191,FAILED,ADMINISTRATIVE CLOSURE
