id,street,longitude,latitude,applicant_id
1,6406 28TH AVE NW,-122.39279455,47.67550477,
2,3647 DAYTON AVE N,-122.35261833,47.65318835,
3,13335 1ST AVE NE,-122.32989609,47.72586889,
4,108 E LYNN ST,-122.32665955,47.63990562,
5,5048 SAND POINT WAY NE,-122.28124515,47.66612369,
6,1917 E DENNY WAY,-122.30664238,47.61838071,
7,1717 VALENTINE PL S,-122.30762219,47.5878903,
8,2819 3RD AVE W,-122.36142945,47.64548531,
9,2825 3RD AVE W,-122.36118175,47.645496,
10,819 BOYLSTON AVE,-122.32123566,47.60969807,
11,1443 NW 63RD ST,-122.37548192,47.67432861,
12,1823 20TH AVE,-122.30648659,47.6183645,
13,13525 32ND AVE NE,-122.29478332,47.72741388,
14,13508 RIVIERA PL NE,-122.28073713,47.72663969,
15,8829 2ND AVE S,-122.33212593,47.5237271,
16,8829 2ND AVE S,-122.33212593,47.5237271,
17,6228 CORSON AVE S,-122.32139728,47.54661783,
18,2214 THORNDYKE AVE W,-122.38721159,47.63885306,
19,1756 NW 62ND ST,-122.38133258,47.67402102,
20,2807 3RD AVE W,-122.36119403,47.64526635,
21,3806 22ND AVE SW,-122.36086066,47.56981732,
22,3820 22ND AVE SW,-122.36083373,47.56949873,
23,3400 NW MARKET ST,-122.40137448,47.66882483,
24,3816 22ND AVE SW,-122.36084374,47.56964185,
25,5922 17TH AVE S,-122.31082999,47.54921223,
26,201 EUCLID AVE,-122.28906033,47.60310594,
27,6602 46TH AVE S,-122.27493361,47.54323985,
28,5005 40TH AVE NE,-122.285135,47.66514341,
29,10711 8TH AVE NE,-122.32112242,47.70709662,
30,2838 SW GENESEE ST,-122.3698747,47.56496669,
31,4034 21ST AVE SW,-122.35987327,47.5673438,
32,2216 NW 64TH ST,-122.38555202,47.67551513,
33,2813 3RD AVE W,-122.36115799,47.64532597,
34,3717 S DAWSON ST,-122.28538048,47.55533534,
35,3670 SW OTHELLO ST,-122.38128533,47.53733959,
36,1505 17TH AVE S,-122.31079965,47.58972763,
