id,applicant_id,application_date,decision_date,issue_date
1,,04/29/2016,,
2,,04/29/2016,,
3,,04/29/2016,,
4,,04/28/2016,,
5,,04/28/2016,,
6,,04/27/2016,,
7,,04/27/2016,,
8,,04/27/2016,,
9,,04/27/2016,,
10,,04/27/2016,,
11,,04/27/2016,,
12,,04/27/2016,,
13,,,,
14,,04/25/2016,,
15,,04/25/2016,,
16,,04/25/2016,,
17,,04/25/2016,,
18,,04/25/2016,,
19,,04/25/2016,,
20,,04/25/2016,,
21,,04/25/2016,,
22,,04/25/2016,,
23,,04/25/2016,,
24,,04/22/2016,,
25,,04/21/2016,,
26,,04/21/2016,,
27,,04/21/2016,,
28,,04/21/2016,02/04/2016,02/04/2016
29,,04/21/2016,,
30,,04/20/2016,,
31,,04/19/2016,,
32,,04/19/2016,,
33,,04/19/2016,,
34,,04/19/2016,04/11/2016,04/11/2016
35,,04/18/2016,,
36,,04/18/2016,,
37,,04/18/2016,,
38,,04/18/2016,,
39,,04/18/2016,,
40,,04/18/2016,,
41,,04/18/2016,,
42,,04/16/2016,,
43,,04/16/2016,,
44,,04/15/2016,,
45,,04/15/2016,,
46,,04/14/2016,,
47,,04/14/2016,,
48,,04/14/2016,,
49,,04/14/2016,03/21/2016,03/21/2016
50,,04/13/2016,,
51,,04/12/2016,,
52,,04/12/2016,,
53,,,,
54,,04/12/2016,,
55,,04/12/2016,,
56,,04/12/2016,,
57,,04/11/2016,,
58,,04/11/2016,,
59,,04/11/2016,,
60,,04/11/2016,,
61,,04/08/2016,,
62,,04/08/2016,,
63,,04/07/2016,,
64,,04/07/2016,,
65,,04/07/2016,03/23/2016,03/23/2016
66,,04/07/2016,03/16/2016,03/16/2016
67,,,,
68,,04/06/2016,,
69,,04/06/2016,,
70,,04/06/2016,,
71,,04/06/2016,,
72,,04/06/2016,,
73,,04/05/2016,,
74,,04/05/2016,,
75,,04/05/2016,,
76,,04/04/2016,,
77,,04/04/2016,,
78,,04/04/2016,,
79,,04/04/2016,,
80,,03/27/2016,,
81,,04/04/2016,,
82,,04/04/2016,,
83,,04/04/2016,,
84,,04/01/2016,,
85,,04/01/2016,,
86,,03/31/2016,,
87,,03/31/2016,,
88,,03/31/2016,,
89,,03/31/2016,,
90,,03/31/2016,,
91,,03/31/2016,,
92,,03/30/2016,,
93,,03/30/2016,,
94,,03/30/2016,,
95,,03/30/2016,04/28/2016,04/28/2016
96,,03/30/2016,,
97,,03/29/2016,,
98,,03/29/2016,,
99,,03/29/2016,,
100,,03/29/2016,,
101,,03/28/2016,,
102,,03/28/2016,,
103,,03/28/2016,,
104,,03/28/2016,,
105,,09/15/2015,,
106,,03/25/2016,,
107,,03/25/2016,,
108,,03/25/2016,,
109,,03/25/2016,,
110,,03/24/2016,,
111,,03/24/2016,,
112,,03/23/2016,,
113,,03/23/2016,,
114,,03/22/2016,,
115,,03/22/2016,,
116,,03/22/2016,,
117,,03/22/2016,,
118,,03/21/2016,,
119,,,,
120,,03/21/2016,,
121,,03/21/2016,,
122,,03/18/2016,,
123,,03/18/2016,,
124,,03/18/2016,,
125,,03/17/2016,,
126,,03/17/2016,,
127,,03/17/2016,,
128,,03/17/2016,,
129,,03/17/2016,,
130,,03/16/2016,,
131,,03/16/2016,,
132,,03/16/2016,,
133,,03/16/2016,,
134,,03/16/2016,,
135,,03/16/2016,,
136,,03/16/2016,,
