id,applicant_id,permit_type,decision_type,design_review_included,status
1,,SHORT PLAT,II,N,Application Accepted
2,,SHORT PLAT,II,N,Application Accepted
3,,SHORT PLAT,II,N,Application Accepted
4,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
5,,SHORT PLAT,II,N,Application Accepted
6,,SHORT PLAT,II,N,Application Accepted
7,,SHORT PLAT,II,N,Application Accepted
8,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
9,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
10,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
11,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
12,,SHORT PLAT,II,N,Application Accepted
13,,,II,,CANCELLED
14,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
15,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
16,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
17,,SHORT PLAT,II,N,Application Accepted
18,,SHORT PLAT,II,N,Application Accepted
19,,SHORT PLAT,II,N,Application Accepted
20,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
21,,SHORT PLAT,II,N,Application Accepted
22,,SHORT PLAT,II,N,Application Accepted
23,,SHORT PLAT,II,N,Application Accepted
24,,SHORT PLAT,II,N,Application Accepted
25,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
26,,ENVIRONMENTALLY CRITICAL AREA,II,N,Application Accepted
27,,SHORT PLAT,II,N,Application Accepted
28,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
29,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
30,,SHORT PLAT,II,N,Application Accepted
31,,SPECIAL EXCEPTION,II,N,Application Accepted
32,,SHORT PLAT,II,N,Application Accepted
33,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
34,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
35,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
36,,SHORT PLAT,II,N,Application Accepted
37,,SHORT PLAT,II,N,Application Accepted
38,,SHORT PLAT,II,N,Application Accepted
39,,SHORT PLAT,II,N,Application Accepted
40,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
41,,"COUNCIL ACTION, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",IV,Y,Application Accepted
42,,SHORT PLAT,II,N,Application Accepted
43,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, SHORELINE SPECIAL USE",II,N,Application Accepted
44,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
45,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
46,,SHORT PLAT,II,N,Application Accepted
47,,SHORT PLAT,II,N,Application Accepted
48,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
49,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
50,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
51,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
52,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
53,,DESIGN REVIEW WITH EDG,II,,
54,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
55,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
56,,DESIGN REVIEW WITH EDG,II,Y,Application Accepted
57,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
58,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
59,,SHORT PLAT,II,N,Application Accepted
60,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
61,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
62,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
63,,SHORT PLAT,II,N,Application Accepted
64,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
65,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,Y,Application Accepted
66,,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW",II,N,Application Accepted
67,,,II,,
68,,SHORT PLAT,II,N,Application Accepted
69,,SHORT PLAT,II,N,Application Accepted
70,,SHORT PLAT,II,N,Application Accepted
71,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
72,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
73,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
74,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
75,,SHORT PLAT,II,N,Application Accepted
76,,ADMINISTRATIVE CONDITIONAL USE,II,N,Application Accepted
77,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Application Accepted
78,,SHORT PLAT,II,N,Application Accepted
79,,SHORT PLAT,II,N,Application Accepted
80,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
81,,SEPA THRESHOLD DETERMINATION,II,N,Application Accepted
82,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
83,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Application Accepted
84,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Application Accepted
85,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Application Accepted
86,,SHORT PLAT,II,N,Application Accepted
87,,SHORT PLAT,II,N,Application Accepted
88,,SHORT PLAT,II,N,Application Accepted
89,,SHORT PLAT,II,N,Application Accepted
90,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,Y,Application Accepted
