id,Action Type,Work Type
1,ALTER,Plan Review
2,GRADING,Plan Review
3,ADD/ALT,No plan review
4,ADD/ALT,No plan review
5,ADD/ALT,No plan review
6,ADD/ALT,Plan Review
7,ADD/ALT,Plan Review
8,ADD/ALT,No plan review
9,ADD/ALT,No plan review
10,ADD/ALT,No plan review
11,DEMOLITION,No plan review
12,NEW,Plan Review
13,ADD/ALT,Plan Review
14,ADD/ALT,Plan Review
15,NEW,Plan Review
16,DEMOLITION,No plan review
17,ADD/ALT,Plan Review
18,NEW,Plan Review
19,NEW,Plan Review
20,ADD/ALT,Plan Review
21,ADD/ALT,Plan Review
22,ADD/ALT,Plan Review
23,ADD/ALT,No plan review
24,ALTER,Plan Review
25,ALTER,Plan Review
26,ADD/ALT,No plan review
27,ADD/ALT,No plan review
28,ADD/ALT,No plan review
29,ADD/ALT,No plan review
30,ALTER,Plan Review
31,NEW,Plan Review
32,NEW,Plan Review
33,NEW,Plan Review
34,ADD/ALT,No plan review
35,ADD/ALT,No plan review
36,ADD/ALT,Plan Review
37,NEW,Plan Review
38,DEMOLITION,No plan review
39,ALTER,Plan Review
40,DEMOLITION,No plan review
41,ADD/ALT,Plan Review
42,ADD/ALT,Plan Review
43,ADD/ALT,Plan Review
44,DEMOLITION,No plan review
45,NEW,Plan Review
46,NEW,Plan Review
47,DEMOLITION,No plan review
48,NEW,Plan Review
49,ADD/ALT,Plan Review
50,NEW,Plan Review
51,ADD/ALT,Plan Review
52,ADD/ALT,Plan Review
53,ADD/ALT,Plan Review
54,ADD/ALT,Plan Review
55,NEW,Plan Review
56,ADD/ALT,Plan Review
57,ADD/ALT,No plan review
58,ADD/ALT,No plan review
59,GRADING,Plan Review
60,DEMOLITION,No plan review
61,ADD/ALT,No plan review
62,TREE/VEGETATION MAINT/RESTORE,No plan review
63,TREE/VEGETATION MAINT/RESTORE,No plan review
64,ADD/ALT,No plan review
65,NEW,Plan Review
66,ADD/ALT,No plan review
67,DEMOLITION,No plan review
68,ADD/ALT,No plan review
69,NEW,Plan Review
70,ADD/ALT,No plan review
71,ADD/ALT,No plan review
72,ADD/ALT,Plan Review
73,ADD/ALT,Plan Review
74,ADD/ALT,Plan Review
75,DEMOLITION,No plan review
76,DEMOLITION,No plan review
77,NEW,Plan Review
78,NEW,Plan Review
79,NEW,Plan Review
80,NEW,Plan Review
81,DEMOLITION,No plan review
82,NEW,Plan Review
83,DEMOLITION,No plan review
84,ADD/ALT,Plan Review
85,ADD/ALT,No plan review
86,ADD/ALT,Plan Review
87,NEW,Plan Review
88,NEW,Plan Review
89,NEW,Plan Review
90,DEMOLITION,No plan review
91,ADD/ALT,Plan Review
92,ADD/ALT,Plan Review
93,ADD/ALT,Plan Review
94,ADD/ALT,Plan Review
95,ADD/ALT,Plan Review
96,ADD/ALT,No plan review
97,CURB CUT,No plan review
98,ADD/ALT,No plan review
99,TREE/VEGETATION MAINT/RESTORE,No plan review
100,ADD/ALT,No plan review
101,ADD/ALT,Plan Review
102,ADD/ALT,Plan Review
103,ADD/ALT,No plan review
104,DEMOLITION,No plan review
105,DEMOLITION,No plan review
106,DEMOLITION,No plan review
107,DEMOLITION,No plan review
108,NEW,Plan Review
109,NEW,Plan Review
110,DEMOLITION,No plan review
111,DEMOLITION,No plan review
112,NEW,Plan Review
113,NEW,Plan Review
114,ADD/ALT,Plan Review
115,ADD/ALT,Plan Review
116,ADD/ALT,Plan Review
117,ADD/ALT,Plan Review
118,ADD/ALT,Plan Review
119,ADD/ALT,Plan Review
120,ADD/ALT,Plan Review
121,ADD/ALT,Plan Review
122,ADD/ALT,Plan Review
123,ADD/ALT,Plan Review
124,ADD/ALT,Plan Review
125,ADD/ALT,Plan Review
126,ADD/ALT,Plan Review
127,ADD/ALT,Plan Review
128,NEW,Plan Review
129,ADD/ALT,Plan Review
130,ADD/ALT,Plan Review
131,ADD/ALT,Plan Review
132,ADD/ALT,Plan Review
133,ADD/ALT,No plan review
134,ADD/ALT,No plan review
135,ADD/ALT,No plan review
136,ALTER,Plan Review
137,ALTER,Plan Review
