id,child_desc
1,Play Area
2,
3,
4,
5,
6,
7,Play Area
8,
9,
10,
11,
12,Play Area
13,East
14,West
15,Fire Pit 1
16,
17,
18,Picnic Site #1
19,
20,
21,
22,
23,
24,Softball Field #1
25,Basketball Half Court #1
26,
27,Basketball Half Court #2
28,
29,
30,
31,
32,Soccer Field
33,Tennis Court #1
34,Tennis Court #2
35,
36,
37,Tennis Court #1
38,Tennis Court #2
39,Tennis Court #3
40,Tennis Court #4
41,Tennis Court #5
42,Tennis Court #6
43,
44,
45,
46,
47,
48,
49,Adult Fitness Equipment
50,
51,
52,Play Area
53,Baseball/Softball Field
54,Basketball Full Court #1
55,Basketball Half Court #1
56,
57,Soccer Field
58,
59,
60,
61,Play Area
62,
63,
64,Play Area
65,Baseball/Softball Field #1
66,Baseball/Softball Field #2
67,
68,Play Area
69,
70,Soccer Field
71,Baseball Field #1
72,Baseball Field #2
73,Baseball/Softball Field
74,Basketball Half Court #1
75,Play Area
76,
77,Soccer Field
78,
79,Play Area
80,Baseball/Softball Field
81,Basketball Half Court #1
82,Basketball Half Court #2
83,Play Area
84,
85,
86,Soccer Field
87,
88,Tennis Court #1
89,Tennis Court #2
90,
91,
92,
93,Picnic Site #1
94,Play Area
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,Basketball Full Court #1
109,Basketball Half Court #1
110,Basketball Half Court #2
111,Basketball Half Court #3
112,
113,
114,Picnic Site #1
115,
116,
117,
118,
119,Play Area
120,
121,
122,Baseball/Softball Field #1
123,Baseball/Softball Field #2
124,
125,
126,
127,Soccer Field
128,T-Ball Field #2
129,Tennis Court #1
130,Tennis Court #2
131,Tennis Court #3
132,Tennis Court #4
133,
134,
135,
136,Adult Fitness Equipment
137,
138,Play Area
139,P-patch Community Garden
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,Baseball/Softball Field #1
153,Baseball/Softball Field #2
154,Baseball/Softball Field #3
155,Basketball Full Court #1
156,Basketball Half Court #1
157,Basketball Half Court #2
158,Play Area
159,
160,Soccer Field #1
161,Tennis Court #1
162,Tennis Court #2
163,Basketball Half Court #1
164,Basketball Half Court #2
165,
166,Tennis Court #1
167,Tennis Court #2
168,Basketball Half Court #1
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,Baseball Field #1
179,Softball Field #2
180,
181,
182,
183,
184,
185,
186,Soccer Field
187,Tennis Court #1
188,Tennis Court #2
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,Picnic Site #1
206,Picnic Site #2
207,Picnic Site #3
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,Basketball Half Court #1
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,Basketball Half Court #1
231,Football Field
232,Soccer Field
233,Tennis Court #1
234,Tennis Court #2
235,Tennis Court #3
236,Play Area
237,
238,
239,Baseball/Softball Field #1
