id,name,altname,xPos,yPos,hours,youth_only,lighting,location
1,12th and Howe Play Park,,-122.372985,47.636097,6 a.m. - 10 p.m.,FALSE,FALSE,"1200 W Howe St
(-122.372985, 47.636097)"
2,12th Ave S Viewpoint,,-122.317765,47.577953,6 a.m. - 10 p.m.,FALSE,FALSE,"2821 12TH Ave S
(-122.317765, 47.577953)"
3,14th Ave NW Boat Ramp,,-122.373536,47.660775,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
4,14th Ave NW Boat Ramp,,-122.373536,47.660775,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
5,14th Ave NW Boat Ramp,,-122.373536,47.660775,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4400 14th Ave NW
(-122.373536, 47.660775)"
6,32nd Ave W Boat Launch,,,,4 a.m. - 11:30 p.m.,FALSE,FALSE,
7,6th Ave NW Pocket Park,,,,4 a.m. - 11:30 p.m.,FALSE,FALSE,
8,A. B. Ernst Park,,-122.348826,47.650087,4 a.m. - 11:30 p.m.,FALSE,FALSE,"723 N 35th St
(-122.348826, 47.650087)"
9,A. B. Ernst Park,,-122.348826,47.650087,4 a.m. - 11:30 p.m.,FALSE,FALSE,"723 N 35th St
(-122.348826, 47.650087)"
10,Adams Street Boat Ramp,,,,6 a.m. - 10:00 p.m.,FALSE,FALSE,
11,Adams Street Boat Ramp,,,,6 a.m. - 10:00 p.m.,FALSE,FALSE,
12,Albert Davis Park,,,47.72021,4 a.m. - 11:30 p.m.,FALSE,FALSE,
13,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
14,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
15,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
16,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
17,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
18,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
19,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
20,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
21,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
22,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
23,Alki Beach Park,Luna Park,-122.402173,47.582912,4 a.m.-11:30 p.m.,FALSE,FALSE,"1702 Alki Ave SW
(-122.402173, 47.582912)"
24,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
25,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
26,Belvoir Place,,-122.283215,47.655124,4 a.m. - 11:30 p.m.,FALSE,FALSE,"3659 42nd Ave NE
(-122.283215, 47.655124)"
27,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
28,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
29,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
30,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
31,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
32,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,TRUE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
33,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
34,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
35,Alki Playground,Whale Tail Play Area,-122.4073123,47.57849726,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
36,Alvin Larkins Park,,-122.288745,47.614318,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1504 34TH Ave
(-122.288745, 47.614318)"
37,Amy Yee Tennis Center,,-122.29742,47.584876,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
38,Amy Yee Tennis Center,,-122.29742,47.584876,4 a.m. - 11:30 p.m.,FALSE,FALSE,"2000 Martin Luther King Jr Way S
(-122.29742, 47.584876)"
