id,ApplicationDate,DecisionDate,Appealed,Status
1,04/29/2016,,N,Application Accepted
2,04/29/2016,,N,Application Accepted
3,04/29/2016,,N,Application Accepted
4,04/28/2016,,N,Application Accepted
5,04/28/2016,,N,Application Accepted
6,04/27/2016,,N,Application Accepted
7,04/27/2016,,N,Application Accepted
8,04/27/2016,,N,Application Accepted
9,04/27/2016,,N,Application Accepted
10,04/27/2016,,N,Application Accepted
11,04/27/2016,,N,Application Accepted
12,04/27/2016,,N,Application Accepted
13,,,N,CANCELLED
14,04/25/2016,,N,Application Accepted
15,04/25/2016,,N,Application Accepted
16,04/25/2016,,N,Application Accepted
17,04/25/2016,,N,Application Accepted
18,04/25/2016,,N,Application Accepted
19,04/25/2016,,N,Application Accepted
20,04/25/2016,,N,Application Accepted
21,04/25/2016,,N,Application Accepted
22,04/25/2016,,N,Application Accepted
23,04/25/2016,,N,Application Accepted
24,04/22/2016,,N,Application Accepted
25,04/21/2016,,N,Application Accepted
26,04/21/2016,,N,Application Accepted
27,04/21/2016,,N,Application Accepted
28,04/21/2016,02/04/2016,N,Application Accepted
29,04/21/2016,,N,Application Accepted
30,04/20/2016,,N,Application Accepted
31,04/19/2016,,N,Application Accepted
32,04/19/2016,,N,Application Accepted
33,04/19/2016,,N,Application Accepted
34,04/19/2016,04/11/2016,N,Application Accepted
35,04/18/2016,,N,Application Accepted
36,04/18/2016,,N,Application Accepted
37,04/18/2016,,N,Application Accepted
38,04/18/2016,,N,Application Accepted
39,04/18/2016,,N,Application Accepted
40,04/18/2016,,N,Application Accepted
41,04/18/2016,,N,Application Accepted
42,04/16/2016,,N,Application Accepted
43,04/16/2016,,N,Application Accepted
44,04/15/2016,,N,Application Accepted
45,04/15/2016,,N,Application Accepted
46,04/14/2016,,N,Application Accepted
47,04/14/2016,,N,Application Accepted
48,04/14/2016,,N,Application Accepted
49,04/14/2016,03/21/2016,N,Application Accepted
50,04/13/2016,,N,Application Accepted
51,04/12/2016,,N,Application Accepted
52,04/12/2016,,N,Application Accepted
53,,,N,
54,04/12/2016,,N,Application Accepted
55,04/12/2016,,N,Application Accepted
56,04/12/2016,,N,Application Accepted
57,04/11/2016,,N,Application Accepted
58,04/11/2016,,N,Application Accepted
59,04/11/2016,,N,Application Accepted
60,04/11/2016,,N,Application Accepted
61,04/08/2016,,N,Application Accepted
62,04/08/2016,,N,Application Accepted
63,04/07/2016,,N,Application Accepted
64,04/07/2016,,N,Application Accepted
65,04/07/2016,03/23/2016,N,Application Accepted
66,04/07/2016,03/16/2016,N,Application Accepted
67,,,N,
68,04/06/2016,,N,Application Accepted
69,04/06/2016,,N,Application Accepted
70,04/06/2016,,N,Application Accepted
71,04/06/2016,,N,Application Accepted
72,04/06/2016,,N,Application Accepted
73,04/05/2016,,N,Application Accepted
74,04/05/2016,,N,Application Accepted
75,04/05/2016,,N,Application Accepted
