id,Category,DesignType,DesignIncluded
1,MULTIFAMILY,II,N
2,MULTIFAMILY,II,N
3,MULTIFAMILY,I,N
4,MULTIFAMILY,II,N
5,SINGLE FAMILY / DUPLEX,II,N
6,MULTIFAMILY,II,N
7,SINGLE FAMILY / DUPLEX,II,N
8,MULTIFAMILY,II,N
9,INSTITUTIONAL,II,N
10,MULTIFAMILY,II,Y
11,MULTIFAMILY,II,N
12,,II,
13,SINGLE FAMILY / DUPLEX,I,N
14,SINGLE FAMILY / DUPLEX,I,N
15,SINGLE FAMILY / DUPLEX,I,N
16,SINGLE FAMILY / DUPLEX,II,N
17,MULTIFAMILY,II,N
18,MULTIFAMILY,II,N
19,MULTIFAMILY,II,N
20,SINGLE FAMILY / DUPLEX,II,N
21,SINGLE FAMILY / DUPLEX,II,N
22,MULTIFAMILY,II,N
23,SINGLE FAMILY / DUPLEX,II,N
24,SINGLE FAMILY / DUPLEX,I,N
25,SINGLE FAMILY / DUPLEX,II,N
26,SINGLE FAMILY / DUPLEX,II,N
27,MULTIFAMILY,II,Y
28,COMMERCIAL,II,Y
29,SINGLE FAMILY / DUPLEX,II,N
30,SINGLE FAMILY / DUPLEX,II,N
31,MULTIFAMILY,II,N
32,SINGLE FAMILY / DUPLEX,II,N
33,MULTIFAMILY,II,Y
34,SINGLE FAMILY / DUPLEX,I,N
35,SINGLE FAMILY / DUPLEX,II,N
36,SINGLE FAMILY / DUPLEX,II,N
37,MULTIFAMILY,II,N
38,SINGLE FAMILY / DUPLEX,II,N
39,INSTITUTIONAL,II,N
40,COMMERCIAL,IV,Y
41,MULTIFAMILY,II,N
42,COMMERCIAL,II,N
43,COMMERCIAL,II,N
44,MULTIFAMILY,II,Y
45,SINGLE FAMILY / DUPLEX,II,N
46,MULTIFAMILY,II,N
47,MULTIFAMILY,II,N
48,MULTIFAMILY,II,N
49,COMMERCIAL,II,Y
50,MULTIFAMILY,I,N
51,MULTIFAMILY,I,N
52,COMMERCIAL,II,
53,MULTIFAMILY,I,N
54,COMMERCIAL,II,Y
55,MULTIFAMILY,II,Y
56,SINGLE FAMILY / DUPLEX,I,N
57,COMMERCIAL,II,N
58,SINGLE FAMILY / DUPLEX,II,N
59,COMMERCIAL,II,N
60,SINGLE FAMILY / DUPLEX,I,N
61,COMMERCIAL,II,N
62,MULTIFAMILY,II,N
63,MULTIFAMILY,I,N
64,MULTIFAMILY,II,Y
65,MULTIFAMILY,II,N
66,SINGLE FAMILY / DUPLEX,II,
67,COMMERCIAL,II,N
68,SINGLE FAMILY / DUPLEX,II,N
69,MULTIFAMILY,II,N
70,COMMERCIAL,II,Y
71,COMMERCIAL,II,Y
72,MULTIFAMILY,I,N
73,COMMERCIAL,II,N
74,SINGLE FAMILY / DUPLEX,II,N
75,INSTITUTIONAL,II,N
76,SINGLE FAMILY / DUPLEX,I,N
77,SINGLE FAMILY / DUPLEX,II,N
78,MULTIFAMILY,II,N
79,INDUSTRIAL,II,N
80,MULTIFAMILY,II,N
81,SINGLE FAMILY / DUPLEX,II,N
82,SINGLE FAMILY / DUPLEX,II,N
83,COMMERCIAL,II,Y
84,COMMERCIAL,II,N
85,SINGLE FAMILY / DUPLEX,II,N
86,SINGLE FAMILY / DUPLEX,II,N
87,MULTIFAMILY,II,N
88,MULTIFAMILY,II,N
89,COMMERCIAL,II,Y
90,MULTIFAMILY,II,Y
91,MULTIFAMILY,I,N
92,MULTIFAMILY,II,N
93,COMMERCIAL,II,N
94,MULTIFAMILY,II,N
95,COMMERCIAL,II,N
96,SINGLE FAMILY / DUPLEX,I,N
97,SINGLE FAMILY / DUPLEX,II,N
98,MULTIFAMILY,II,N
99,COMMERCIAL,II,Y
100,MULTIFAMILY,II,N
101,SINGLE FAMILY / DUPLEX,II,N
102,COMMERCIAL,II,N
103,SINGLE FAMILY / DUPLEX,II,N
104,SINGLE FAMILY / DUPLEX,II,N
105,SINGLE FAMILY / DUPLEX,I,N
106,MULTIFAMILY,II,N
107,SINGLE FAMILY / DUPLEX,II,N
108,MULTIFAMILY,II,N
109,COMMERCIAL,I,N
110,COMMERCIAL,II,N
111,SINGLE FAMILY / DUPLEX,I,N
112,MULTIFAMILY,II,N
113,MULTIFAMILY,II,N
114,SINGLE FAMILY / DUPLEX,II,N
115,COMMERCIAL,II,N
116,COMMERCIAL,II,N
117,MULTIFAMILY,II,N
118,,,
119,SINGLE FAMILY / DUPLEX,II,N
120,MULTIFAMILY,II,N
121,SINGLE FAMILY / DUPLEX,II,N
122,SINGLE FAMILY / DUPLEX,I,N
123,SINGLE FAMILY / DUPLEX,II,N
124,SINGLE FAMILY / DUPLEX,II,N
125,SINGLE FAMILY / DUPLEX,II,N
126,SINGLE FAMILY / DUPLEX,II,N
127,MULTIFAMILY,II,Y
128,MULTIFAMILY,II,Y
129,MULTIFAMILY,II,N
130,SINGLE FAMILY / DUPLEX,II,N
131,MULTIFAMILY,II,N
132,COMMERCIAL,II,N
133,MULTIFAMILY,II,N
134,COMMERCIAL,II,Y
135,INDUSTRIAL,II,N
136,MULTIFAMILY,II,Y
137,MULTIFAMILY,I,N
138,SINGLE FAMILY / DUPLEX,,N
139,SINGLE FAMILY / DUPLEX,II,N
140,COMMERCIAL,II,Y
141,MULTIFAMILY,II,N
142,SINGLE FAMILY / DUPLEX,II,N
143,SINGLE FAMILY / DUPLEX,II,N
144,MULTIFAMILY,II,N
145,,II,
146,MULTIFAMILY,II,N
147,MULTIFAMILY,II,N
148,MULTIFAMILY,II,N
149,MULTIFAMILY,II,N
150,COMMERCIAL,II,Y
151,SINGLE FAMILY / DUPLEX,II,N
152,MULTIFAMILY,I,N
153,MULTIFAMILY,II,N
154,MULTIFAMILY,II,N
155,MULTIFAMILY,II,N
156,MULTIFAMILY,II,N
157,MULTIFAMILY,II,Y
158,MULTIFAMILY,II,
159,MULTIFAMILY,II,N
160,SINGLE FAMILY / DUPLEX,II,N
161,MULTIFAMILY,II,
162,MULTIFAMILY,II,N
163,MULTIFAMILY,II,N
164,MULTIFAMILY,II,Y
165,INDUSTRIAL,II,N
166,COMMERCIAL,II,N
167,MULTIFAMILY,II,N
168,SINGLE FAMILY / DUPLEX,II,N
169,MULTIFAMILY,II,Y
170,COMMERCIAL,II,Y
171,MULTIFAMILY,I,N
172,SINGLE FAMILY / DUPLEX,II,N
173,MULTIFAMILY,II,N
174,SINGLE FAMILY / DUPLEX,II,N
175,MULTIFAMILY,II,N
176,MULTIFAMILY,II,N
177,MULTIFAMILY,II,N
178,SINGLE FAMILY / DUPLEX,II,N
179,SINGLE FAMILY / DUPLEX,II,N
180,MULTIFAMILY,I,N
181,SINGLE FAMILY / DUPLEX,II,N
182,SINGLE FAMILY / DUPLEX,II,N
183,SINGLE FAMILY / DUPLEX,II,N
184,SINGLE FAMILY / DUPLEX,II,N
185,MULTIFAMILY,I,N
186,SINGLE FAMILY / DUPLEX,II,N
187,MULTIFAMILY,II,N
188,INDUSTRIAL,I,N
189,SINGLE FAMILY / DUPLEX,II,N
190,COMMERCIAL,II,N
191,COMMERCIAL,II,Y
192,SINGLE FAMILY / DUPLEX,II,N
193,MULTIFAMILY,II,N
194,MULTIFAMILY,II,Y
195,MULTIFAMILY,IV,Y
196,SINGLE FAMILY / DUPLEX,I,N
197,MULTIFAMILY,II,N
198,SINGLE FAMILY / DUPLEX,II,N
199,MULTIFAMILY,II,N
200,MULTIFAMILY,II,N
201,SINGLE FAMILY / DUPLEX,I,N
202,INSTITUTIONAL,II,N
203,SINGLE FAMILY / DUPLEX,II,N
204,MULTIFAMILY,II,N
205,SINGLE FAMILY / DUPLEX,II,N
206,COMMERCIAL,II,Y
207,COMMERCIAL,II,Y
208,SINGLE FAMILY / DUPLEX,II,N
209,SINGLE FAMILY / DUPLEX,II,N
210,INSTITUTIONAL,II,N
211,MULTIFAMILY,II,N
212,SINGLE FAMILY / DUPLEX,II,N
213,SINGLE FAMILY / DUPLEX,II,N
214,SINGLE FAMILY / DUPLEX,II,N
215,SINGLE FAMILY / DUPLEX,II,N
216,SINGLE FAMILY / DUPLEX,I,N
217,COMMERCIAL,II,N
218,MULTIFAMILY,II,N
219,MULTIFAMILY,II,N
220,MULTIFAMILY,II,N
221,SINGLE FAMILY / DUPLEX,II,N
222,SINGLE FAMILY / DUPLEX,II,N
223,MULTIFAMILY,II,Y
224,SINGLE FAMILY / DUPLEX,II,
225,SINGLE FAMILY / DUPLEX,II,N
226,MULTIFAMILY,II,N
227,COMMERCIAL,II,N
228,COMMERCIAL,II,N
229,SINGLE FAMILY / DUPLEX,II,N
230,MULTIFAMILY,II,N
231,SINGLE FAMILY / DUPLEX,II,N
232,MULTIFAMILY,II,N
233,SINGLE FAMILY / DUPLEX,I,N
234,MULTIFAMILY,II,N
235,MULTIFAMILY,II,N
236,SINGLE FAMILY / DUPLEX,I,N
237,MULTIFAMILY,II,N
238,MULTIFAMILY,II,N
239,MULTIFAMILY,II,Y
240,COMMERCIAL,II,Y
241,COMMERCIAL,II,Y
242,MULTIFAMILY,II,Y
243,COMMERCIAL,II,Y
244,MULTIFAMILY,II,N
245,MULTIFAMILY,II,N
246,SINGLE FAMILY / DUPLEX,II,N
247,MULTIFAMILY,II,N
248,MULTIFAMILY,II,N
249,MULTIFAMILY,II,N
250,MULTIFAMILY,II,N
251,MULTIFAMILY,II,N
252,SINGLE FAMILY / DUPLEX,I,N
253,SINGLE FAMILY / DUPLEX,I,N
254,SINGLE FAMILY / DUPLEX,II,N
255,SINGLE FAMILY / DUPLEX,II,N
256,MULTIFAMILY,II,N
257,MULTIFAMILY,II,N
258,MULTIFAMILY,II,N
259,COMMERCIAL,I,N
260,COMMERCIAL,I,N
