id,Address,Latitude,Longitude
1,6406 28TH AVE NW,47.67550477,-122.39279455
2,3647 DAYTON AVE N,47.65318835,-122.35261833
3,13335 1ST AVE NE,47.72586889,-122.32989609
4,108 E LYNN ST,47.63990562,-122.32665955
5,5048 SAND POINT WAY NE,47.66612369,-122.28124515
6,1917 E DENNY WAY,47.61838071,-122.30664238
7,1717 VALENTINE PL S,47.5878903,-122.30762219
8,2819 3RD AVE W,47.64548531,-122.36142945
9,2825 3RD AVE W,47.645496,-122.36118175
10,819 BOYLSTON AVE,47.60969807,-122.32123566
11,1443 NW 63RD ST,47.67432861,-122.37548192
12,1823 20TH AVE,47.6183645,-122.30648659
13,13525 32ND AVE NE,47.72741388,-122.29478332
14,13508 RIVIERA PL NE,47.72663969,-122.28073713
15,8829 2ND AVE S,47.5237271,-122.33212593
16,8829 2ND AVE S,47.5237271,-122.33212593
17,6228 CORSON AVE S,47.54661783,-122.32139728
18,2214 THORNDYKE AVE W,47.63885306,-122.38721159
19,1756 NW 62ND ST,47.67402102,-122.38133258
20,2807 3RD AVE W,47.64526635,-122.36119403
21,3806 22ND AVE SW,47.56981732,-122.36086066
22,3820 22ND AVE SW,47.56949873,-122.36083373
23,3400 NW MARKET ST,47.66882483,-122.40137448
24,3816 22ND AVE SW,47.56964185,-122.36084374
25,5922 17TH AVE S,47.54921223,-122.31082999
26,201 EUCLID AVE,47.60310594,-122.28906033
27,6602 46TH AVE S,47.54323985,-122.27493361
28,5005 40TH AVE NE,47.66514341,-122.285135
29,10711 8TH AVE NE,47.70709662,-122.32112242
30,2838 SW GENESEE ST,47.56496669,-122.3698747
31,4034 21ST AVE SW,47.5673438,-122.35987327
32,2216 NW 64TH ST,47.67551513,-122.38555202
33,2813 3RD AVE W,47.64532597,-122.36115799
34,3717 S DAWSON ST,47.55533534,-122.28538048
35,3670 SW OTHELLO ST,47.53733959,-122.38128533
36,1505 17TH AVE S,47.58972763,-122.31079965
37,4611 EVANSTON AVE N,47.6625775,-122.3517584
38,4107 DELRIDGE WAY SW,47.56623365,-122.36370956
39,416 W FULTON ST,47.64596131,-122.36300868
40,7103 AURORA AVE N,47.68051454,-122.34553983
41,601 AURORA AVE N,47.62495325,-122.34409944
42,2358 FRANKLIN AVE E,47.64137454,-122.32443756
43,801 ALASKAN WAY,47.60166252,-122.33766756
44,13718 32ND AVE NE,47.72900199,-122.29321793
45,2417 NW 57TH ST,47.66999032,-122.38852532
46,4408 CORLISS AVE N,47.66062138,-122.33106106
47,11502 GREENWOOD AVE N,47.71250742,-122.3550567
48,213 W KINNEAR PL,47.62753282,-122.35987352
49,2037 YALE AVE E,47.63784874,-122.32743718
50,4218 ROOSEVELT WAY NE,47.65895242,-122.31750982
51,4138 25TH AVE SW,47.56540138,-122.36413674
52,4138 25TH AVE SW,47.56540138,-122.36413674
53,12570 33RD AVE NE,47.72109291,-122.29218451
54,5954 36TH AVE S,47.54825954,-122.28764377
