id,Type,Description,Value
3022009,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6446157. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3023985,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 2,499 sq. ft. and B) 2,500 sq. ft. Existing structure to be demolished.",$0.00
3023516,SHORT PLAT,Land use application to subdivide one development site into four unit lots. The construction of residential units are under Project #6437897. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024002,LOT BOUNDARY ADJUSTMENT PLAT,"Land Use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A)4,082 sq. ft.; B)2521 sq. ft.. The existing stucture on proposed parcel A is to remain and the structure on proposed Parcel B is to be demolished.",$0.00
3023848,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6430745. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3022275,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is under Project #6457058. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3024204,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is under Project #6501311. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots. An environmental review was conducted under 3021245.,$0.00
3023887,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow two, 3-story single family residences in an environmentally critical area. Parking for two vehicles to be provided in attached garages. To be considered with project #3023886 for shared access. Environmental review includes future unit lot subdivision.",$320000.00
3023886,SEPA THRESHOLD DETERMINATION,Land Use Application to allow a 5-unit rowhouse structure in an environmentally critical area. Parking for five vehicles to be provided. To be considered with project #3023887 for shared access. Environmental review includes future unit lot subdivision.,$680000.00
3023733,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow the installation of two above ground oxygen tanks (13,000 gallon and 3,000 gallon) and tank enclosures on a new concrete platform (Swedish Medical Center, 1st Hill Campus). Review includes demolishing existing 2-story, 11,000 sq. ft. medical office building (Marion Clinic). Surface parking for six vehicles will be provided.",$50000.00
3022416,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 4-story, apartment building with 30 small efficiency dwelling units. No parking is proposed. Existing structures to be demolished.",$200000.00
3022276,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units is under Project #6431324. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3015242,,CANCELLED DUE TO INACTIVITY-1/28/15-RC,$0.00
3024200,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: X) 3,988 sq. ft. Y) 5,132 sq. ft.",$0.00
3023935,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 5 parcels of land. Proposed parcel sizes are: A) 3,750 sq. ft.; B) 3,750 sq. ft.; C) 3,780 sq. ft.; D) 3,752 sq. ft. and E) 3,781 sq. ft.",$0.00
