id,Category
1,
2,SINGLE FAMILY / DUPLEX
3,SINGLE FAMILY / DUPLEX
4,COMMERCIAL
5,INSTITUTIONAL
6,COMMERCIAL
7,INDUSTRIAL
8,SINGLE FAMILY / DUPLEX
9,SINGLE FAMILY / DUPLEX
10,SINGLE FAMILY / DUPLEX
11,COMMERCIAL
12,COMMERCIAL
13,INDUSTRIAL
14,MULTIFAMILY
15,SINGLE FAMILY / DUPLEX
16,SINGLE FAMILY / DUPLEX
17,SINGLE FAMILY / DUPLEX
18,SINGLE FAMILY / DUPLEX
19,MULTIFAMILY
20,COMMERCIAL
21,SINGLE FAMILY / DUPLEX
22,SINGLE FAMILY / DUPLEX
23,SINGLE FAMILY / DUPLEX
24,SINGLE FAMILY / DUPLEX
25,SINGLE FAMILY / DUPLEX
26,SINGLE FAMILY / DUPLEX
27,SINGLE FAMILY / DUPLEX
28,COMMERCIAL
29,COMMERCIAL
30,SINGLE FAMILY / DUPLEX
31,SINGLE FAMILY / DUPLEX
32,COMMERCIAL
33,COMMERCIAL
34,SINGLE FAMILY / DUPLEX
35,INDUSTRIAL
36,SINGLE FAMILY / DUPLEX
37,COMMERCIAL
38,SINGLE FAMILY / DUPLEX
39,SINGLE FAMILY / DUPLEX
40,SINGLE FAMILY / DUPLEX
41,SINGLE FAMILY / DUPLEX
42,SINGLE FAMILY / DUPLEX
43,SINGLE FAMILY / DUPLEX
44,SINGLE FAMILY / DUPLEX
45,SINGLE FAMILY / DUPLEX
46,SINGLE FAMILY / DUPLEX
47,SINGLE FAMILY / DUPLEX
48,SINGLE FAMILY / DUPLEX
49,SINGLE FAMILY / DUPLEX
50,SINGLE FAMILY / DUPLEX
51,SINGLE FAMILY / DUPLEX
52,SINGLE FAMILY / DUPLEX
53,SINGLE FAMILY / DUPLEX
54,COMMERCIAL
55,SINGLE FAMILY / DUPLEX
56,COMMERCIAL
57,COMMERCIAL
58,COMMERCIAL
59,SINGLE FAMILY / DUPLEX
60,COMMERCIAL
61,COMMERCIAL
62,SINGLE FAMILY / DUPLEX
63,COMMERCIAL
64,COMMERCIAL
65,SINGLE FAMILY / DUPLEX
66,INDUSTRIAL
67,SINGLE FAMILY / DUPLEX
68,
69,MULTIFAMILY
70,SINGLE FAMILY / DUPLEX
71,SINGLE FAMILY / DUPLEX
72,SINGLE FAMILY / DUPLEX
73,SINGLE FAMILY / DUPLEX
74,COMMERCIAL
75,SINGLE FAMILY / DUPLEX
76,SINGLE FAMILY / DUPLEX
77,COMMERCIAL
78,SINGLE FAMILY / DUPLEX
79,SINGLE FAMILY / DUPLEX
80,COMMERCIAL
81,SINGLE FAMILY / DUPLEX
82,COMMERCIAL
83,SINGLE FAMILY / DUPLEX
84,SINGLE FAMILY / DUPLEX
85,SINGLE FAMILY / DUPLEX
86,COMMERCIAL
87,COMMERCIAL
88,SINGLE FAMILY / DUPLEX
89,INSTITUTIONAL
90,COMMERCIAL
91,SINGLE FAMILY / DUPLEX
92,SINGLE FAMILY / DUPLEX
93,SINGLE FAMILY / DUPLEX
