id,Address,Latitude,Longitude,Location
1,602 12TH AVE E,47.62441015,-122.31648873,"(47.62441015, -122.31648873)"
2,1531 NW 62ND ST,47.67366582,-122.37772097,"(47.67366582, -122.37772097)"
3,8455 34TH AVE SW,47.52670448,-122.37558386,"(47.52670448, -122.37558386)"
4,550 TERRY AVE N,47.62398599,-122.3367397,"(47.62398599, -122.3367397)"
5,4620 S FINDLAY ST,47.55218881,-122.27462171,"(47.55218881, -122.27462171)"
6,600 4TH AVE,47.60377936,-122.32972129,"(47.60377936, -122.32972129)"
7,1521 NW 50TH ST,47.66475912,-122.37743046,"(47.66475912, -122.37743046)"
8,7031 28TH AVE NE,47.68032174,-122.29781792,"(47.68032174, -122.29781792)"
9,1809 S LANDER ST,47.5793802,-122.30880057,"(47.5793802, -122.30880057)"
10,3623 12TH AVE W,47.65288812,-122.37258012,"(47.65288812, -122.37258012)"
11,5335 BALLARD AVE NW,47.66713917,-122.38440336,"(47.66713917, -122.38440336)"
12,601 UNION ST,47.610431,-122.33207691,"(47.610431, -122.33207691)"
13,9369 8TH AVE S,47.51960099,-122.32379627,"(47.51960099, -122.32379627)"
14,2037 YALE AVE E,47.63784874,-122.32743718,"(47.63784874, -122.32743718)"
15,2037 YALE AVE E,47.63784874,-122.32743718,"(47.63784874, -122.32743718)"
16,4513 54TH AVE NE,47.66163084,-122.269978,"(47.66163084, -122.269978)"
17,126 NE 57TH ST,47.67035878,-122.32709645,"(47.67035878, -122.32709645)"
18,4409 39TH AVE SW,47.56442376,-122.3818434,"(47.56442376, -122.3818434)"
19,6511 RAINIER AVE S,47.54381714,-122.27412577,"(47.54381714, -122.27412577)"
20,1830 E MERCER ST,47.62458703,-122.30772895,"(47.62458703, -122.30772895)"
21,4838 S RAYMOND ST,47.54863266,-122.27101526,"(47.54863266, -122.27101526)"
22,818 17TH AVE,47.60985485,-122.30997768,"(47.60985485, -122.30997768)"
23,8227 DENSMORE AVE N,47.68957039,-122.33807008,"(47.68957039, -122.33807008)"
24,3002 12TH AVE W,47.64699526,-122.3723306,"(47.64699526, -122.3723306)"
25,6542 21ST AVE NW,47.67716761,-122.38300685,"(47.67716761, -122.38300685)"
26,502 N 71ST ST,47.68052013,-122.35240446,"(47.68052013, -122.35240446)"
27,8020 STROUD AVE N,47.6875753,-122.33405346,"(47.6875753, -122.33405346)"
28,2915 FUHRMAN AVE E,47.64752669,-122.31792102,"(47.64752669, -122.31792102)"
29,2915 FUHRMAN AVE E,47.64752669,-122.31792102,"(47.64752669, -122.31792102)"
30,2429A 55TH AVE SW,,,
31,3823 40TH AVE SW,47.56949001,-122.38320158,"(47.56949001, -122.38320158)"
32,400 DEXTER AVE N,47.6223157,-122.34195684,"(47.6223157, -122.34195684)"
33,1919 POST AL,47.61014501,-122.34252101,"(47.61014501, -122.34252101)"
34,116 37TH AVE E,47.61893547,-122.28617779,"(47.61893547, -122.28617779)"
35,1220 4TH AVE S,47.59080543,-122.32829252,"(47.59080543, -122.32829252)"
36,4718 2ND AVE NE,47.66376745,-122.32692883,"(47.66376745, -122.32692883)"
37,811 5TH AVE,47.60547767,-122.33119077,"(47.60547767, -122.33119077)"
38,3721 SUNNYSIDE AVE N,47.65265984,-122.33059611,"(47.65265984, -122.33059611)"
39,9830 ARROWSMITH AVE S,47.51358115,-122.25223486,"(47.51358115, -122.25223486)"
40,3733 BELVIDERE AVE SW,47.57025157,-122.37977397,"(47.57025157, -122.37977397)"
41,3911 S FERDINAND ST,47.55766176,-122.28293845,"(47.55766176, -122.28293845)"
42,1205 E PIKE ST,47.61392474,-122.31644919,"(47.61392474, -122.31644919)"
43,10227 42ND AVE SW,47.51131256,-122.38640022,"(47.51131256, -122.38640022)"
44,2534 WARREN AVE N,47.64242125,-122.35422037,"(47.64242125, -122.35422037)"
45,10126 66TH AVE S,47.51017171,-122.25093357,"(47.51017171, -122.25093357)"
46,10126 66TH AVE S,47.51017171,-122.25093357,"(47.51017171, -122.25093357)"
47,523 N 68TH ST,47.67850433,-122.35156472,"(47.67850433, -122.35156472)"
48,3403 NW 62ND ST,47.67373956,-122.40132095,"(47.67373956, -122.40132095)"
49,8633 39TH AVE SW,47.52523221,-122.3822884,"(47.52523221, -122.3822884)"
50,5229 S MAYFLOWER ST,47.55391591,-122.26687045,"(47.55391591, -122.26687045)"
51,2721 10TH AVE E,47.6452049,-122.32001738,"(47.6452049, -122.32001738)"
52,415 N 68TH ST,47.67853309,-122.35366589,"(47.67853309, -122.35366589)"
53,415 N 68TH ST,47.67853309,-122.35366589,"(47.67853309, -122.35366589)"
54,4300 BROOKLYN AVE NE,47.66006585,-122.31403576,"(47.66006585, -122.31403576)"
55,4747 34TH AVE NE,47.66420172,-122.2915675,"(47.66420172, -122.2915675)"
56,2621 2ND AVE,47.61612629,-122.34974746,"(47.61612629, -122.34974746)"
57,1913 7TH AVE,47.61487609,-122.33749589,"(47.61487609, -122.33749589)"
