id,name_last,name_first
1,Tsutakawa,George
2,Chase,Doris
3,Lere,Mark
4,Kiefer,Kurt
5,Hachivi,Edgar 
6,Laigo,Val
7,After,Bartoldi
8,Greer,Mandy
9,Hill,Gary
10,Schoppert,James
11,Conner,Elizabeth
12,Jensen,Ray
13,Maki,Robert
14,Murch,Anna Valentina
15,Feddersen,Joe
16,Smith,Juane
17,Young,John T.
18,Garner,Leback
19,Po Shu,Wang 
20,Edwards,Garth
21,Mackie,Jack
22,Noah,Barbara
23,Wheeler,Joe
24,Kohn,Jay
25,Heizer,Michael
26,Kelly,Lee
27,Smith,Tony
28,Fitzgerald,James
29,Brown,Charles
30,Various,Various
31,Wehn,James
32,Greening,Charles
33,Louis,Dana Lynn
34,Hollis,Douglas
35,Lynch,Perri
36,Legrady,George
37,Fels,Donald
38,Elliott,Richard
39,Nakamura,Stuart
40,Tsutakawa,Gerard
41,Levy,Stacy
42,Beaumont,Linda
43,Brother ,Beliz
44,Calderon,Mark
45,Dingus,Marita
46,Jay,Thomas
47,McLain,Kelly
48,Scuri,Scuri
49,Siciliano,Timothy
50,Marioni,Paul
51,Tsutakawa,George
52,Thorner,Ashley
53,Smith,Maggie
54,Pepper,Miles
55,Yung,Rene
56,Lamblin,Ela
57,Sze,Sarah
58,Nagasawa,Nobuho
59,Haworth,Linda
60,De Lory,Peter
61,Skibska,Anna
62,Boronat,Ariela
63,Laskarin,Daniel
64,Gardner,Steve
65,Fels,Donald
66,Haworth,Linda
67,Gu,Xiong
68,Blackstone,Luke
69,Oursler,Tony
70,Hamilton,Ann
71,Myers,Bruce
72,Dixon,Jennifer
73,Oaksen,Heather
74,D' Agostino,Fernanda
75,Levy,Stacy
76,Robertson,Eric
77,Corson,Dan
78,Kirkpatrick,Kay
79,Reiquam,Peter
80,Kirkpatrick,Kay
81,Carpenter,James
82,Miller,Brad
83,Beyette,Pam
84,Bain ,Bill
85,Davis,Michael
86,Sato,Norie
87,Turner,Richard
88,Nguyen-Ely,Darlene
89,Alessandrini,Lole
90,Schwendinger,Leni
91,Askman,Lake
92,Aldredge,Lydia
93,Corson,Dan
94,Rude,
95,Whitesavage ,Jean
96,Lyle,Nick
97,Hammer,Joanne
98,Lawrence,Deborah
99,Papanek,Miller
100,Simpson,Buster
101,Bornstein,Gloria
102,Mersky,Deborah
103,Scuri,Vicki
104,Will,Bill
105,Sorey,Paul
106,Wiegman,Clark
107,Herlihy,Glenn
108,Fitch,Claudia
109,Niemi,Ries
110,Mitchell,Jeffry
111,Winterbottom,
112,Feddersen,Joe
113,Peterson,Shaun
114,Ziegler,Ellen
115,Aldredge,Lydia
116,Gaynor,Peggy
117,Wade,Kate
118,Smith,Juane
119,Myers,Bruce
120,Whitesavage,Lyle
121,Brown,Sheldon
122,Trimpin,Wiegman
123,Bender,James
124,Washington,Horace
125,Kahn,Ned
126,Dingus,Marita
127,Maki,Robert
128,Baden,Colin
129,Oliver,Marvin
130,Kelly,Robert
131,Borofsky,Jonathan
132,Little,Ken
133,Smith,Daryl
134,Hayes,Randy
135,Caedo,Anastacio
136,Brusselback,Lon
137,Marioni,Paul
138,Beyer,Richard
139,Sperry,Ann
140,Stahly,Francois
141,Lere,Mark
142,Edwards,Garth
143,Greening,Charles
144,Askman,Tom
145,Bender,James
146,Liberman,Alexander
147,Halvorsen,Liza
148,Antonakos,Stephen
149,Fiske,Anne
150,Beyer,Richard
151,Buckingham,Larry
152,Kohn,Jay
153,Spaulding,Richard
154,Beaumont,Linda
155,Colquitt,Clair
156,Washington,James Jr.
157,Bladen,Ronald
158,Greening,Charles
159,Bernhard,Betz
160,Haas,Richard
161,Fisk,Anita
162,Lewing,Paul
163,Gardner,Ann
164,Jensen,R. Allen
165,Bayer,Herbert
166,Hamrol,Lloyd
167,Larson,Peter
168,Evans,Jan
169,Bennett,Douglas
170,Angell,Tony
171,Ferrell,Jack
172,Crabtree,Donald
173,Goldbloom,Brian
174,Tate,Larry
175,Herard,Marvin
176,Rita,Kepner
177,Beck,Lawrence
178,Pasco,Duane
179,Holder,Tom
180,Oliver,Marvin
181,Fitzgerald,James
182,Chase,Doris
183,Moore  Moore,Henry
184,Noguchi,Isamu
185,Alps,Glen
186,Dupen,Everett
187,Beall,Jean
188,Norling,Ernest
189,Wallace,John
190,Gould,Carl
191,Newman,Allen G
192,Carr,Alice
193,Nielson,Max
194,Everett,Julian
195,Wehn,James
196,Brooks,Richard
197,Joyce,Franklin 
198,Graves,Monad Elohim
199,Jordan,Lorna 
200,Brawer,Wendy
201,Anonymous,
202,Sorey,Paul
203,Dingus,Marita 
204,Davis,Michael
205,Sato,Norie
206,Turner,Richard
207,Conner,Elizabeth
208,McLauchlan,Ebba Rapp
209,Pridgeon,Shaw
210,Katsiaficas,Diane
211,Kepner,Rita
212,Kelly,Lee
213,Cummins,Rebecca 
214,Fuller,Steven
215,Zoccola,Susan
216,De Jong,
217,Unknown,
218,Lynch,Perri
219,Tompkins,Merrily 
220,Sweeney,Michael
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
