id,location,address,latitude,longitude
1,"Central Library, Spring St Plaza",1000 4th Ave,47.6065,-122.33312
2,Space Needle Sculpture Garden,305 Harrison St,47.620033,-122.348917
3,West Gilman Bridge, 23rd Ave W & Gilman Ave W,47.632467,-122.37565
4,Douglas Truth Branch Library ,2300 E Yesler St,47.601833,-122.301767
5,2nd Ave & Denny Wy,2nd Ave & Denny Wy,47.61805,-122.35205
6,Belltown,4th Ave & Bell St,47.615617,-122.344583
7,Pioneer Square,1st Ave & Yesler Wy,47.601983,-122.33395
8,Dr. Jose P. Rizal Park,1008 12th Ave S,47.59205,-122.317417
9,Alki Beach,61st Ave SW & Alki Ave SW,47.579383,-122.410633
10,"Central Library, Faye G. Allen Children's Center",1000 4th Ave,47.6065,-122.333117
11,"Central Library, east wall atrium ",1000 4th Ave,47.6065,-122.333117
12,Mt. Baker Ridge Tunnel on I-90,,47.5911,-122.288133
13,Ballard,53540 Ballard Ave NW,47.6677,-122.384633
14,6TH AVE & SENECA ST,6th Ave & Seneca St,47.608331,-122.3317
15,Pioneer Square,2nd Ave & Yesler Wy (southeast corner),47.601117,-122.3317
16,9125 Rainier Avenue South,1000 4th Ave,47.521533,-122.270217
17,Westlake Plaza,401 Pine St,47.611167,-122.3373
18,Benaroya Hall,200 University St,47.60885,-122.336367
19,Park - Alki Beach  ,,47.58215,-122.403517
20,Park - Alki Beach  ,,47.58215,-122.403517
21,Magnuson Park,6550 Sand Point Wy NE,47.68085,-122.247333
22,Alki Beach,Bonair Dr SW & Alki Ave SW,47.58215,-122.403517
23,Sturgus Park,904 Sturgis Ave S,47.59405,-122.314117
24,Delridge Community Center,4501 Delridge Wy SW,47.563567,-122.3645
25,Seattle  Children's Theatre,201 Thomas St,47.62085,-122.352117
26,Belltown,Along 1st Ave between Denny Wy and Virginia St.,47.617967,-122.354433
27,Canal Street Sub-station,,47.661483,-122.364633
28,Benefit Park,9320 38th Ave S,47.518917,-122.284567
29,Seattle Aquarium ,1483 Alaskan Wy,47.607317,-122.342133
30,Myrtle Edwards Park ,3130 Alaskan Wy N,47.619367,-122.361883
31,Louisa Boren Park,15th Ave E & E Olin Pl,47.634333,-122.312333
32,Space Needle Sculpture Garden ,400 Broad St,47.6208,-122.348933
33,"Central Library, West Entrance ",1000 4th Ave,47.606167,-122.333483
34,Pioneer Square Park,100 Yesler Wy,47.6021,-122.334067
35,Magnuson Park,7600 Sand Point Wy NE,47.671633,-122.263567
36,Seward Park,5902 Lake Wash Blvd S,47.54958,-122.25732
37,Tilikum Place Park,5th Ave & Denny Wy,47.618417,-122.347417
38,Ballard Playground,2644 NW 60th St,47.67275,-122.39265
39,"Northgate Branch Library, Plaza entry",10548 5th Ave NE,47.706033,-122.322717
40,Park - Cal Anderson Park,1635 11th Ave,47.60232,-122.33243
41,Albert Davis Park,12526 27th Ave NE,47.72015,-122.298717
42,Central Library ,1000 4th Ave,47.6065,-122.333117
43,Central Library ,1000 4th Ave,47.6065,-122.333117
44,Courtland Hill Climb ,37th Ave S & Courtland Pl S,47.569783,-122.2863
45,"Wallingford Branch Library, interior windows on north side of building.",1501 N 45th St,47.661317,-122.338783
46,Columbia City,NW Corner of Rainier and Findlay St. and on the SE corner of Rainier and Juneau,47.551267,-122.2779
47,"Seattle Center, near Kobe Bell",305 Harrison St,47.62335,-122.35247
48,Eastlake ,Eastlake Ave E between E Galer and Fuhrman Ave E,47.632167,-122.32625
49,Eastlake ,"Eastlake Ave E at E. Boston Street, E. Lynn Street ",47.640183,-122.325967
50,"Bitter Lake Community Center , near North entrance to the lobby",13035 Linden Ave N,47.724083,-122.348533
51,Bitter Lake Community Center Lobby,13035 Linden Ave N,47.724167,-122.348633
52,"Bitter Lake Community Center, inside main hallway, hanging from the ceiling.",13035 Linden Ave N,47.724233,-122.348633
