id,district,police_beat
1,E,E1
2,R,R3
3,M,M3
4,L,L3
5,W,W3
6,W,W1
7,Q,Q1
8,W,W1
9,K,K2
10,G,G2
11,N,N2
12,U,U3
13,U,U2
14,M,M1
15,F,F2
16,U,U3
17,L,L1
18,O,O2
19,D,D3
20,D,D2
21,W,W2
22,L,L3
23,S,S2
24,M,M2
25,Q,Q3
26,U,U1
27,R,R1
28,M,M3
29,U,U3
30,F,F3
31,Q,Q2
32,W,W1
33,N,N3
34,U,U1
35,U,U3
36,B,B2
37,J,J2
38,G,G3
39,J,J3
40,G,G2
41,U,U3
42,D,D3
43,N,N3
44,Q,Q1
45,E,E1
46,R,R2
47,F,F1
48,E,E2
49,B,B1
50,M,M1
51,L,L2
52,N,N3
53,J,J2
54,U,U2
55,M,M1
56,F,F1
57,G,G2
58,O,O1
59,K,K2
60,K,K1
61,U,U3
62,B,B3
63,B,B3
64,L,L3
65,C,C3
66,K,K1
67,K,K2
68,W,W1
69,Q,Q3
70,M,M1
71,L,L3
72,E,E2
73,C,C2
74,Q,Q3
75,K,K3
76,R,R3
77,N,N1
78,F,F1
79,B,B2
80,K,K1
81,N,N1
82,R,R2
83,E,E1
84,B,B1
85,C,C3
86,D,D3
87,K,K1
88,J,J3
89,U,U1
90,D,D3
91,E,E1
92,B,B3
93,E,E1
94,J,J1
95,N,N1
96,U,U2
97,D,D2
98,K,K3
99,N,N3
100,J,J3
101,C,C1
102,U,U1
103,B,B1
104,J,J3
105,K,K3
106,E,E2
107,E,E2
108,O,O3
109,E,E3
110,K,K3
111,R,R2
112,Q,Q2
113,W,W2
114,J,J1
115,M,M3
116,M,M2
117,E,E1
118,D,D2
119,K,K1
120,,
121,N,N3
122,B,B3
123,F,F3
124,R,R2
125,C,C1
126,E,E2
127,O,O1
128,C,C2
129,E,E1
130,M,M3
131,B,B1
132,M,M1
133,U,U2
134,R,R1
135,N,N3
136,O,O1
137,J,J2
138,B,B1
139,Q,Q2
140,J,J2
141,J,J3
142,W,W2
143,N,N1
144,O,O3
145,Q,Q3
146,F,F2
147,O,O2
148,O,O2
149,U,U3
150,R,R2
151,L,L2
152,W,W2
153,E,E1
154,M,M2
155,N,N2
156,B,B2
157,W,W3
158,U,U2
159,D,D2
160,U,U3
161,E,E1
162,M,M2
163,U,U2
164,R,R3
165,Q,Q2
166,S,S3
167,M,M3
168,J,J3
169,K,K2
170,U,U1
171,N,N2
172,R,R3
173,U,U3
174,M,M2
175,J,J1
176,C,C2
177,C,C1
178,W,W1
179,Q,Q2
180,M,M2
181,N,N1
182,Q,Q1
183,J,J3
184,D,D3
185,J,J2
186,J,J2
187,L,L3
188,N,N3
189,E,E3
190,K,K1
191,C,C2
192,U,U2
193,L,L2
194,K,K3
195,M,M1
196,Q,Q3
197,O,O1
198,R,R1
199,G,G2
200,U,U3
201,B,B1
202,Q,Q1
203,F,F3
204,C,C3
205,K,K2
206,G,G2
207,M,M1
208,D,D1
209,D,D1
210,J,J1
211,K,K3
212,S,S3
213,Q,Q3
214,B,B2
215,Q,Q2
216,E,E2
217,D,D3
218,B,B1
219,G,G2
220,E,E1
221,D,D2
222,W,W3
223,O,O1
224,E,E3
225,B,B3
226,N,N2
227,K,K1
228,R,R3
229,W,W2
230,R,R3
231,F,F3
232,N,N1
233,J,J2
234,K,K3
235,K,K3
236,D,D2
237,R,R3
238,W,W2
239,M,M1
240,U,U3
241,N,N2
242,L,L2
243,Q,Q1
244,W,W1
245,K,K2
246,L,L3
247,E,E2
248,B,B2
249,G,G3
250,M,M2
251,K,K1
252,R,R3
253,E,E2
254,E,E2
255,B,B1
256,K,K1
257,M,M2
258,M,M1
259,Q,Q1
260,J,J1
261,D,D2
262,L,L1
263,B,B1
264,D,D3
265,N,N2
266,N,N1
267,D,D2
268,D,D2
269,B,B1
270,F,F1
271,O,O1
272,M,M2
273,D,D3
274,D,D1
275,E,E1
276,B,B1
277,K,K1
278,C,C2
279,K,K3
280,J,J1
281,U,U1
282,R,R3
283,G,G1
284,J,J1
285,M,M2
286,Q,Q1
287,M,M2
288,F,F3
289,R,R2
290,N,N2
291,L,L1
292,N,N2
293,W,W2
294,M,M1
295,E,E3
296,M,M1
297,S,S3
298,U,U1
299,B,B3
300,J,J2
301,O,O3
302,R,R3
303,W,W2
304,E,E1
305,E,E3
306,K,K3
307,N,N3
308,R,R3
309,K,K1
310,U,U2
311,B,B3
312,B,B1
313,U,U1
314,M,M3
315,L,L2
316,L,L3
317,U,U2
318,E,E1
319,C,C3
320,F,F3
321,M,M1
322,L,L2
323,M,M2
324,B,B3
325,N,N3
326,N,N3
327,B,B2
328,M,M3
329,F,F3
330,B,B2
331,N,N1
332,J,J2
333,F,F2
334,O,O2
335,D,D1
336,K,K3
337,U,U2
338,D,D1
339,J,J3
340,B,B1
341,O,O1
342,C,C3
343,E,E2
344,U,U2
345,E,E1
346,L,L2
347,U,U3
348,U,U1
349,O,O1
350,D,D1
351,U,U1
352,M,M2
353,K,K3
354,N,N3
355,B,B3
356,U,U2
357,B,B2
358,W,W1
359,D,D1
360,J,J2
361,K,K2
362,F,F2
363,E,E1
364,F,F3
365,G,G3
366,K,K2
367,W,W3
368,D,D3
369,E,E3
370,Q,Q3
371,N,N3
372,U,U2
373,U,U1
374,J,J3
375,B,B2
376,M,M2
377,E,E1
378,U,U3
379,Q,Q3
380,D,D3
381,N,N3
382,C,C3
383,N,N3
384,M,M2
385,D,D3
386,G,G3
387,W,W2
388,U,U2
389,M,M2
390,D,D1
391,S,S3
392,U,U3
393,R,R2
394,B,B2
395,E,E2
396,D,D2
397,J,J3
398,G,G3
399,Q,Q1
400,D,D1
401,B,B3
402,K,K1
403,O,O1
404,N,N2
405,S,S1
406,J,J1
407,S,S3
408,E,E3
409,L,L2
410,N,N3
411,M,M3
412,K,K2
413,O,O2
