id,NBHD
1,Downtown
2,Capitol Hill
3,Greenwood
4,Greenwood
5,Belltown
6,University District
7,International
8,Central District
9,Ballard
10,Magnolia
11,South Lake Union
12,Downtown
13,Capitol Hill
14,Seattle Center in Uptown
15,Seattle Center in Uptown
16,Seattle Center in Uptown
17,Belltown
18,International District
19,Central District
20,Belltown
21,University District
22,Ballard
23,Capitol Hill
24,Seattle Center in Uptown
25,Belltown
26,Green Lake
27,South Lake Union
28,Wallingford
29,West Seattle
30,Central District
31,West Seattle
32,Capitol Hill
33,Capitol Hill
34,International Districtrict
35,University District
36,Fremont
37,Ballard
38,Beacon Hill
39,Greenwood
40,Capitol Hill
41,Columbia City
42,West Seattle
43,Central District
44,Fremont
45,Green Lake
46,Greenwood
47,West Seattle
48,International District
49,Lake City
50,Madrona
51,Magnolia
52,Downtown
53,Montlake
54,Beacon Hill
55,Sand Point
56,Northgate
57,Queen Anne
58,Rainier Beach
59,South Park
60,West Seattle
61,University District
62,Wallingford
63,West Seattle
64,First Hill
65,Central District
66,Pioneer Square
67,Greenwood
68,Capitol Hill
69,
70,Lake City
71,West Seattle
72,Capitol Hill
73,West Seattle
74,Pioneer Square
75,Georgetown
76,SODO
77,Pioneer Square
78,Beacon Hill
79,Capitol Hill
80,First Hill
81,Downtown
82,Interbay
83,University District
84,Capitol Hill
85,Georgetown
86,Ballard
87,Greenlake
88,Capitol Hill
89,Seattle Center in Uptown
90,Seattle Center in Uptown
91,Seattle Center in Uptown
92,Seattle Center in Uptown
93,
94,Seattle Center in Uptown
95,Uptown
96,Belltown
97,University District
98,Downtown
99,Central District
100,Fremont
101,West Seattle
102,Capitol Hill
103,First Hill
104,Ballard
105,Greenwood
106,Columbia City
107,Capitol Hill
108,Ravenna
109,Eastlake
110,First Hill
111,Georgetown
112,Ballard
113,Haller Lake
114,Central District
115,Hillman City
116,First Hill
117,Greenwood
118,Fremont
119,Capitol Hill
120,Pioneer Square
121,Beacon Hill
122,Columbia City
123,Wallingford
124,Downtown
125,Ballard
126,Ballard
127,Wallingford
128,Greenwood
129,Ballard
130,Downtown
131,Downtown
132,Downtown
133,Crown Hill
134,West Seattle
135,Columbia City
136,Belltown
137,West Seattle
138,Phinney Ridge
139,Capitol Hill
140,Belltown
141,Fremont
142,Ballard
143,Columbia City
144,Greenwood
145,Ballard
146,West Seattle
147,Pinehurst
148,Capitol Hill
149,Central District
150,Fremont
151,Uptown
152,University District
153,Belltown
154,Sand Point
155,International District
156,Georgetown
157,Seattle Center in Uptown
158,Seattle Center in Uptown
159,Seattle Center in Uptown
160,Seattle Center in Uptown
161,Seattle Center in Uptown
162,Seattle Center in Uptown
163,Seattle Center in Uptown
164,Capitol Hill
165,Wedgwood
166,Green Lake
167,SODO
168,West Seattle
169,Madrona
170,Central District
171,Belltown
172,University District
173,Downtown
174,Fremont
175,Greenwood
176,Uptown
177,Downtown
178,Belltown
179,International District
180,First Hill
181,Belltown
182,West Seattle
183,University District
184,Universtiy District
185,University District
186,First Hill
187,Capitol Hill
188,Capitol Hill
189,Capitol Hill
190,Maple Leaf
191,Pioneer Square
192,Central District
193,Lake City
194,West Seattle
195,International District
196,Ballard
197,Pioneer Square
198,South Lake Union
199,Downtown
200,Pioneer Square
201,Phinney Ridge
202,Greenwood
203,Central District
204,Uptown
205,Georgetown
206,Beacon Hill
207,University
208,Greenwood
209,Pioneer Square
210,Belltown
211,Pioneer Square
212,Queen Anne
213,Capitol Hill
214,Capitol Hill
215,Pioneer Square
216,Georgetown
217,Pioneer Square
218,Georgetown
219,Capitol Hill
220,Pioneer Square
221,Georgetown
222,First Hill
223,Georgetown
224,Georgetown
225,Downtown
226,Downtown
227,Georgetown
228,Downtown
229,Central District
230,Belltown
231,Capitol Hill
232,Pioneer Square
233,Capitol Hill
234,Central District
235,Greenwood
236,Interbay
237,Downtown
238,Central District
239,Mount Baker
240,Pioneer Square
241,Belltown
242,Greenwood
243,Downtown
244,Downtown
245,Capitol Hill
246,West Seattle
247,Capitol Hill
248,Downtown
249,International District
250,South Lake Union
