id,Name
1,Bolton Hill
2,Ashburton
3,Morrell Park
4,Fells Point
5,Charles Village
6,Baltimore Highlands
7,Pulaski Industrial Area
8,Brooklyn
9,Hunting Ridge
10,Bridgeview/Greenlawn
11,Upton
12,Port Covington
13,Oliver
14,Ellwood Park/Monument
15,Canton
16,Hampden
17,Hoes Heights
18,Better Waverly
19,Belair-Edison
20,Sabina-Mattfeldt
21,Glen Oaks
22,Loch Raven
23,Gay Street
24,Central Park Heights
25,Washington Village
26,Frankford
27,Glenham-Belford
28,Charles Village
29,Millhill
30,Cherry Hill
31,Washington Village
32,Seton Business Park
33,Mondawmin
34,Mount Holly
35,Reisterstown Station
36,Charles North
37,Beverly Hills
38,Wyndhurst
39,Hillen
40,Inner Harbor
41,Loch Raven
42,Reisterstown Station
43,Baltimore Highlands
44,Riverside
