id,project,Public_Art_Data_id
1,CENTRAL LIBRARY,
2,SEATTLE CENTER SCULPTURE GARDEN,
3,WEST GILMAN BRIDGE,
4,DOUGLAS-TRUTH BRANCH LIBRARY,
5,SECOND AVENUE PROJECT,
6,SEATTLE ARTISTS 1990,
7,IN PUBLIC: SEATTLE 1991,
8,JOSE RIZAL PARK,
9,ALKI BEACH,
10,LIBRARIES FOR ALL - CENTRAL LIBRARY/LIBRARY UNBOUND,
11,LIBRARIES FOR ALL--CENTRAL LIBRARY,
12,I-90 PORTAL,
13,BALLARD AVENUE,
14,,
15,FORTSON SQUARE  (Project not complete until 2001),
16,CENTRAL LIBRARY,
17,WESTLAKE PARK,
18,BENAROYA SYMPHONY HALL,
19,WEST SEATTLE CULTURAL TRAIL,
20,WEST SEATTLE CULTURAL TRAIL,
21,THE FIN PROJECT,
22,WEST SEATTLE CULTURAL TRAIL,
23,I-90 VIEWPOINT,
24,DELRIDGE COMMUNITY CENTER,
25,SEATTLE CHILDREN'S THEATRE RENOVATION,
26,FIRST AVENUE PROJECT,
27,CANAL STREET SUBSTATION,
28,BENEFIT PARK,
29,SEATTLE AQUARIUM,
30,MYRTLE EDWARDS PARK,
31,LOUISA BOREN LOOKOUT,
32,MOSES PURCHASE,
33,CENTRAL LIBRARY,
34,PIONEER PLACE PARK,
35,PARKS DEPARTMENT,
36,SEWARD PARK,
37,TILIKUM PLACE,
38,BALLARD PLAYGROUND,
39,LIBRARIES FOR ALL - NORTHGATE  BRANCH,
40,LINCOLN RESERVOIR,
41,2000 PRO PARKS LEVY - ALBERT DAVIS PARK/LAKE CITY CIVIC CORE,
42,CENTRAL LIBRARY - LIBRARY UNBOUND,
43,CENTRAL LIBRARY - LIBRARY UNBOUND,
44,ARTS UP - Courtland Hill Climb,
45,LIBRARIES FOR ALL - WALLINGFORD BRANCH,
46,HILLMAN CITY GIFT,
47,GIFT TO THE CITY OF SEATTLE FROM THE SEATTLE CENTER FOUNDATION,
48,EASTLAKE DISTRICT ARTWORK PROJECT,
49,EASTLAKE DISTRICT ARTWORK PROJECT,
50,BITTERLAKE COMMUNITY CENTER,
51,BITTERLAKE COMMUNITY CENTER,
52,BITTERLAKE COMMUNITY CENTER,
53,BITTERLAKE COMMUNITY CENTER,
54,MEADOWBROOK COMMUNITY CENTER,
55,MEADOWBROOK COMMUNITY CENTER,
56,MEADOWBROOK COMMUNITY CENTER,
57,MEADOWBROOK COMMUNITY CENTER,
58,NORA'S WOODS PARK,
59,RAINIER COMMUNITY CENTER,
60,RAINIER COMMUNITY CENTER,
61,CHILDREN'S MUSEUM RENOVATION,
62,EAST/WEST PLAZA-SEATTLE CENTER COLISEUM,
63,CENTER HOUSE SOUTH PLAZA RENOVATION,
64,DELRIDGE COMMUNITY CENTER,
65,GARFIELD COMMUNITY CENTER,
66,GARFIELD COMMUNITY CENTER,
67,GREENLAKE COMMUNITY CENTER,
68,INTERNATIONAL DISTRICT,
69,DOUGLAS-TRUTH BRANCH LIBRARY (NON-SAC),
70,1999 COMMUNITY CENTER LEVY - SOUTHWEST COMMUNITY CENTER,
71,WEST LAKE UNION PATHWAY,
72,LIBRARIES FOR ALL - BEACON HILL BRANCH,
73,LIBRARIES FOR ALL - INTERNATIONAL DISTRICT/CHINATOWN BRANCH,
74,1999 COMMUNITY CENTER LEVY - YESLER COMMUNITY CENTER,
75,SEATTLE CIVIC CENTER-CITY HALL-HILLCLIMB PROJECT,
76,MARION OLIVER MCCAW HALL - LOBBY (COMMUNITY PERFORMANCE HALL),
77,SEATTLE CIVIC CENTER-CITY HALL-HILLCLIMB PROJECT,
78,LIBRARIES FOR ALL - BALLARD BRANCH,
79,LIBRARIES FOR ALL - LAKE CITY  BRANCH,
80,URBAN CREEKS - A REVELATION:  LONGFELLOW CREEK TRAIL,
81,LIBRARIES FOR ALL - RAINIER BEACH BRANCH,
82,LIBRARIES FOR ALL - RAINIER BEACH BRANCH,
83,1999 COMMUNITY CENTER LEVY - HIGH POINT COMMUNITY CENTER,
84,LIBRARIES FOR ALL - HIGH POINT BRANCH,
85,WEST SEATTLE CULTURAL TRAIL,
86,MAPLE LEAF NEIGHBORHOOD,
87,WEST SEATTLE CULTURAL TRAIL,
88,LIBRARIES FOR ALL  - COLUMBIA BRANCH,
89,PARK 90/5,
90,LIBRARIES FOR ALL - CENTRAL LIBRARY,
91,LIBRARIES FOR ALL - CENTRAL LIBRARY,
92,GARFIELD COMMUNITY CENTER,
93,DISCOVERY PARK VISITOR CENTER,
94,2000 PRO PARKS LEVY - BERGEN PLACE PARK,
95,LIBRARIES FOR ALL - NORTH EAST BRANCH,
96,LIBRARIES FOR ALL - GREENWOOD BRANCH,
97,2000 PRO PARKS LEVY - MINERAL SPRINGS PARK,
98,SEATTLE CIVIC CENTER-CITY HALL- NATIVE AMERICAN PURCHASE,
99,CEDAR RIVER WATERSHED,
100,SOUTHWEST POLICE PRECINCT,
101,FROULA PARK,
102,SOUTHWEST POLICE PRECINCT,
103,SOUTHWEST POLICE PRECINCT,
104,SOUTHWEST POLICE PRECINCT,
105,FREMONT SHIP CANAL PARK,
106,WEST SEATTLE CULTURAL TRAIL,
107,SEATTLE CIVIC CENTER-CITY HALL,
108,SEATTLE CIVIC CENTER-CITY HALL,
