id,Action Type,Work Type,Value,Location_id
1,DEMOLITION,No plan review,$0.00,
2,ADD/ALT,Plan Review,$624513.00,
3,ADD/ALT,Plan Review,$29919043.00,
4,ADD/ALT,Plan Review,$505846.00,
5,CURB CUT,No plan review,$200000.00,
6,ADD/ALT,Plan Review,$200000.00,
7,ADD/ALT,No plan review,$150000.00,
8,ADD/ALT,No plan review,$100000.00,
9,ADD/ALT,Plan Review,$48000.00,
10,ADD/ALT,Plan Review,$69802.00,
11,ADD/ALT,No plan review,$6000.00,
12,ADD/ALT,No plan review,$9000.00,
13,ADD/ALT,No plan review,$20000.00,
14,ADD/ALT,No plan review,$60000.00,
15,ADD/ALT,Plan Review,$12941.00,
16,ADD/ALT,No plan review,$55000.00,
17,ADD/ALT,No plan review,$55000.00,
18,ADD/ALT,Plan Review,$13000.00,
19,ADD/ALT,No plan review,$85000.00,
20,ADD/ALT,No plan review,$12500.00,
21,ADD/ALT,No plan review,$40000.00,
22,ADD/ALT,No plan review,$195000.00,
23,ADD/ALT,Plan Review,$250000.00,
24,ADD/ALT,Plan Review,$250000.00,
25,NEW,Plan Review,$9682902.00,
26,ADD/ALT,No plan review,$20000.00,
27,ADD/ALT,Plan Review,$175000.00,
28,ADD/ALT,Plan Review,$77746.00,
29,ADD/ALT,Plan Review,$77746.00,
30,ADD/ALT,Plan Review,$54000.00,
31,ADD/ALT,Plan Review,$17000.00,
32,ADD/ALT,Plan Review,$25000.00,
33,ADD/ALT,Plan Review,$176965.00,
34,ADD/ALT,Plan Review,$25575.00,
35,ADD/ALT,Plan Review,$25575.00,
36,DEMOLITION,No plan review,$0.00,
37,ADD/ALT,Plan Review,$100000.00,
38,NEW,Plan Review,$446258.00,
39,ADD/ALT,Plan Review,$2050000.00,
40,ADD/ALT,Plan Review,$125000.00,
41,ADD/ALT,Plan Review,$125000.00,
42,DEMOLITION,No plan review,$0.00,
43,DEMOLITION,No plan review,$0.00,
44,ADD/ALT,Plan Review,$25575.00,
45,ADD/ALT,Plan Review,$9000.00,
46,ADD/ALT,Plan Review,$9000.00,
47,ADD/ALT,Plan Review,$21380.00,
48,ADD/ALT,No plan review,$30000.00,
49,ADD/ALT,No plan review,$30000.00,
50,NO CONSTRUCTION,Plan Review,$682406.00,
51,NEW,Plan Review,$0.00,
52,ADD/ALT,No plan review,$1000.00,
53,ADD/ALT,No plan review,$2000.00,
54,ADD/ALT,Plan Review,$165000.00,
55,ADD/ALT,Plan Review,$165000.00,
56,ADD/ALT,Plan Review,$216135.00,
57,ADD/ALT,No plan review,$4000.00,
58,ADD/ALT,No plan review,$75000.00,
59,ADD/ALT,Plan Review,$53153.00,
60,ADD/ALT,Plan Review,$850000.00,
61,ADD/ALT,No plan review,$5000.00,
62,ADD/ALT,No plan review,$7367.00,
63,ADD/ALT,No plan review,$7367.00,
64,NEW,Plan Review,$407183.00,
65,DEMOLITION,No plan review,$0.00,
66,ADD/ALT,Plan Review,$763585.00,
67,ALTER,Plan Review,$850000.00,
68,NO CONSTRUCTION,No plan review,$0.00,
69,NO CONSTRUCTION,Plan Review,$39000.00,
70,ADD/ALT,No plan review,$15000.00,
71,ADD/ALT,No plan review,$70000.00,
72,ADD/ALT,Plan Review,$1000.00,
73,ALTER,Plan Review,$190000.00,
74,ADD/ALT,No plan review,$20000.00,
75,ADD/ALT,No plan review,$7782.00,
76,ADD/ALT,No plan review,$10000.00,
77,ADD/ALT,Plan Review,$100000.00,
78,ADD/ALT,Plan Review,$200000.00,
79,ADD/ALT,Plan Review,$4864.00,
80,NEW,Plan Review,$465511.00,
81,NEW,Plan Review,$280000.00,
82,ADD/ALT,Plan Review,$712000.00,
83,ADD/ALT,Plan Review,$10000.00,
84,ADD/ALT,Plan Review,$500000.00,
85,CURB CUT,No plan review,$0.00,
86,ADD/ALT,Plan Review,$107225.00,
87,DEMOLITION,No plan review,$0.00,
88,NEW,Plan Review,$365867.00,
