id,Address,Latitude,Longitude
1,2429A 55TH AVE SW,,
2,3823 40TH AVE SW,47.56949001,-122.38320158
3,400 DEXTER AVE N,47.6223157,-122.34195684
4,1919 POST AL,47.61014501,-122.34252101
5,116 37TH AVE E,47.61893547,-122.28617779
6,1220 4TH AVE S,47.59080543,-122.32829252
7,4718 2ND AVE NE,47.66376745,-122.32692883
8,811 5TH AVE,47.60547767,-122.33119077
9,3721 SUNNYSIDE AVE N,47.65265984,-122.33059611
10,9830 ARROWSMITH AVE S,47.51358115,-122.25223486
11,3733 BELVIDERE AVE SW,47.57025157,-122.37977397
12,3911 S FERDINAND ST,47.55766176,-122.28293845
13,1205 E PIKE ST,47.61392474,-122.31644919
14,10227 42ND AVE SW,47.51131256,-122.38640022
15,2534 WARREN AVE N,47.64242125,-122.35422037
16,10126 66TH AVE S,47.51017171,-122.25093357
17,10126 66TH AVE S,47.51017171,-122.25093357
18,523 N 68TH ST,47.67850433,-122.35156472
19,3403 NW 62ND ST,47.67373956,-122.40132095
20,8633 39TH AVE SW,47.52523221,-122.3822884
21,5229 S MAYFLOWER ST,47.55391591,-122.26687045
22,2721 10TH AVE E,47.6452049,-122.32001738
23,415 N 68TH ST,47.67853309,-122.35366589
24,415 N 68TH ST,47.67853309,-122.35366589
25,4300 BROOKLYN AVE NE,47.66006585,-122.31403576
26,4747 34TH AVE NE,47.66420172,-122.2915675
27,2621 2ND AVE,47.61612629,-122.34974746
28,1913 7TH AVE,47.61487609,-122.33749589
29,1913 7TH AVE,47.61487609,-122.33749589
30,7414 34TH AVE NW,47.68283899,-122.40021794
31,2326 CALIFORNIA AVE SW,47.58212466,-122.38612535
32,7530 DETROIT AVE SW,47.53532717,-122.3378589
33,7338 44TH AVE SW,47.53727246,-122.38822044
34,8724 HOLMAN RD NW,47.69354613,-122.37581156
35,8724 HOLMAN RD NW,47.69354613,-122.37581156
36,3816 22ND AVE SW,47.56964185,-122.36084374
37,4225 2ND AVE S,47.5654948,-122.33222511
38,322 21ST AVE E,47.62208705,-122.30437139
39,11 W ALOHA ST,47.62684241,-122.35737496
40,331 N 84TH ST,47.6896596,-122.35388734
41,331 N 84TH ST,47.6896596,-122.35388734
42,3532 45TH AVE NE,47.654742,-122.27896603
43,322 21ST AVE E,47.62208705,-122.30437139
44,318 NE NORTHGATE WAY,47.70911857,-122.32530577
45,2135 NW 97TH ST,47.69946335,-122.38452127
46,2135 NW 97TH ST,47.69946335,-122.38452127
47,8100 8TH AVE S,47.53096937,-122.32270544
48,9818 ROOSEVELT WAY NE,47.70095172,-122.31736905
49,9818 ROOSEVELT WAY NE,47.70095172,-122.31736905
50,6516 12TH AVE NE,47.67641731,-122.31535713
51,5703 S LEO ST,47.50222207,-122.26106211
52,1803 42ND AVE E,47.63471593,-122.27880622
53,2021 7TH AVE,47.61523711,-122.33836402
54,3814 NE 95TH ST,47.69763293,-122.28715111
55,3814 NE 95TH ST,47.69763293,-122.28715111
56,2545 37TH AVE W,47.64259821,-122.40526305
57,2001 8TH AVE,47.61578904,-122.33727143
58,4029 E MADISON ST,47.63392716,-122.28023081
59,7112 48TH AVE S,47.53854212,-122.27241268
60,6000 16TH AVE SW,47.54700382,-122.35308846
61,608 NW 65TH ST,47.67623783,-122.36383881
62,9728 34TH AVE SW,47.51585029,-122.37529798
63,9728 34TH AVE SW,47.51585029,-122.37529798
64,420 N 125TH ST,47.71979221,-122.3532256
65,5201 RAVENNA AVE NE,47.66658485,-122.30373155
66,5201 RAVENNA AVE NE,47.66658485,-122.30373155
67,821 2ND AVE,47.60403796,-122.33498562
68,1723 18TH AVE,47.61712226,-122.30922926
69,819 BOYLSTON AVE,47.60969807,-122.32123566
70,356 N 80TH ST,47.68714579,-122.35280382
71,1300 1ST AVE,47.60740726,-122.33778279
72,4878 BEACON AVE S,47.55881351,-122.3039544
73,520 PIKE ST,47.61125861,-122.33495033
74,1622 34TH AVE,47.61593215,-122.28892437
75,8045 40TH AVE NE,47.68798827,-122.28557918
76,6204 12TH AVE NE,47.67358147,-122.31540491
77,4733 UNIVERSITY WAY NE,47.66411377,-122.31349388
78,4147 52ND AVE SW,47.56529623,-122.39914037
79,4758 23RD AVE SW,47.55938932,-122.36121115
80,3532 45TH AVE NE,47.654742,-122.27896603
81,5011 S DAWSON ST,47.55470208,-122.27016583
82,400 FAIRVIEW AVE N,47.62251637,-122.33391663
83,1623 14TH AVE,47.61607339,-122.31465128
84,3876 BRIDGE WAY N,47.65380862,-122.34354706
85,5907 M L KING JR WAY S,47.54959277,-122.28822252
86,4004 WHITMAN AVE N,47.65565276,-122.34572445
87,5011 S DAWSON ST,47.55470208,-122.27016583
88,2264 12TH AVE W,47.64055388,-122.37232759
89,2264 12TH AVE W,47.64055388,-122.37232759
90,1925 AIRPORT WAY S,47.58577803,-122.32187071
91,2008 5TH AVE,47.61409589,-122.33914639
92,666 S DEARBORN ST,47.59644968,-122.32416271
93,1172 REPUBLICAN ST,47.62326774,-122.33324376
94,2349 HARBOR AVE SW,47.58143778,-122.37511445
95,5035 26TH AVE S,47.55625232,-122.29949098
96,568 1ST AVE S,47.59639784,-122.33369863
97,700 5TH AVE,47.60501319,-122.32989532
98,2350 10TH AVE E,47.64079877,-122.31973853
99,2600 14TH AVE W,47.6430824,-122.37464231
100,2600 14TH AVE W,47.6430824,-122.37464231
101,3657 44TH AVE SW,47.57038378,-122.38845804
102,3853 E OLIVE ST,47.61629742,-122.28433878
103,213 N 85TH ST,47.69033457,-122.35595009
104,5601 6TH AVE S,47.55238936,-122.32763153
105,1500H 42ND AVE E,47.63218946,-122.27848572
106,2602 14TH AVE W,47.64311963,-122.37455224
107,904 SW PORTLAND ST,47.53360759,-122.34751439
108,904 SW PORTLAND ST,47.53360759,-122.34751439
109,908 SW PORTLAND ST,47.53345889,-122.3475131
110,908 SW PORTLAND ST,47.53345889,-122.3475131
111,900 SW PORTLAND ST,47.53359902,-122.34733699
112,900 SW PORTLAND ST,47.53359902,-122.34733699
113,906 SW PORTLAND ST,47.53354336,-122.3475115
114,906 SW PORTLAND ST,47.53354336,-122.3475115
115,902 SW PORTLAND ST,47.53345701,-122.34732933
116,902 SW PORTLAND ST,47.53345701,-122.34732933
117,2318 BELVIDERE AVE SW,47.58275181,-122.37922259
118,3932 1ST AVE NE,47.65476026,-122.32764222
119,3932 1ST AVE NE,47.65476026,-122.32764222
120,3934 1ST AVE NE,47.65476026,-122.32764222
121,3934 1ST AVE NE,47.65476026,-122.32764222
122,2312 19TH AVE S,47.58253933,-122.30787817
123,6531 22ND AVE NW,47.67690596,-122.38456406
124,2105 S ORCAS ST,47.55094183,-122.30578222
125,2105 S ORCAS ST,47.55094183,-122.30578222
126,5710 NE 56TH ST,47.66946873,-122.26638804
127,11031 38TH AVE NE,47.70933846,-122.28833674
128,2716 S DEARBORN ST,47.59581256,-122.2967795
129,2716 S DEARBORN ST,47.59581256,-122.2967795
130,6531 22ND AVE NW,47.67690596,-122.38456406
131,1501 WESTERN AVE,47.60836515,-122.34158746
132,1101 MADISON ST,47.6092117,-122.32426736
133,2312 19TH AVE S,47.58253933,-122.30787817
134,401 BOYLSTON AVE E,47.62215587,-122.3234374
135,5555 17TH AVE S,47.55178156,-122.31139095
136,5555 17TH AVE S,47.55178156,-122.31139095
137,7701 13TH AVE SW,47.53416117,-122.35203527
138,9240 3RD AVE NW,47.69729327,-122.36041576
139,307 W MCGRAW ST,47.6394386,-122.3614632
140,3300 W MCGRAW ST,47.63988645,-122.39997914
141,508 NW 44TH ST,47.66065335,-122.36331587
142,2211 ELLIOTT AVE,47.61170123,-122.34779196
143,2401 UTAH AVE S,47.58181846,-122.33535751
144,1020 5TH AVE N,47.62869012,-122.34719784
145,2200 1ST AVE N,47.63846789,-122.35515891
146,6506 41ST AVE SW,47.54454605,-122.38419114
147,6506 41ST AVE SW,47.54454605,-122.38419114
148,2500 3RD AVE W,47.64156611,-122.36058723
149,2332 50TH AVE SW,47.58214494,-122.39425925
150,1220 SW MASSACHUSETTS ST,47.58725053,-122.35194098
151,3402 35TH AVE S,47.57232555,-122.28852691
152,9315 22ND AVE NW,47.69670741,-122.38463834
153,9315 22ND AVE NW,47.69670741,-122.38463834
154,1505 WESTLAKE AVE N,47.63264186,-122.34172768
155,5500 35TH AVE NE,47.66865435,-122.28997481
156,2432 MAGNOLIA BLVD W,47.64057122,-122.41163507
157,3916 CALIFORNIA AVE SW,47.56877206,-122.38633364
158,5544 27TH AVE NE,47.66980327,-122.29818359
159,5540 27TH AVE NE,47.66971513,-122.2981606
160,900 4TH AVE,47.60587719,-122.33204966
161,521 W RAYE ST,47.64289216,-122.36455691
162,2813 3RD AVE W,47.64532597,-122.36115799
163,3223 1ST AVE S,47.57495554,-122.33464746
164,7502 30TH AVE NE,47.68322895,-122.29551058
165,2833 10TH AVE E,47.64662429,-122.31996647
166,2318 BELVIDERE AVE SW,47.58275181,-122.37922259
167,2616 NW 56TH ST,47.6696779,-122.39094763
168,2620 NW 56TH ST,47.66967726,-122.39115447
169,303 S JACKSON ST,47.59871334,-122.32991008
170,7509 AURORA AVE N,47.68361712,-122.34483744
171,8118 LATONA AVE NE,47.68814115,-122.32541538
172,1301 N NORTHLAKE WAY,47.6478881,-122.34214994
173,432 NE RAVENNA BLVD,47.67825584,-122.32378041
174,3905 43RD AVE S,47.56856499,-122.27988187
175,1600 E JEFFERSON ST,47.60649299,-122.31122887
176,2340 19TH AVE S,47.58169159,-122.30788217
177,715 NW 90TH ST,47.6940849,-122.36543918
178,1610 3RD AVE N,47.63352293,-122.3517169
179,7353 16TH AVE NW,47.68289432,-122.37812059
180,12613 8TH AVE NE,47.72095546,-122.32116265
181,1211 E ALDER ST,47.60423386,-122.31548619
182,2709 NOB HILL AVE N,47.6447013,-122.35087091
183,6324 LANHAM PL SW,47.54591408,-122.37277763
184,2551 S RAYMOND ST,47.54839874,-122.29765754
185,1550 N 115TH ST,47.71425408,-122.3369027
186,1550 N 115TH ST,47.71425408,-122.3369027
187,1536 N 115TH ST,47.71260184,-122.33783193
188,5432 SEWARD PARK AVE S,47.55253464,-122.26294632
189,1214 10TH AVE W,47.63034486,-122.37016179
190,7406 DAYTON AVE N,47.68286429,-122.35230175
191,6235 AIRPORT WAY S,47.54785836,-122.31485079
192,2024 21ST AVE S,47.58528985,-122.30501692
193,1625 42ND AVE E,47.63417227,-122.27882509
194,213 18TH AVE,47.60396324,-122.30930183
195,4745 WEST MARGINAL WAY SW,47.5599854,-122.35222458
