id,address
1,412 HALLADAY ST
2,2656 42ND AVE SW
3,
4,2359 N 62ND ST
5,7538 43RD AVE S
6,1215 S CLOVERDALE ST
7,3812 NE 55TH ST
8,924 24TH AVE S
9,924 24TH AVE S
10,10011 WALLINGFORD AVE N
11,2351 24TH AVE S
12,3042 NE 137TH ST
13,5132 S BRIGHTON ST
14,4148 23RD AVE SW
15,2306 S GRAHAM ST
16,2361 13TH AVE S
17,1102 NE 106TH ST
18,3257 NW MARKET ST
19,4727 9TH AVE NE
20,4111 21ST AVE SW
21,1227 S CLOVERDALE ST
22,1225 S CLOVERDALE ST
23,1225 S CLOVERDALE ST
24,1219 S CLOVERDALE ST
25,1219 S CLOVERDALE ST
26,4157 23RD AVE SW
27,325 W KINNEAR PL
28,1014 5TH AVE N
29,2207 12TH AVE S
30,6185 4TH AVE S
31,2302 17TH AVE S
32,2302 17TH AVE S
33,12024 9TH AVE NW
34,12024 9TH AVE NW
35,4052 WILLIAMS AVE W
36,8815 RAVENNA AVE NE
37,3406 23RD AVE W
38,536 N 102ND ST
39,4727 9TH AVE NE
40,4727 9TH AVE NE
41,10520 GREENWOOD AVE N
42,10046 CALIFORNIA AVE SW
43,212 E BOSTON ST
44,4532 S HENDERSON ST
45,4524 7TH AVE NE
46,2522 14TH AVE S
47,2003 13TH AVE S
48,1141 N 91ST ST
49,4721 9TH AVE NE
50,6031 38TH AVE SW
51,2822 BOYER AVE E
52,6105 22ND AVE NW
53,8815 RAVENNA AVE NE
54,4719 9TH AVE NE
55,11204 ROOSEVELT WAY NE
56,13759 INTERLAKE AVE N
57,8605 14TH AVE S
58,2026 14TH AVE S
59,3053 FAUNTLEROY AVE SW
60,6501 FRANCIS AVE N
61,13759 INTERLAKE AVE N
62,12040 GREENWOOD AVE N
63,1900 23RD AVE S
64,1900 WESTLAKE AVE N
65,8125 48TH AVE S
66,906 S EDDY ST
67,8152 16TH AVE SW
68,1601 INTERLAKEN PL E
69,7729 15TH AVE SW
70,7503 16TH AVE SW
71,7503 16TH AVE SW
72,1900 WESTLAKE AVE N
73,133 NE 60TH ST
74,5725 25TH AVE NE
75,5634 32ND AVE SW
76,3838 AURORA AVE N
77,14032 RIVIERA PL NE
78,14357 BAGLEY AVE N
79,1226 S TRENTON ST
80,748 11TH AVE E
81,622 RAINIER AVE S
82,9614 RAINIER AVE S
83,1437 S DONOVAN ST
84,14356 MERIDIAN AVE N
85,1706 DEXTER AVE N
86,740 11TH AVE E
87,2448 NE NORTHGATE WAY
88,9032 17TH AVE SW
89,4561 S LUCILE ST
90,7531 13TH AVE SW
91,2700 RAINIER AVE S
92,3919 14TH AVE S
93,3115 WETMORE AVE S
94,9646 53RD AVE S
95,4809 42ND AVE S
96,3409 S JUNEAU ST
97,5519 S FLETCHER ST
98,2016 SW TRENTON ST
99,1220 BOYLSTON AVE
100,1702 DEXTER AVE N
101,1700 DEXTER AVE N
102,6409 BEACON AVE S
103,6714 CARLETON AVE S
104,1500 SW MYRTLE ST
105,11700 SAND POINT WAY NE
106,11700 SAND POINT WAY NE
107,9006 3RD AVE S
108,9034 3RD AVE S
109,4550 S HENDERSON ST
110,822 S CLOVERDALE ST
111,827 S CLOVERDALE ST
112,3945 S ELMGROVE ST
113,714 24TH AVE S
114,714 24TH AVE S
115,1627 SW WEBSTER ST
116,2214 E SPRUCE ST
117,6325 24TH AVE SW
118,2620 NW 56TH ST
119,2616 NW 56TH ST
120,1213 E SHELBY ST
121,
122,4306 SW JUNEAU ST
123,5617 32ND AVE SW
124,5617 32ND AVE SW
125,1922 AIRPORT WAY S
126,5719 S BANGOR ST
127,2027 S WASHINGTON ST
128,5446 32ND AVE SW
129,8400 14TH AVE SW
130,5947 32ND AVE SW
131,9032 17TH AVE SW
132,7118 28TH AVE SW
133,9033 17TH AVE SW
134,1220 S HOLGATE ST
135,3615 NE 115TH ST
136,8157 11TH AVE SW
137,1014 SW PORTLAND ST
138,736 BELMONT PL E
139,6820 51ST AVE S
140,1611 SW WEBSTER ST
141,7719 15TH AVE SW
142,2145 N 133RD ST
143,4835 DELRIDGE WAY SW
144,838 28TH AVE S
145,8907 20TH AVE NE
146,2645 NW 90TH ST
147,10010 DENSMORE AVE N
148,6115 S PILGRIM ST
149,9013 6TH AVE NW
150,9013 6TH AVE NW
151,714 N 95TH ST
152,3025 NE 130TH ST
153,9818 ROOSEVELT WAY NE
154,9818 ROOSEVELT WAY NE
155,6301 RAINIER AVE S
156,1917 EASTLAKE AVE E
157,4722 2ND AVE NE
158,3200 E UNION ST
159,1800 E OLIVE WAY
160,1005 NE 72ND ST
161,707 WESTLAKE AVE N
162,346 NW 89TH ST
163,2324 W NEWTON ST
164,7740 16TH AVE SW
165,1514 N 40TH ST
166,2236 YALE AVE E
167,1501 S DONOVAN ST
168,1040 S DONOVAN ST
169,9028 14TH AVE SW
170,2601 12TH AVE W
171,2001 13TH AVE S
172,5930 34TH AVE SW
173,6420 FLORA AVE S
174,4526 55TH AVE NE
175,6553 DIBBLE AVE NW
176,6553 DIBBLE AVE NW
177,7124 31ST AVE SW
178,816 NW 52ND ST
179,816 NW 52ND ST
180,3528 NE 130TH ST
181,5024 35TH AVE NE
182,5024 35TH AVE NE
183,2336 44TH AVE SW
184,612 N 45TH ST
185,207 17TH AVE
186,1740 1ST AVE S
187,1506 NW 61ST ST
188,10535 INTERLAKE AVE N
189,4019 16TH AVE SW
190,2020 S JACKSON ST
191,4808 S FRONTENAC ST
192,621 18TH AVE S
193,9029 16TH AVE SW
194,5134 48TH AVE S
195,5134 48TH AVE S
196,5402 S CLOVERDALE ST
197,114 ALASKAN WAY S
198,2843 NW 91ST ST
199,14327 FREMONT AVE N
200,6224 CARLETON AVE S
201,1311 N 79TH ST
202,4002 NE 135TH ST
203,13029A 3RD AVE NE
204,4405 CORLISS AVE N
205,12340 33RD AVE NE
206,8511 19TH AVE NW
207,8511 19TH AVE NW
208,2201 NW 64TH ST
209,2201 NW 64TH ST
210,6115 S PILGRIM ST
211,3008 NE 95TH ST
212,3925 M L KING JR WAY S
213,6743 15TH AVE NW
214,6215 20TH AVE NW
215,1022 NE 127TH ST
216,1022 NE 127TH ST
217,6118 BEACON AVE S
218,10423 62ND AVE S
219,10423 62ND AVE S
220,4710 UNIVERSITY WAY NE
221,1513 SW HOLDEN ST
222,1513 SW HOLDEN ST
223,7748 16TH AVE SW
224,6759 16TH AVE SW
225,9208 12TH AVE SW
226,1251 S CLOVERDALE ST
227,723 23RD AVE
228,9238 13TH AVE SW
229,903 UNION ST
230,7951 7TH AVE SW
231,8631 17TH AVE SW
232,8631 17TH AVE SW
233,1432 30TH AVE
234,2211 24TH AVE E
235,1848 WESTLAKE AVE N
236,8029 ASHWORTH AVE N
237,4154 41ST AVE S
238,9462 OLSON PL SW
239,1414 NE 56TH ST
240,1414 NE 56TH ST
241,1441 NW 59TH ST
242,1441 NW 59TH ST
243,903 UNION ST
244,305 ERIE AVE
245,1801 E YESLER WAY
246,9738 14TH AVE NW
247,11907 LAKESIDE PL NE
248,8700 2ND AVE NW
249,1701 37TH AVE
250,12739 LAKE CITY WAY NE
251,9820 TRITON DR NW
252,5908 FAUNTLEROY WAY SW
253,6002 3RD AVE NW
254,6002 3RD AVE NW
255,10015 42ND AVE SW
256,1819 WESTLAKE AVE N
257,1848 WESTLAKE AVE N
258,8004 39TH AVE SW
259,8004 39TH AVE SW
260,1110 14TH AVE
261,1110 14TH AVE
262,3232 FUHRMAN AVE E
263,4740 DELRIDGE WAY SW
264,1110 14TH AVE
265,7713 RAINIER AVE S
266,10340 AURORA AVE N
267,5917 34TH AVE SW
268,6379 DELRIDGE WAY SW
269,1110 14TH AVE
270,6316 22ND AVE SW
271,7509 12TH AVE SW
272,308 22ND AVE S
273,1257 S CLOVERDALE ST
274,214 E BOSTON ST
275,1406 37TH AVE
276,7510 15TH AVE NW
277,4118 20TH AVE SW
278,4348 S HENDERSON ST
279,538 LAKESIDE AVE S
280,1501 26TH AVE S
281,7262 RAINIER AVE S
282,7262 RAINIER AVE S
283,210 NW 101ST ST
284,
285,1509 STURGUS AVE S
286,1509 STURGUS AVE S
287,13306 20TH AVE NE
288,8448 54TH AVE S
289,8448 54TH AVE S
290,9023 38TH AVE S
291,10701 LINDEN AVE N
292,9627 53RD AVE S
293,2711 S LANE ST
294,12209 7TH AVE NW
295,6810 40TH AVE NE
296,1500 16TH AVE
297,5209 RUSSELL AVE NW
298,1010 S DEARBORN ST
299,7942 16TH AVE SW
300,8755 PHINNEY AVE N
301,8759 PHINNEY AVE N
302,8148 16TH AVE SW
303,8148 16TH AVE SW
304,1288 NW BLAKELY CT
305,3638 50TH AVE NE
306,7515 AURORA AVE N
307,5314 8TH AVE NE
308,7555 25TH AVE NE
309,11813 BEACON AVE S
310,9043 18TH AVE SW
311,9036 4TH AVE SW
312,5016 21ST AVE NE
313,4029 7TH AVE NE
314,172 17TH AVE
315,818 17TH AVE
316,8700 2ND AVE NW
317,5744 37TH AVE NE
318,5744 37TH AVE NE
319,7201 EAST MARGINAL WAY S
320,900 17TH AVE
321,1151 N 94TH ST
322,8512 DIBBLE AVE NW
323,5471 S OTHELLO ST
324,10419 ROOSEVELT WAY NE
325,4063 RAINIER AVE S
326,8639 31ST AVE SW
327,2350 N 115TH ST
328,6049 SEAVIEW AVE NW
329,8724 SAND POINT WAY NE
330,8732 SAND POINT WAY NE
331,1507 NE RAVENNA BLVD
332,11045 35TH AVE NE
333,106 CHERRY ST
334,5046 35TH AVE NE
335,5050 35TH AVE NE
336,6546 DIBBLE AVE NW
337,3706 47TH PL NE
338,10784 68TH AVE S
339,719 23RD AVE
340,12242 PALATINE AVE N
341,12242 PALATINE AVE N
342,11025 LAKE CITY WAY NE
343,2551 S RAYMOND ST
344,5921 34TH AVE SW
345,5921 34TH AVE SW
346,524 6TH AVE W
347,3827 33RD AVE SW
348,2500 SW TRENTON ST
349,322 20TH AVE
350,2900 NE BLAKELEY ST
351,801 5TH AVE
352,2305 24TH AVE S
353,5703 40TH AVE NE
354,3813 19TH AVE SW
355,418 NE 92ND ST
356,3652 S ANDOVER ST
357,4201 37TH AVE S
358,8331 WABASH AVE S
359,3227 14TH AVE W
360,801 5TH AVE
361,3411 35TH AVE SW
362,3844 29TH AVE W
