id,case_type
1,CONSTRUCTION
2,CITATION
3,TENANT RELOCATION ORDINANCE
4,HOUSING / ZONING
5,CITATION
6,HOUSING / ZONING
7,CONSTRUCTION
8,CITATION
9,CITATION
10,HOUSING / ZONING
11,HOUSING / ZONING
12,CONSTRUCTION
13,CITATION
14,CITATION
15,CITATION
16,HOUSING / ZONING
17,HOUSING / ZONING
18,TENANT RELOCATION ORDINANCE
19,CITATION
20,CITATION
21,CITATION
22,CITATION
23,HOUSING / ZONING
24,CITATION
25,HOUSING / ZONING
26,CITATION
27,CONSTRUCTION
28,CONSTRUCTION
29,CITATION
30,HOUSING / ZONING
31,CITATION
32,CITATION
33,CITATION
34,CITATION
35,CITATION
36,HOUSING / ZONING
37,CITATION
38,CITATION
39,CITATION
40,CITATION
41,CONSTRUCTION
42,CITATION
43,HOUSING / ZONING
44,HOUSING / ZONING
45,TENANT RELOCATION ORDINANCE
46,TENANT RELOCATION ORDINANCE
47,TENANT RELOCATION ORDINANCE
48,TENANT RELOCATION ORDINANCE
49,CITATION
50,CONSTRUCTION
51,HOUSING / ZONING
52,HOUSING / ZONING
53,HOUSING / ZONING
54,CITATION
55,HOUSING / ZONING
56,HOUSING / ZONING
57,HOUSING / ZONING
58,HOUSING / ZONING
59,HOUSING / ZONING
60,CITATION
61,HOUSING / ZONING
62,HOUSING / ZONING
63,CITATION
64,HOUSING / ZONING
65,CITATION
66,CITATION
67,CITATION
68,CITATION
69,CITATION
70,CITATION
71,CITATION
72,HOUSING / ZONING
73,HOUSING / ZONING
74,HOUSING / ZONING
75,CITATION
76,CITATION
77,HOUSING / ZONING
78,CITATION
79,HOUSING / ZONING
80,HOUSING / ZONING
81,CITATION
82,HOUSING / ZONING
83,HOUSING / ZONING
84,CITATION
85,CITATION
86,HOUSING / ZONING
87,CITATION
88,HOUSING / ZONING
89,CITATION
90,CITATION
91,HOUSING / ZONING
92,CITATION
93,CITATION
94,CITATION
95,CITATION
96,CITATION
97,CITATION
98,HOUSING / ZONING
99,HOUSING / ZONING
100,CITATION
101,CITATION
102,CITATION
103,CITATION
104,HOUSING / ZONING
105,CITATION
106,CITATION
107,CITATION
108,CITATION
109,HOUSING / ZONING
110,CITATION
111,CITATION
112,CITATION
113,CITATION
114,CITATION
115,CITATION
116,CITATION
117,CITATION
118,CONSTRUCTION
119,CONSTRUCTION
120,HOUSING / ZONING
121,HOUSING / ZONING
122,CITATION
123,CITATION
124,CITATION
125,HOUSING / ZONING
126,CITATION
127,CITATION
128,CITATION
129,CITATION
130,CITATION
131,HOUSING / ZONING
132,CITATION
133,CITATION
134,HOUSING / ZONING
135,CITATION
136,CITATION
137,CITATION
138,TENANT RELOCATION ORDINANCE
139,HOUSING / ZONING
140,CITATION
141,CITATION
142,CITATION
143,HOUSING / ZONING
144,CITATION
145,HOUSING / ZONING
146,CONSTRUCTION
147,CONSTRUCTION
148,CITATION
149,CONSTRUCTION
150,CONSTRUCTION
151,CITATION
152,HOUSING / ZONING
153,CONSTRUCTION
154,CONSTRUCTION
155,HOUSING / ZONING
156,HOUSING / ZONING
157,CONSTRUCTION
158,HOUSING / ZONING
159,CONSTRUCTION
160,CONSTRUCTION
161,CONSTRUCTION
162,CITATION
163,HOUSING / ZONING
164,CITATION
165,HOUSING / ZONING
166,CONDO CONVERSION AND PRESALE
167,CITATION
168,CITATION
169,CONSTRUCTION
170,CONSTRUCTION
171,HOUSING / ZONING
172,CITATION
173,CITATION
174,HOUSING / ZONING
175,CITATION
176,CITATION
177,CITATION
178,CITATION
179,CITATION
180,CITATION
181,HOUSING / ZONING
182,HOUSING / ZONING
183,TENANT RELOCATION ORDINANCE
184,TENANT RELOCATION ORDINANCE
185,HOUSING / ZONING
186,CONSTRUCTION
187,CONSTRUCTION
188,HOUSING / ZONING
189,HOUSING / ZONING
190,CITATION
191,CITATION
192,TENANT RELOCATION ORDINANCE
193,HOUSING / ZONING
194,CITATION
195,CITATION
196,CITATION
197,HOUSING / ZONING
198,VACANT BUILDING MONITORING
199,VACANT BUILDING MONITORING
200,CITATION
201,CITATION
202,VACANT BUILDING MONITORING
203,CITATION
204,CONSTRUCTION
205,HOUSING / ZONING
206,CITATION
207,CITATION
208,CITATION
209,CITATION
210,HOUSING / ZONING
211,CITATION
212,CONSTRUCTION
213,HOUSING / ZONING
214,VACANT BUILDING MONITORING
215,CITATION
216,CITATION
217,HOUSING / ZONING
218,CITATION
219,CITATION
220,CONSTRUCTION
221,HOUSING / ZONING
222,CITATION
223,CITATION
224,CITATION
225,CITATION
226,HOUSING / ZONING
227,CITATION
228,HOUSING / ZONING
229,TENANT RELOCATION ORDINANCE
230,CONSTRUCTION
231,CITATION
232,CITATION
233,CONSTRUCTION
234,CONSTRUCTION
235,CONSTRUCTION
236,CONSTRUCTION
237,HOUSING / ZONING
238,CITATION
239,HOUSING / ZONING
240,HOUSING / ZONING
241,CITATION
242,CITATION
243,TENANT RELOCATION ORDINANCE
244,CITATION
245,HOUSING / ZONING
246,CITATION
247,CONSTRUCTION
248,CITATION
249,CONSTRUCTION
250,HOUSING / ZONING
251,CONSTRUCTION
252,CITATION
253,CONSTRUCTION
254,CONSTRUCTION
255,CONSTRUCTION
256,CONSTRUCTION
257,CONSTRUCTION
258,HOUSING / ZONING
259,HOUSING / ZONING
260,HOUSING / ZONING
261,HOUSING / ZONING
262,CONSTRUCTION
263,HOUSING / ZONING
264,CITATION
265,CITATION
266,CONSTRUCTION
267,CITATION
268,CITATION
269,HOUSING / ZONING
270,CITATION
271,CITATION
272,HOUSING / ZONING
273,HOUSING / ZONING
274,HOUSING / ZONING
275,HOUSING / ZONING
276,TENANT RELOCATION ORDINANCE
277,HOUSING / ZONING
278,CITATION
279,HOUSING / ZONING
280,CITATION
281,CITATION
282,CITATION
283,CONSTRUCTION
284,VACANT BUILDING MONITORING
285,TENANT RELOCATION ORDINANCE
286,TENANT RELOCATION ORDINANCE
287,CITATION
288,CITATION
289,CITATION
290,CITATION
291,CITATION
292,CITATION
293,HOUSING / ZONING
294,CONSTRUCTION
295,CONSTRUCTION
296,CONSTRUCTION
297,HOUSING / ZONING
298,HOUSING / ZONING
299,HOUSING / ZONING
300,HOUSING / ZONING
301,HOUSING / ZONING
302,CONSTRUCTION
303,CONSTRUCTION
304,CONSTRUCTION
305,CONSTRUCTION
306,CONSTRUCTION
307,CONSTRUCTION
308,HOUSING / ZONING
309,CITATION
310,CITATION
311,CITATION
312,CONSTRUCTION
313,HOUSING / ZONING
314,HOUSING / ZONING
315,CONSTRUCTION
316,CONSTRUCTION
317,HOUSING / ZONING
318,HOUSING / ZONING
319,HOUSING / ZONING
320,HOUSING / ZONING
321,HOUSING / ZONING
322,HOUSING / ZONING
323,HOUSING / ZONING
324,HOUSING / ZONING
325,CITATION
