id,group
1,BUILDING
2,WEEDS AND VEGETATION
3,
4,HOUSING
5,ZONING
6,HOUSING
7,MECHANICAL
8,ZONING
9,ZONING
10,HOUSING
11,VACANT BUILDING
12,SITE
13,ZONING
14,ZONING
15,WEEDS AND VEGETATION
16,ZONING
17,HOUSING
18,TENANT RELOCATION ASSIST ORD
19,WEEDS AND VEGETATION
20,WEEDS AND VEGETATION
21,ZONING
22,ZONING
23,HOUSING
24,ZONING
25,HOUSING
26,ZONING
27,BUILDING
28,BUILDING
29,ZONING
30,ZONING
31,ZONING
32,ZONING
33,ZONING
34,ZONING
35,WEEDS AND VEGETATION
36,HOUSING
37,WEEDS AND VEGETATION
38,ZONING
39,WEEDS AND VEGETATION
40,WEEDS AND VEGETATION
41,BUILDING
42,ZONING
43,VACANT BUILDING
44,HOUSING
45,TENANT RELOCATION ASSIST ORD
46,TENANT RELOCATION ASSIST ORD
47,TENANT RELOCATION ASSIST ORD
48,TENANT RELOCATION ASSIST ORD
49,WEEDS AND VEGETATION
50,BUILDING
51,ZONING
52,VACANT BUILDING
53,HOUSING
54,WEEDS AND VEGETATION
55,VACANT BUILDING
56,VACANT BUILDING
57,ZONING
58,HOUSING
59,VACANT BUILDING
60,WEEDS AND VEGETATION
61,VACANT BUILDING
62,HOUSING
63,WEEDS AND VEGETATION
64,ZONING
65,ZONING
66,ZONING
67,ZONING
68,WEEDS AND VEGETATION
69,ZONING
70,ZONING
71,ZONING
72,ZONING
73,VACANT BUILDING
74,VACANT BUILDING
75,ZONING
76,WEEDS AND VEGETATION
77,ZONING
78,WEEDS AND VEGETATION
79,JUST CAUSE EVICTION
80,VACANT BUILDING
81,WEEDS AND VEGETATION
82,VACANT BUILDING
83,VACANT BUILDING
84,WEEDS AND VEGETATION
85,WEEDS AND VEGETATION
86,VACANT BUILDING
87,ZONING
88,HOUSING
89,ZONING
90,ZONING
91,ZONING
92,ZONING
93,ZONING
94,ZONING
95,ZONING
96,ZONING
97,WEEDS AND VEGETATION
98,ZONING
99,HOUSING
100,WEEDS AND VEGETATION
101,WEEDS AND VEGETATION
102,ZONING
103,WEEDS AND VEGETATION
104,ZONING
105,ZONING
106,ZONING
107,ZONING
108,ZONING
109,HOUSING
110,ZONING
111,ZONING
112,ZONING
113,ZONING
114,ZONING
115,ZONING
116,ZONING
117,ZONING
118,BUILDING
119,BUILDING
120,ZONING
121,JUST CAUSE EVICTION
122,ZONING
123,ZONING
124,ZONING
125,ZONING
126,ZONING
127,ZONING
128,ZONING
129,ZONING
130,ZONING
131,HOUSING
132,ZONING
