id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
1,6532416,2814 W EATON ST,0,0,0
2,6532415,4264 WEST MARGINAL WAY SW,0,0,0
3,6532383,7025 13TH AVE SW,0,0,0
4,6532414,1426 WARREN AVE N,0,0,0
5,6532412,2324 MAGNOLIA BLVD W,0,0,0
6,6532398,2324 MAGNOLIA BLVD W,0,0,0
7,6532399,8333 18TH AVE NW,0,0,0
8,6532394,9768 27TH AVE NE,0,0,0
9,6532381,1633 WESTLAKE AVE N,0,0,0
10,6532378,2316 NE 130TH ST,0,0,0
11,6532178,1222 E MADISON ST,0,0,0
12,6532372,1101 NEWPORT WAY,0,0,0
13,6532364,1501 4TH AVE,0,0,0
14,6532309,4722 48TH AVE NE,0,0,0
15,6532333,4722 48TH AVE NE,0,0,0
16,6532362,5704 NE 60TH ST,0,0,0
17,6532327,400 S JACKSON ST,0,0,0
18,6532247,814 W GARFIELD ST,0,0,0
19,6532346,3617 NE 45TH ST,0,0,0
20,6532339,2726 30TH AVE S,0,0,0
21,6532336,2140 34TH AVE W,0,0,0
22,6532041,1401 1ST AVE,0,0,0
23,6532324,2601 25TH AVE W,0,0,0
24,6532325,2666 ALKI AVE SW,0,0,0
25,6532322,12018 33RD AVE NE,0,0,0
26,6532318,1513 31ST AVE S,0,0,0
27,6532317,1513 31ST AVE S,0,0,0
28,6532314,3845 EVANSTON AVE N,0,0,0
29,6532311,3845 EVANSTON AVE N,0,0,0
30,6532308,6511 29TH AVE NE,0,0,0
31,6532306,6511 29TH AVE NE,0,0,0
32,6532302,5252 36TH AVE SW,0,0,0
33,6532300,4300 36TH AVE W,0,0,0
34,6532299,1626 25TH AVE,0,0,0
35,6532279,2202 8TH AVE,0,0,0
36,6532262,10039 49TH AVE NE,0,0,0
37,6531954,3800 WOODLAND PARK AVE N,0,0,0
38,6531953,4000 15TH AVE NE,0,0,0
39,6532195,1001 4TH AVE,0,0,0
40,6532198,1001 4TH AVE,0,0,0
41,6532199,1001 4TH AVE,0,0,0
42,6528935,1395 MARION ST,0,0,0
43,6529340,1007 1ST AVE,0,0,0
44,6528636,1501 4TH AVE,0,0,0
45,6527311,1008 WESTERN AVE,0,0,0
46,6520726,221 24TH AVE E,0,0,0
47,6532200,1001 4TH AVE,0,0,0
48,6532168,3822 CORLISS AVE N,0,0,0
49,6532174,617 18TH AVE E,0,0,0
50,6531991,8750 HAMLET AVE S,0,0,0
51,6532149,3501 W OHMAN PL,0,0,0
52,6532146,356 N 80TH ST,0,0,0
53,6532150,357 NW 84TH ST,0,0,0
54,6523761,1701 18TH AVE S,0,0,0
55,6531977,5412 6TH AVE NW,0,0,0
56,6531882,13244 2ND AVE NW,0,0,0
57,6531982,118 NW 83RD ST,0,0,0
58,6531982,118 NW 83RD ST,0,0,0
59,6531973,6220 5TH AVE NW,0,0,0
60,6531980,6220 5TH AVE NW,0,0,0
61,6532144,13035 42ND AVE NE,0,0,0
62,6532141,4528 44TH AVE SW,0,0,0
63,6531986,2103 NW 95TH ST,0,0,0
64,6531987,3410 59TH AVE SW,0,0,0
65,6531988,3707 42ND AVE S,0,0,0
66,6531989,3506 TROLL AVE N,0,0,0
67,6532136,958 N MOTOR PL,0,0,0
68,6531990,7348 12TH AVE NW,0,0,0
69,6531978,5412 6TH AVE NW,0,0,0
70,6531893,2437 3RD AVE W,0,0,0
71,6531890,13244 2ND AVE NW,0,0,0
72,6532054,4700 SW ADMIRAL WAY,0,0,0
73,6531892,8222 CORLISS AVE N,0,0,0
74,6532127,1851 N 54TH ST,0,0,0
75,6532122,1201 3RD AVE,0,0,0
76,6531981,1620 43RD AVE E,0,0,0
77,6532111,702 31ST AVE S,0,0,0
78,6532104,1212 HARRISON ST,0,0,0
79,6531943,11703 2ND AVE NW,0,0,0
80,6530351,1809 MINOR AVE,0,0,0
81,6531985,8649 21ST AVE NW,0,0,0
82,6531985,8649 21ST AVE NW,0,0,0
83,6531944,11703 2ND AVE NW,0,0,0
84,6531870,5632 31ST AVE SW,0,0,0
85,6531825,11526 FREMONT AVE N,0,0,0
86,6531868,2611 49TH AVE SW,0,0,0
87,6532093,4752 CALIFORNIA AVE SW,0,0,0
88,6532095,4801 RAINIER AVE S,0,0,0
89,6532076,1501 4TH AVE,0,0,0
90,6531972,8312 49TH AVE S,0,0,0
91,6532085,7104 WOODLAWN AVE NE,0,0,0
92,6532091,3736 S HOLLY ST,0,0,0
93,6532082,3230 16TH AVE W,0,0,0
94,6532086,3501 NE 45TH ST,0,0,0
95,6532083,4114 EVANSTON AVE N,0,0,0
96,6532075,5528 S OTHELLO ST,0,0,0
97,6532073,5528 S OTHELLO ST,0,0,0
98,6532079,2808B 14TH AVE W,0,0,0
99,6532079,2808B 14TH AVE W,0,0,0
100,6531979,7740 BAGLEY AVE N,0,0,0
101,6532068,5952 38TH AVE SW,0,0,0
102,6532064,1910 1ST AVE,0,0,0
103,6524607,1526 1ST AVE,0,0,0
104,6531958,6021 BEACH DR SW,0,0,0
105,6532049,225 S LUCILE ST,0,0,0
106,6532046,3300 NE 65TH ST,0,0,0
107,6532035,747 BROADWAY,0,0,0
108,6532030,1237 W BOTHWELL ST,0,0,0
109,6532018,524 5TH AVE W,0,0,0
110,6532014,227 32ND AVE,0,0,0
111,6532011,1721 31ST AVE S,0,0,0
112,6532011,1721 31ST AVE S,0,0,0
113,6531955,218 OCCIDENTAL AVE S,0,0,0
114,6531955,218 OCCIDENTAL AVE S,0,0,0
115,6532000,5014 45TH AVE S,0,0,0
116,6531570,2107 4TH AVE W,0,0,0
117,6531576,2107 4TH AVE W,0,0,0
118,6528173,1420 5TH AVE,0,0,0
119,6531948,6414 37TH AVE NW,0,0,0
120,6531182,1427 11TH AVE,0,0,0
121,6524607,1526 1ST AVE,0,0,0
122,6531963,714 E PIKE ST,0,0,0
123,6531952,3669 FRANCIS AVE N,0,0,0
124,6531159,2917 FUHRMAN AVE E,0,0,0
125,6528502,2722 EASTLAKE AVE E,0,0,0
126,6531877,3817 WHITMAN AVE N,0,0,0
127,6531877,3817 WHITMAN AVE N,0,0,0
128,6531412,2628 39TH AVE W,0,0,0
129,6531410,1004 W BERTONA ST,0,0,0
130,6531409,3838 53RD AVE SW,0,0,0
131,6531406,3838 53RD AVE SW,0,0,0
132,6531860,6520 4TH AVE NW,0,0,0
133,6531859,9705 WOODLAWN AVE N,0,0,0
134,6531856,9707 WOODLAWN AVE N,0,0,0
135,6531853,9707 WOODLAWN AVE N,0,0,0
136,6531842,5601 FAUNTLEROY WAY SW,0,0,0
137,6531841,9705 WOODLAWN AVE N,0,0,0
138,6531809,1763 S DAWSON ST,0,0,0
139,6531840,6520 4TH AVE NW,0,0,0
140,6531817,1763 S DAWSON ST,0,0,0
141,6531839,2321 S HOLGATE ST,0,0,0
142,6531838,822 NW 50TH ST,0,0,0
143,6531862,1508 NE 68TH ST,0,0,0
144,6531837,611 22ND AVE,0,0,0
145,6531836,611 22ND AVE,0,0,0
146,6531833,609 22ND AVE,0,0,0
147,6531858,3915 SW 97TH ST,0,0,0
148,6528725,4505 42ND AVE SW,0,0,0
149,6531846,9730 EVANSTON AVE N,0,0,0
150,6531457,2007 30TH AVE S,0,0,0
151,6531459,2007 30TH AVE S,0,0,0
152,6531828,1100 S MASSACHUSETTS ST,0,0,0
153,6531818,1537 NW 56TH ST,0,0,0
154,6525152,701 5TH AVE,0,0,0
155,6531520,910 JOHN ST,0,0,0
156,6528918,2900 NE BLAKELEY ST,0,0,0
