id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
1,6532416,2814 W EATON ST,,,
2,6532415,4264 WEST MARGINAL WAY SW,,,
3,6532383,7025 13TH AVE SW,,,
4,6532414,1426 WARREN AVE N,,,
5,6532412,2324 MAGNOLIA BLVD W,,,
6,6532398,2324 MAGNOLIA BLVD W,,,
7,6532399,8333 18TH AVE NW,,,
8,6532394,9768 27TH AVE NE,,,
9,6532381,1633 WESTLAKE AVE N,,,
10,6532378,2316 NE 130TH ST,,,
11,6532178,1222 E MADISON ST,,,
12,6532372,1101 NEWPORT WAY,,,
13,6532364,1501 4TH AVE,,,
14,6532309,4722 48TH AVE NE,,,
15,6532333,4722 48TH AVE NE,,,
16,6532362,5704 NE 60TH ST,,,
17,6532327,400 S JACKSON ST,,,
18,6532247,814 W GARFIELD ST,,,
19,6532346,3617 NE 45TH ST,,,
20,6532339,2726 30TH AVE S,,,
21,6532336,2140 34TH AVE W,,,
22,6532041,1401 1ST AVE,,,
23,6532324,2601 25TH AVE W,,,
24,6532325,2666 ALKI AVE SW,,,
25,6532322,12018 33RD AVE NE,,,
26,6532318,1513 31ST AVE S,,,
27,6532317,1513 31ST AVE S,,,
28,6532314,3845 EVANSTON AVE N,,,
29,6532311,3845 EVANSTON AVE N,,,
30,6532308,6511 29TH AVE NE,,,
31,6532306,6511 29TH AVE NE,,,
32,6532302,5252 36TH AVE SW,,,
33,6532300,4300 36TH AVE W,,,
34,6532299,1626 25TH AVE,,,
35,6532279,2202 8TH AVE,,,
36,6532262,10039 49TH AVE NE,,,
37,6531954,3800 WOODLAND PARK AVE N,,,
38,6531953,4000 15TH AVE NE,,,
39,6532195,1001 4TH AVE,,,
40,6532198,1001 4TH AVE,,,
41,6532199,1001 4TH AVE,,,
42,6528935,1395 MARION ST,,,
43,6529340,1007 1ST AVE,,,
44,6528636,1501 4TH AVE,,,
45,6527311,1008 WESTERN AVE,,,
46,6520726,221 24TH AVE E,,,
47,6532200,1001 4TH AVE,,,
48,6532168,3822 CORLISS AVE N,,,
