id,address
1,"1333 5th Ave # 300, Seattle, WA 98101"
2,"1835 12th Ave, Seattle, WA 98122"
3,"8414 Greenwood Ave N, Seattle, WA 98103 "
4,"8001 Greenwood Ave N, Seattle, WA 98103"
5,"2323 Elliott Ave, Seattle, WA 98121"
6,"17 Ave NE and Northeast 45th St, Seattle, WA 98105"
7,"501 S Jackson St, Suite 202, Seattle, WA 98104"
8,"2300 E Cherry St, Seattle, WA 98122"
9,"4775 Ballard Ave NW, Seattle, WA 98107"
10,"3801 W Government Way, Seattle, WA 98199"
11,"500 Aurora Ave N, Seattle, WA 98109"
12,"1300 1st Ave, Seattle, WA 98101"
13,"1400 E Prospect St, Seattle, WA 98112"
14,"158 Thomas St, Seattle, WA 98109"
15,"201 Mercer St, Seattle, WA 98109"
16,"226 1st Ave N Seattle, WA 98109"
17,"2227 5th Ave, Seattle, WA 98121"
18,"508 Maynard Ave S, Seattle, WA 98104"
19,"1411 21st Ave, Seattle, WA 98122"
20,"2100 4th Ave, Seattle, WA 98121"
21,"1403 NE 50th St. Seattle, WA 98105"
22,"2044 NW Market St Seattle, WA 98107"
23,"1515 12th Ave, Seattle, WA 98122"
24,"305 Harrison St, Seattle, WA 98109"
25,"2505 1st Ave, Seattle, WA 98121"
26,"601 N 59th St, Seattle, WA 98103"
27,"1010 Valley Street Seattle, WA 98109"
28,"1475 N Northlake Place, Seattle, WA 98103"
29,"3003 61st Ave SW, Seattle, WA 98116"
30,"2300 S Massachusetts St, Seattle, WA 98144"
31,"6000 16th Ave SW, Seattle, WA 98106"
32,"1521 10th Ave, Seattle, WA 98122"
33,"1634 11th Ave, Seattle, WA 98122"
34,"525 South Weller St. Seattle, WA 98144"
35,"1408 NE 42nd St, Seattle, WA 98105"
36,"3504 Fremont Ave N, Seattle, WA 98103"
37,"5614 22nd Ave NW, Seattle, WA 98107"
38,"2821 Beacon Ave S,. Seattle, WA 98144"
39,"12755 Greenwood Ave N, Seattle, WA 98133"
40,"425 Harvard Ave E, Seattle, WA 98102"
41,"4721 Rainier Ave S, Seattle, WA 98118"
42,"5423 Delridge Way SW, Seattle, WA 98106"
43,"2300 E Yesler Way, Seattle, WA 98122"
44,"731 N. 35th St. Seattle, WA 98103"
45,"7364 E. Green Lake Dr. N. Seattle, WA 98115"
