ID,PermitNumber,PermitType,Status
1,6524755,Site Development,AP Closed
2,6531855,Construction,Permit Issued
3,6532393,Construction,Permit Issued
4,6532396,Construction,Permit Issued
5,6528341,Construction,Permit Issued
6,6532397,Construction,Permit Issued
7,6532391,Site Development,AP Closed
8,6532380,Construction,Permit Issued
9,6532363,Construction,Permit Issued
10,6532356,Construction,Permit Issued
11,6529647,Construction,Permit Issued
12,6532328,Construction,Application Accepted
13,6501600,Construction,Application Accepted
14,6500935,Construction,Application Accepted
15,6532263,Demolition,Reviews Completed
16,6524901,Construction,Application Accepted
17,6514622,Construction,Application Accepted
18,6531653,Construction,Permit Issued
19,6532259,Construction,Permit Issued
20,6517080,Construction,Application Accepted
21,6531022,Construction,Permit Issued
22,6528309,Construction,Application Accepted
23,6507342,Demolition,Reviews Completed
24,6532249,Construction,Permit Issued
25,6532097,Construction,Permit Issued
26,6529925,Construction,Application Accepted
27,6529745,Construction,Application Accepted
28,6526806,Construction,Application Accepted
29,6526806,Construction,Application Accepted
30,6532107,Demolition,Reviews Completed
31,6518623,Construction,Application Accepted
32,6520919,Construction,Application Accepted
33,6489775,Construction,Application Accepted
34,6532172,Site Development,AP Closed
35,6522552,Construction,Application Accepted
36,6532123,Construction,Permit Issued
37,6532169,Construction,Permit Issued
38,6528064,Construction,Application Accepted
39,6365769,Construction,Application Accepted
40,6530536,Construction,Permit Issued
41,6532135,Construction,Permit Issued
42,6532131,Construction,Permit Issued
43,6531750,Construction,Permit Issued
44,6463633,Construction,Application Accepted
45,6532066,Construction,Permit Issued
46,6532066,Construction,Permit Issued
47,6530707,Construction,Application Accepted
48,6512577,Construction,Permit Issued
49,6532045,Construction,Permit Issued
50,6532050,Construction,Permit Issued
51,6524965,Construction,Permit Issued
52,6526840,Construction,Application Accepted
53,6526840,Construction,Application Accepted
54,6515246,Construction,Application Accepted
55,6532033,Construction,Permit Issued
56,6530871,Construction,Application Accepted
57,6519420,Construction,Application Accepted
58,6519420,Construction,Application Accepted
59,6511006,Construction,Application Accepted
60,6417863,Construction,Application Accepted
61,6516691,Construction,Application Accepted
62,6523731,Construction,Application Accepted
63,6530364,Construction,Application Accepted
64,6530364,Construction,Application Accepted
65,6464198,Demolition,Reviews Completed
66,6518986,Construction,Application Accepted
67,6521715,Construction,Application Accepted
68,6128351,Construction,
69,6518508,Construction,Application Accepted
70,6525805,Construction,Application Accepted
71,6525805,Construction,Application Accepted
72,6531727,Demolition,Reviews Completed
73,6531808,Demolition,Reviews Completed
74,6530360,Construction,Application Accepted
75,6524905,Construction,Application Accepted
76,6524905,Construction,Application Accepted
77,6513689,Construction,Application Accepted
78,6530258,Construction,Permit Issued
79,6530258,Construction,Permit Issued
80,6524944,Construction,Application Accepted
81,6530062,Construction,Permit Issued
82,6531863,Construction,Permit Issued
83,6524629,Construction,Application Accepted
84,6524629,Construction,Application Accepted
85,6513734,Construction,Application Accepted
86,6531848,Construction,Permit Issued
87,6484299,Construction,Permit Issued
88,6529731,Construction,Application Accepted
89,6526928,Construction,Application Accepted
90,6531805,Construction,Permit Issued
91,6530654,Construction,Permit Issued
92,6530654,Construction,Permit Issued
93,6526647,Construction,Application Accepted
94,6531642,Demolition,Reviews Completed
95,6491624,Construction,Application Accepted
96,6531742,Construction,Application Accepted
97,6531596,Construction,Permit Issued
98,6517860,Construction,Application Accepted
99,6530363,Construction,Permit Issued
100,6527622,Construction,Permit Issued
101,6517136,Construction,Application Accepted
102,6531737,Construction,Application Accepted
103,6528092,Construction,Permit Issued
104,6531696,Construction,Permit Issued
105,6528176,Construction,Permit Issued
106,6530373,Construction,Application Accepted
107,6523907,Construction,Application Accepted
108,6470832,Construction,Application Accepted
109,6515473,Construction,Application Accepted
110,6467515,Construction,Application Accepted
111,6519877,Construction,Application Accepted
112,6528062,Construction,Application Accepted
113,6419041,Construction,Application Accepted
114,6531601,Site Development,AP Closed
115,6520755,Construction,Application Accepted
116,6467510,Demolition,Reviews Completed
117,6500008,Construction,Application Accepted
118,6530992,Demolition,Reviews Completed
119,6528833,Construction,Application Accepted
120,6070669,Construction,
121,6526277,Construction,Permit Issued
122,6531577,Construction,Permit Issued
123,6531318,Demolition,Permit Issued
124,6528931,Site Development,AP Closed
125,6515915,Construction,Application Accepted
126,6494401,Construction,Application Accepted
127,6531489,Construction,Permit Issued
128,6530525,Construction,Permit Issued
129,6512350,Construction,Application Accepted
130,6512350,Construction,Application Accepted
131,6531445,Construction,Permit Issued
132,6529756,Construction,Permit Issued
133,6526552,Construction,Application Accepted
134,6529479,Construction,Application Accepted
135,6510003,Construction,Application Accepted
136,6530782,Construction,Application Accepted
137,6492915,Construction,Application Accepted
138,6492915,Construction,Application Accepted
139,6531192,Construction,Application Accepted
140,6531192,Construction,Application Accepted
141,6531191,Construction,Application Accepted
142,6531191,Construction,Application Accepted
143,6531190,Construction,Application Accepted
144,6531190,Construction,Application Accepted
145,6531189,Construction,Application Accepted
146,6531189,Construction,Application Accepted
147,6531170,Construction,Application Accepted
148,6531172,Demolition,Reviews Completed
149,6517594,Construction,Application Accepted
150,6517594,Construction,Application Accepted
151,6531295,Construction,Permit Issued
152,6070003,Construction,
153,6530110,Demolition,Reviews Completed
154,6531282,Demolition,Reviews Completed
155,6516091,Construction,Application Accepted
156,6518452,Construction,Application Accepted
157,6516267,Construction,Application Accepted
158,6531213,Demolition,Reviews Completed
159,6520648,Construction,Application Accepted
160,6147225,Construction,Application Accepted
161,6522864,Construction,Application Accepted
162,6531322,Construction,Application Accepted
163,6531271,Construction,Permit Issued
164,6531246,Construction,Permit Issued
165,6529982,Construction,Permit Issued
166,6529982,Construction,Permit Issued
167,6507909,Construction,Application Accepted
168,6523307,Construction,Application Accepted
169,6522805,Construction,Application Accepted
170,6069485,Construction,
171,6520546,Construction,Application Accepted
172,6528439,Construction,Permit Issued
173,6531210,Construction,Permit Issued
174,6531211,Construction,Permit Issued
175,6531203,Construction,Permit Issued
176,6531200,Construction,Permit Issued
177,6531185,Construction,Permit Issued
178,6531185,Construction,Permit Issued
179,6526481,Construction,Permit Issued
180,6526864,Construction,Permit Issued
181,6524313,Construction,Application Accepted
182,6517909,Construction,Application Accepted
183,6530747,Construction,Permit Issued
184,6530747,Construction,Permit Issued
185,6531151,Construction,Application Accepted
186,6521674,Construction,Application Accepted
187,6530278,Construction,Application Accepted
188,6517763,Construction,Application Accepted
189,6510162,Demolition,Permit Issued
190,6509972,Demolition,Permit Issued
191,6530773,Construction,Application Accepted
192,6530506,Construction,Permit Issued
193,6520609,Construction,Application Accepted
194,6525192,Construction,Application Accepted
195,6531033,Construction,Permit Issued
196,6525935,Construction,Application Accepted
197,6530740,Demolition,Reviews Completed
198,6508167,Construction,Application Accepted
199,6531006,Construction,Permit Issued
200,6531028,Construction,Permit Issued
201,6521470,Site Development,Application Accepted
202,6527612,Construction,Permit Issued
203,6530453,Construction,Permit Issued
204,6526931,Construction,Application Accepted
205,6531008,Construction,Permit Issued
206,6531004,Construction,Permit Issued
207,6530997,Construction,Permit Issued
208,6530950,Demolition,Permit Issued
209,6513668,Construction,Application Accepted
210,6509202,Construction,Application Accepted
211,6520317,Construction,Application Accepted
212,6521417,Construction,Application Accepted
213,6522821,Construction,Application Accepted
214,6501345,Construction,Application Accepted
215,6527380,Construction,Permit Issued
216,6530933,Construction,Permit Issued
217,6530937,Construction,Permit Issued
218,6530940,Construction,Permit Issued
219,6072795,Construction,Initial Information Collected
220,6530901,Construction,Permit Issued
221,6529713,Construction,Permit Issued
222,6528210,Construction,Application Accepted
223,6530090,Construction,Permit Issued
224,6517622,Construction,Application Accepted
225,6530643,Demolition,Reviews Completed
226,6530801,Demolition,Reviews Completed
227,6530569,Demolition,Reviews Completed
228,6471321,Construction,Application Accepted
229,6474593,Construction,Application Accepted
230,6524404,Construction,Application Accepted
231,6530765,Construction,Application Accepted
232,6514798,Construction,Application Accepted
233,6518270,Construction,Application Accepted
234,6499935,Construction,Application Accepted
235,6520422,Construction,Permit Issued
236,6530775,Construction,Permit Issued
237,6530750,Construction,Permit Issued
238,6517027,Construction,Application Accepted
239,6530715,Construction,Permit Issued
240,6520610,Construction,Application Accepted
241,6530184,Construction,Permit Issued
242,6530734,Construction,Permit Issued
243,6530722,Construction,Permit Issued
244,6530728,Site Development,AP Closed
245,6529952,Construction,Permit Issued
246,6518706,Construction,Application Accepted
247,6525953,Construction,Application Accepted
248,6523665,Construction,Application Accepted
249,6518709,Construction,Permit Issued
250,6528579,Site Development,AP Closed
251,6497826,Construction,Application Accepted
252,6529120,Construction,Permit Issued
253,6211435,Construction,CANCELLED
254,6525960,Construction,Application Accepted
255,6503134,Construction,Application Accepted
256,6530490,Construction,Application Accepted
257,6530490,Construction,Application Accepted
258,6530491,Demolition,Reviews Completed
259,6528290,Construction,Permit Issued
260,6523543,Construction,Application Accepted
261,6528324,Construction,Application Accepted
262,6522230,Construction,Application Accepted
263,6528098,Construction,Application Accepted
264,6530568,Construction,Reviews Completed
265,6528638,Site Development,Application Accepted
266,6528638,Site Development,Application Accepted
267,6529893,Construction,Permit Issued
268,6529893,Construction,Permit Issued
269,6529893,Construction,Permit Issued
270,6520577,Construction,Application Accepted
271,6524885,Construction,Application Accepted
272,6529391,Construction,Permit Issued
273,6526542,Construction,Permit Issued
274,6530505,Construction,Permit Issued
275,6529661,Demolition,Reviews Completed
276,6500641,Construction,Application Accepted
277,6528768,Construction,Application Accepted
278,6530206,Construction,Application Accepted
279,6517589,Construction,Application Accepted
280,6530377,Demolition,Reviews Completed
281,6512238,Construction,Application Accepted
282,6520611,Construction,Application Accepted
283,6530458,Construction,Application Accepted
284,6520734,Construction,Application Accepted
285,6526716,Construction,Application Accepted
286,6526716,Construction,Application Accepted
287,6530492,Construction,Permit Issued
288,6530479,Construction,Application Accepted
289,6530471,Construction,Reviews Completed
290,6530445,Construction,Permit Issued
291,6530445,Construction,Permit Issued
292,6527610,Construction,Permit Issued
293,6530440,Construction,Permit Issued
294,6530399,Construction,Application Accepted
295,6503698,Construction,Application Accepted
296,6530269,Construction,Application Accepted
297,6530268,Construction,Application Accepted
298,6530268,Construction,Application Accepted
299,6525547,Construction,Permit Issued
300,6530306,Construction,Permit Issued
301,6529442,Construction,Application Accepted
302,6515549,Construction,Application Accepted
303,6530158,Demolition,Reviews Completed
304,6530310,Construction,Reviews Completed
305,6443120,Demolition,Permit Closed
306,6493617,Construction,Application Accepted
307,6480630,Construction,Application Accepted
308,6521970,Construction,Application Accepted
309,6529256,Demolition,Reviews Completed
310,6530180,Construction,Application Accepted
311,6505809,Construction,Application Accepted
312,6530181,Demolition,Reviews Completed
313,6489537,Construction,Application Accepted
314,6512579,Construction,Application Accepted
315,6476238,Construction,Application Accepted
316,6515382,Construction,Application Accepted
317,6507730,Construction,Application Accepted
318,6518041,Construction,Application Accepted
319,6516962,Construction,Application Accepted
320,6516256,Construction,Application Accepted
321,6488628,Construction,Application Accepted
322,6530243,Construction,Permit Issued
323,6529195,Construction,Permit Issued
324,6522441,Site Development,Application Accepted
325,6529690,Demolition,Permit Issued
326,6530101,Construction,Permit Issued
327,6530212,Site Development,Application Accepted
328,6530210,Site Development,Application Accepted
329,6528630,Construction,Permit Issued
330,6399017,Construction,Application Accepted
331,6506409,Construction,Permit Issued
332,6510290,Demolition,Permit Issued
333,6530117,Construction,Permit Issued
334,6512768,Construction,Application Accepted
335,6528693,Construction,Permit Issued
336,6530078,Construction,Permit Closed
337,6509421,Construction,Application Accepted
338,6490814,Construction,Application Accepted
339,6525157,Construction,Application Accepted
340,6523677,Demolition,Permit Issued
341,6529679,Demolition,Reviews Completed
342,6496147,Construction,Application Accepted
343,6512358,Construction,Application Accepted
344,6512358,Construction,Application Accepted
345,6529863,Construction,Application Accepted
346,6529864,Demolition,Reviews Completed
347,6515730,Construction,Application Accepted
348,6529367,Demolition,Reviews Completed
349,6517784,Construction,Application Accepted
350,6507745,Construction,Permit Issued
351,6512292,Construction,Application Accepted
352,6514244,Construction,Permit Issued
353,6513003,Construction,Application Accepted
354,6529525,Construction,Application Accepted
355,6529525,Construction,Application Accepted
356,6529737,Demolition,Reviews Completed
357,6513202,Construction,Application Accepted
358,6525533,Construction,Application Accepted
359,6515199,Construction,Application Accepted
360,6519628,Construction,Application Accepted
361,6525114,Construction,Permit Issued
362,6529938,Construction,Permit Issued
363,6493214,Site Development,AP Closed
364,6529931,Construction,Permit Issued
365,6526659,Site Development,AP Closed
366,6529624,Construction,Permit Issued
367,6527402,Construction,Reviews Completed
368,6523963,Construction,Application Accepted
369,6529721,Demolition,Reviews Completed
370,6529349,Demolition,Reviews Completed
371,6529454,Demolition,Reviews Completed
372,6529348,Demolition,Reviews Completed
373,6520592,Construction,Application Accepted
374,6520592,Construction,Application Accepted
375,6529625,Demolition,Reviews Completed
376,6529625,Demolition,Reviews Completed
377,6529623,Construction,Application Accepted
378,6529623,Construction,Application Accepted
379,6520258,Construction,Application Accepted
380,6521433,Construction,Application Accepted
381,6512047,Construction,Application Accepted
382,6516940,Construction,Application Accepted
383,6516507,Construction,Application Accepted
384,6509267,Construction,Application Accepted
385,6517751,Construction,Application Accepted
386,6519560,Construction,Application Accepted
387,6521336,Construction,Application Accepted
388,6524595,Construction,Application Accepted
389,6523301,Construction,Application Accepted
390,6522476,Construction,Application Accepted
391,6511295,Construction,Application Accepted
392,6503984,Construction,Application Accepted
393,6505554,Construction,Application Accepted
394,6484704,Construction,Application Accepted
395,6494571,Construction,Application Accepted
396,6507949,Construction,Application Accepted
397,6529723,Construction,Permit Issued
398,6525388,Construction,Permit Issued
399,6529696,Construction,Permit Closed
400,6529711,Construction,Application Accepted
401,6529710,Construction,Application Accepted
402,6430642,Construction,
403,6529709,Construction,Application Accepted
404,6529682,Construction,Permit Issued
405,6516520,Construction,Permit Issued
406,6516520,Construction,Permit Issued
407,6529241,Construction,Permit Issued
408,6529665,Construction,Permit Issued
409,6528989,Construction,Permit Issued
410,6522708,Construction,Permit Issued
411,6529629,Construction,Reviews Completed
412,6527210,Construction,Permit Closed
413,6528270,Construction,Permit Issued
414,6529571,Construction,Permit Issued
415,6486662,Demolition,Reviews Completed
416,6486350,Construction,Application Accepted
417,6529199,Construction,Permit Issued
418,6529542,Construction,Permit Issued
419,6529478,Construction,Permit Issued
420,6529529,Construction,Permit Issued
421,6529529,Construction,Permit Issued
422,6529528,Construction,Reviews Completed
423,6529518,Construction,Application Accepted
424,6529518,Construction,Application Accepted
425,6529425,Construction,Application Accepted
426,6529116,Demolition,Reviews Completed
427,6403247,Construction,Application Accepted
428,6509911,Construction,Application Accepted
429,6458228,Construction,Application Accepted
430,6507578,Construction,Application Accepted
431,6489404,Construction,Application Accepted
432,6529476,Construction,Permit Issued
433,6529113,Construction,Permit Issued
434,6513697,Construction,Application Accepted
435,6514061,Construction,Application Accepted
436,6518488,Construction,Application Accepted
437,6518512,Construction,Application Accepted
438,6492011,Construction,Application Accepted
439,6528145,Site Development,AP Closed
440,6512114,Construction,Application Accepted
441,6511894,Construction,Application Accepted
442,6515737,Construction,Application Accepted
443,6512132,Construction,Application Accepted
444,6515168,Construction,Application Accepted
445,6505291,Construction,Application Accepted
446,6519494,Construction,Application Accepted
447,6513552,Construction,Application Accepted
448,6514896,Construction,Application Accepted
449,6528258,Construction,Application Accepted
450,6503414,Construction,Application Accepted
451,6529434,Construction,Permit Issued
452,6517089,Construction,Application Accepted
453,6529441,Construction,Permit Issued
454,6529315,Construction,Permit Issued
455,6502346,Construction,Application Accepted
456,6529424,Construction,Permit Issued
457,6529362,Construction,Permit Issued
458,6527306,Construction,Permit Issued
459,6529332,Construction,Permit Issued
460,6529333,Construction,Permit Closed
461,6507010,Construction,Application Accepted
462,6524465,Construction,Permit Issued
463,6524462,Construction,Permit Issued
464,6526216,Construction,Application Accepted
465,6522164,Construction,Application Accepted
466,6507569,Construction,Application Accepted
467,6472262,Construction,Permit Issued
468,6529156,Construction,Permit Closed
469,6529192,Construction,Permit Issued
470,6528682,Construction,Permit Issued
471,6529190,Construction,Reviews Completed
472,6526265,Construction,Permit Issued
473,6526265,Construction,Permit Issued
474,6529185,Construction,Application Accepted
475,6529181,Construction,Permit Issued
476,6529171,Construction,Permit Issued
477,6529174,Site Development,Application Accepted
478,6529168,Construction,Permit Issued
479,6529163,Construction,Permit Issued
480,6529153,Construction,Permit Issued
481,6497269,Construction,Application Accepted
482,6526053,Construction,Application Accepted
483,6528972,Construction,Permit Issued
484,6501122,Construction,Application Accepted
485,6501311,Construction,Application Accepted
486,6528155,Construction,Application Accepted
487,6529130,Construction,Permit Issued
488,6525838,Demolition,Permit Issued
489,6529097,Construction,Application Accepted
490,6521657,Construction,Application Accepted
491,6529061,Construction,Permit Issued
492,6529057,Construction,Permit Issued
493,6529055,Construction,Permit Issued
494,6516433,Construction,Application Accepted
495,6501113,Construction,Application Accepted
496,6516788,Construction,Application Accepted
497,6521204,Construction,Application Accepted
498,6528968,Demolition,Reviews Completed
499,6528944,Demolition,Reviews Completed
500,6528842,Construction,Permit Issued
501,6067550,Construction,
502,6522673,Construction,Permit Issued
503,6528950,Construction,Permit Issued
504,6521678,Construction,Application Accepted
505,6522304,Construction,Application Accepted
506,6518260,Construction,Application Accepted
507,6517024,Construction,Application Accepted
508,6494107,Construction,Application Accepted
509,6525818,Construction,Application Accepted
510,6505592,Construction,Application Accepted
511,6416419,Construction,Permit Issued
512,6528841,Construction,Permit Issued
513,6444414,Construction,Application Accepted
514,6516523,Construction,Application Accepted
515,6492796,Construction,Application Accepted
516,6523001,Construction,Application Accepted
517,6520517,Construction,Application Accepted
518,6528644,Demolition,Reviews Completed
519,6517058,Construction,Application Accepted
520,6528631,Construction,Permit Issued
521,6528703,Construction,Permit Issued
522,6528727,Construction,Permit Issued
523,6528727,Construction,Permit Issued
524,6528727,Construction,Permit Issued
525,6519024,Construction,Application Accepted
526,6528264,Demolition,Permit Issued
527,6528690,Construction,Permit Issued
528,6527698,Construction,Permit Issued
529,6478760,Construction,Application Accepted
530,6510979,Construction,Application Accepted
531,6528673,Construction,Permit Issued
532,6492955,Construction,Application Accepted
533,6514356,Construction,Application Accepted
534,6524727,Construction,Application Accepted
535,6516638,Construction,Application Accepted
