ID,Street,Longitude,Latitude,BuildingPermit_id
1,602 12TH AVE E,-122.31648873,47.62441015,
2,1531 NW 62ND ST,-122.37772097,47.67366582,
3,8455 34TH AVE SW,-122.37558386,47.52670448,
4,550 TERRY AVE N,-122.3367397,47.62398599,
5,4620 S FINDLAY ST,-122.27462171,47.55218881,
6,600 4TH AVE,-122.32972129,47.60377936,
7,1521 NW 50TH ST,-122.37743046,47.66475912,
8,7031 28TH AVE NE,-122.29781792,47.68032174,
9,1809 S LANDER ST,-122.30880057,47.5793802,
10,3623 12TH AVE W,-122.37258012,47.65288812,
11,5335 BALLARD AVE NW,-122.38440336,47.66713917,
12,601 UNION ST,-122.33207691,47.610431,
13,9369 8TH AVE S,-122.32379627,47.51960099,
14,2037 YALE AVE E,-122.32743718,47.63784874,
15,2037 YALE AVE E,-122.32743718,47.63784874,
16,4513 54TH AVE NE,-122.269978,47.66163084,
17,126 NE 57TH ST,-122.32709645,47.67035878,
18,4409 39TH AVE SW,-122.3818434,47.56442376,
19,6511 RAINIER AVE S,-122.27412577,47.54381714,
20,1830 E MERCER ST,-122.30772895,47.62458703,
21,4838 S RAYMOND ST,-122.27101526,47.54863266,
22,818 17TH AVE,-122.30997768,47.60985485,
23,8227 DENSMORE AVE N,-122.33807008,47.68957039,
24,3002 12TH AVE W,-122.3723306,47.64699526,
25,6542 21ST AVE NW,-122.38300685,47.67716761,
26,502 N 71ST ST,-122.35240446,47.68052013,
27,8020 STROUD AVE N,-122.33405346,47.6875753,
28,2915 FUHRMAN AVE E,-122.31792102,47.64752669,
29,2915 FUHRMAN AVE E,-122.31792102,47.64752669,
30,2429A 55TH AVE SW,,,
31,3823 40TH AVE SW,-122.38320158,47.56949001,
32,400 DEXTER AVE N,-122.34195684,47.6223157,
33,1919 POST AL,-122.34252101,47.61014501,
34,116 37TH AVE E,-122.28617779,47.61893547,
35,1220 4TH AVE S,-122.32829252,47.59080543,
36,4718 2ND AVE NE,-122.32692883,47.66376745,
37,811 5TH AVE,-122.33119077,47.60547767,
38,3721 SUNNYSIDE AVE N,-122.33059611,47.65265984,
39,9830 ARROWSMITH AVE S,-122.25223486,47.51358115,
40,3733 BELVIDERE AVE SW,-122.37977397,47.57025157,
41,3911 S FERDINAND ST,-122.28293845,47.55766176,
42,1205 E PIKE ST,-122.31644919,47.61392474,
43,10227 42ND AVE SW,-122.38640022,47.51131256,
44,2534 WARREN AVE N,-122.35422037,47.64242125,
45,10126 66TH AVE S,-122.25093357,47.51017171,
46,10126 66TH AVE S,-122.25093357,47.51017171,
47,523 N 68TH ST,-122.35156472,47.67850433,
48,3403 NW 62ND ST,-122.40132095,47.67373956,
49,8633 39TH AVE SW,-122.3822884,47.52523221,
50,5229 S MAYFLOWER ST,-122.26687045,47.55391591,
51,2721 10TH AVE E,-122.32001738,47.6452049,
52,415 N 68TH ST,-122.35366589,47.67853309,
53,415 N 68TH ST,-122.35366589,47.67853309,
54,4300 BROOKLYN AVE NE,-122.31403576,47.66006585,
55,4747 34TH AVE NE,-122.2915675,47.66420172,
56,2621 2ND AVE,-122.34974746,47.61612629,
57,1913 7TH AVE,-122.33749589,47.61487609,
58,1913 7TH AVE,-122.33749589,47.61487609,
59,7414 34TH AVE NW,-122.40021794,47.68283899,
60,2326 CALIFORNIA AVE SW,-122.38612535,47.58212466,
61,7530 DETROIT AVE SW,-122.3378589,47.53532717,
62,7338 44TH AVE SW,-122.38822044,47.53727246,
63,8724 HOLMAN RD NW,-122.37581156,47.69354613,
64,8724 HOLMAN RD NW,-122.37581156,47.69354613,
65,3816 22ND AVE SW,-122.36084374,47.56964185,
66,4225 2ND AVE S,-122.33222511,47.5654948,
67,322 21ST AVE E,-122.30437139,47.62208705,
68,2320 S WARSAW ST,-122.30347684,47.54424334,
69,11 W ALOHA ST,-122.35737496,47.62684241,
70,331 N 84TH ST,-122.35388734,47.6896596,
71,331 N 84TH ST,-122.35388734,47.6896596,
72,3532 45TH AVE NE,-122.27896603,47.654742,
73,322 21ST AVE E,-122.30437139,47.62208705,
74,318 NE NORTHGATE WAY,-122.32530577,47.70911857,
75,2135 NW 97TH ST,-122.38452127,47.69946335,
76,2135 NW 97TH ST,-122.38452127,47.69946335,
77,8100 8TH AVE S,-122.32270544,47.53096937,
78,9818 ROOSEVELT WAY NE,-122.31736905,47.70095172,
79,9818 ROOSEVELT WAY NE,-122.31736905,47.70095172,
80,6516 12TH AVE NE,-122.31535713,47.67641731,
81,1803 42ND AVE E,-122.27880622,47.63471593,
82,2021 7TH AVE,-122.33836402,47.61523711,
83,3814 NE 95TH ST,-122.28715111,47.69763293,
84,3814 NE 95TH ST,-122.28715111,47.69763293,
85,2545 37TH AVE W,-122.40526305,47.64259821,
86,2001 8TH AVE,-122.33727143,47.61578904,
87,4029 E MADISON ST,-122.28023081,47.63392716,
88,7112 48TH AVE S,-122.27241268,47.53854212,
89,6000 16TH AVE SW,-122.35308846,47.54700382,
90,608 NW 65TH ST,-122.36383881,47.67623783,
91,9728 34TH AVE SW,-122.37529798,47.51585029,
92,9728 34TH AVE SW,-122.37529798,47.51585029,
93,420 N 125TH ST,-122.3532256,47.71979221,
94,5201 RAVENNA AVE NE,-122.30373155,47.66658485,
95,5201 RAVENNA AVE NE,-122.30373155,47.66658485,
96,821 2ND AVE,-122.33498562,47.60403796,
97,1723 18TH AVE,-122.30922926,47.61712226,
98,819 BOYLSTON AVE,-122.32123566,47.60969807,
99,356 N 80TH ST,-122.35280382,47.68714579,
100,1300 1ST AVE,-122.33778279,47.60740726,
101,4878 BEACON AVE S,-122.3039544,47.55881351,
102,520 PIKE ST,-122.33495033,47.61125861,
103,1622 34TH AVE,-122.28892437,47.61593215,
104,8045 40TH AVE NE,-122.28557918,47.68798827,
105,6204 12TH AVE NE,-122.31540491,47.67358147,
106,4733 UNIVERSITY WAY NE,-122.31349388,47.66411377,
107,4147 52ND AVE SW,-122.39914037,47.56529623,
108,4758 23RD AVE SW,-122.36121115,47.55938932,
109,3532 45TH AVE NE,-122.27896603,47.654742,
110,5011 S DAWSON ST,-122.27016583,47.55470208,
111,400 FAIRVIEW AVE N,-122.33391663,47.62251637,
112,1623 14TH AVE,-122.31465128,47.61607339,
113,3876 BRIDGE WAY N,-122.34354706,47.65380862,
114,5907 M L KING JR WAY S,-122.28822252,47.54959277,
115,4004 WHITMAN AVE N,-122.34572445,47.65565276,
116,5011 S DAWSON ST,-122.27016583,47.55470208,
117,2264 12TH AVE W,-122.37232759,47.64055388,
118,2264 12TH AVE W,-122.37232759,47.64055388,
119,1925 AIRPORT WAY S,-122.32187071,47.58577803,
120,,,,
121,2008 5TH AVE,-122.33914639,47.61409589,
122,666 S DEARBORN ST,-122.32416271,47.59644968,
123,1172 REPUBLICAN ST,-122.33324376,47.62326774,
124,2349 HARBOR AVE SW,-122.37511445,47.58143778,
125,5035 26TH AVE S,-122.29949098,47.55625232,
