cultspc_id,year_occup,own_rent,yr_built,NBHD_id,address_id
,2001,R,1965,,
,2001,O,2002,,
,2004,R,1920,,
,1988,R,1940,,
,1983,R,,,
,1962,O,1962,,
,2010,R,1901,,
,2011,O,1929,,
,2012,R,,,
,1970,Other,1970,,
,1971,R,1920,,
,1993,O,1991,,
,1933,O,1933,,
,1992,R,1962,,
,2012,R,1961,,
,1973,R,1965,,
,1991,O,1946,,
,2010,R,1910,,
,2005,R,1929,,
,2009,O,1963,,
,1973,R,1920,,
,1999,O,1999,,
,2003,R,1900,,
,2010,R,1924,,
,1998,,1950,,
,1899,Other,1899,,
,1983,R,1982,,
,2011,R,1927,,
,1997,Other,1904,,
,2010,R,1906,,
,2011,O,2010,,
,2010,R,1916,,
,2004,R,1900,,
,2003,R,2000,,
,1978,R,1903,,
,1994,R,,,
,2004,Other,2005,,
,2003,Other,2004,,
,1974,Other,2007,,
,1952,Other,2003,,
,1914,Other,1915,,
,2001,Other,2002,,
,1913,Other,1914,,
,1920,Other,1921,,
,1909,Other,1910,,
,1923,Other,2005,,
,2003,Other,2004,,
,2004,R,2005,,
,1964,Other,1965,,
,1972,Other,1973,,
,1963,Other,1964,,
,1905,Other,2004,,
,2005,Other,2006,,
,1998,R,1999,,
,1953,Other,1954,,
,2005,Other,2006,,
,1913,Other,1914,,
,1980,Other,1986,,
,2005,Other,2006,,
,1960,Other,1961,,
,1909,Other,1910,,
,1999,R,2000,,
,1909,Other,1910,,
,1974,O,1905,,
,2010,Other,2008,,
,2011,R,1905,,
,2012,R,1968,,
,2011,R,1912,,
,,,,,
,2012,Other,2004,,
,1920,O,1920,,
,2007,R,1910,,
,1998,O,1928,,
,2004,O,1902,,
,2011,O,1925,,
,2009,R,1928,,
,2009,R,1895,,
,1972,O,1911,,
,2010,R,1962,,
,1952,O,1952,,
,2010,R,1920,,
,2012,Other,2013,,
,1985,O,1922,,
,2009,R,1920,,
,2008,O,1937,,
,1980,R,1907,,
,2014,R,1900,,
,1925,O,1925,,
,2000,Other,2000,,
,1962,O,1961,,
,1962,O,1962,,
,1962,O,1961,,
,,,,,
,1985,R,1939,,
,1913,O,1962,,
,2007,R,1889,,
,2011,Other,2012,,
,,O,2006,,
,2009,O,1908,,
,2011,O,1962,,
,2005,O,1917,,
,1996,R,1908,,
,1999,O,1916,,
,,R,1932,,
,2004,O,1927,,
,2010,O,1917,,
,1998,R,1910,,
,1988,O,1929,,
,2004,R,1910,,
,1993,O,1960,,
,2004,R,1911,,
,2003,O,1908,,
,1952,O,1952,,
,2010,R,1900,,
,2008,R,1916,,
,2005,O,1950,,
,1995,R,1952,,
,2003,R,1959,,
,1993,R,1927,,
,2001,R,1910,,
,2010,R,1883,,
,2011,R,1937,,
,2002,R,1925,,
,1998,R,1998,,
,2001,R,1920,,
,2000,R,1908,,
,2007,O,1907,,
,2011,R,1935,,
,1993,R,1910,,
,2003,O,1926,,
,1979,R,1926,,
,1995,Other,1926,,
,2004,R,1950,,
,2011,O,1974,,
,1998,O,1921,,
,1990,R,1924,,
,2008,O,2009,,
,2009,R,1914,,
,2007,R,2004,,
,2008,R,1960,,
,2005,R,1914,,
,2008,R,,,
,2008,R,,,
,1996,O,1940,,
,2009,R,1925,,
,1992,O,1916,,
,1986,R,1928,,
,2006,O,1930,,
,2008,R,1935,,
,2012,O,1915,,
,1996,O,1912,,
,2001,R,,,
,2002,O,1927,,
,2012,Other,1938,,
,2012,R,1932,,
,2006,R,1965,,
,1998,Other,1962,,
,2003,O,2003,,
,1993,R,1993,,
,1983,Other,1983,,
,2006,Other,1961,,
,2007,R,1962,,
,1999,Other,1934,,
,1979,Other,1979,,
,2000,R,1905,,
,2001,R,1928,,
,2007,R,,,
,2006,R,1903,,
,1980,R,1900,,
,2012,R,,,
,1992,R,1907,,
,2010,R,1921,,
,1991,O,1928,,
,2008,R,,,
,1997,O,1930,,
,2006,R,2006,,
,1991,R,1890,,
,,R,2008,,
,2005,R,1915,,
,2009,R,,,
,1993,R,1950,,
,2003,R,1950,,
,1938,Other,1939,,
,1938,Other,1927,,
,1938,Other,1930,,
,2008,O,1910,,
,2010,R,,,
,,O,,,
,2003,R,,,
,1993,O,1929,,
,2005,R,1919,,
,2010,R,1910,,
,1993,R,1935,,
,2002,R,1922,,
,2010,O,1930,,
,2002,R,1911,,
,2011,R,1890,,
,1993,R,1920,,
,2012,R,,,
,2005,O,,,
,2012,R,1920,,
,2011,R,,,
,2008,R,2008,,
,2005,R,1928,,
,2010,R,1983,,
,2011,O,1978,,
,2003,R,1902,,
,2010,R,,,
,2010,R,1900,,
,2006,R,1905,,
,2005,O,1904,,
,1996,R,1927,,
,2011,Other,1900,,
,2004,R,1925,,
,2009,R,1902,,
,2011,R,1977,,
,2006,O,1902,,
,2011,R,,,
,2010,R,1926,,
,2010,R,1910,,
,2012,R,1968,,
,2008,O,2009,,
,2009,R,1893,,
,2012,R,1907,,
,1984,R,1910,,
,2011,R,,,
,2009,R,1929,,
,2003,Other,1990,,
,2012,R,1919,,
,2011,R,,,
,1997,O,1923,,
,2004,R,1900,,
,1988,R,1925,,
,1976,Other,1920,,
,2012,R,1929,,
,2002,R,1977,,
,2007,R,1940,,
,2008,R,1927,,
,1988,O,1900,,
,2006,O,1905,,
,2006,R,1992,,
,2009,R,,,
,1982,R,1892,,
,1992,R,,,
,2011,R,1960,,
,2006,R,1900,,
,2008,R,1906,,
,2004,O,1950,,
,2007,O,1910,,
,2003,R,1920,,
,1986,R,1896,,
,1998,O,1904,,
,1927,Other,1927,,
,2010,O,1918,,
,2012,R,1909,,
,2007,O,2007,,
,1999,O,,,
,1994,R,1905,,
,2007,O,1914,,
,2003,R,1945,,
,2002,R,1908,,
,2013,R,1910,,
,2013,R,,,
,1995,R,1972,,
,1969,,1915,,
,2011,O,1942,,
,1989,R,1960,,
,2007,R,1920,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2006,R,1910,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2011,O,1959,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2014,R,1940,,
,,,,,
,2008,R,2000,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2013,O,1974,,
,1970,O,1970,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1999,R,1942,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1995,R,1985,,
,2009,O,2008,,
,2004,O,1961,,
,1919,O,1970,,
,1903,O,1903,,
,2004,R,1970,,
,,,,,
,,,,,
,,,,,
,2011,R,1920,,
,,,,,
,2013,R,1900,,
,2004,R,1909,,
,,,,,
,1989,O,1920,,
,2014,O,1940,,
,2008,R,1920,,
,1981,O,1904,,
,2012,R,1932,,
,2011,R,2008,,
,2006,R,1910,,
,2008,R,,,
,2012,R,1904,,
,2005,Other,2005,,
,2009,Other,1991,,
,,,,,
,,,,,
,,,,,
,2005,O,1905,,
,,,,,
,,Other,1965,,
,,,,,
,2012,R,1989,,
,,,,,
,1994,O,1995,,
,,,,,
,,,,,
,,,,,
,2014,O,2014,,
,2013,R,1950,,
,2014,R,1912,,
,,,,,
,,,,,
,,,,,
,,,,,
,2011,R,1930,,
,,,,,
,,,,,
,1995,O,1907,,
,1990,O,1965,,
,1950,O,1950,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1924,O,1920,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2008,R,2008,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1998,R,1982,,
,2007,R,1900,,
,1974,O,1974,,
,,,,,
,,,,,
,1992,R,,,
,,,,,
,1891,O,1960,,
,,,,,
,,,,,
,,,,,
,,,,,
,2011,R,1993,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2013,R,1901,,
,2014,R,1960,,
,,,,,
,,,,,
,2010,R,1900,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2010,R,1902,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2011,R,2011,,
,,,,,
,,,,,
,2012,R,1950,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2000,R,1965,,
,1984,R,1930,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1991,R,1991,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2010,R,1971,,
,,,,,
,,,,,
,,,,,
,2014,R,1920,,
,,,,,
,,,,,
,,,,,
,,,,,
,2013,R,1932,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2005,R,2005,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2010,O,1917,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2012,R,1920,,
,,,,,
,,,,,
,,,,,
,,,,,
,1985,O,1908,,
,,,,,
,2002,R,1932,,
,,,,,
,,,,,
,1940,O,1940,,
,2013,Other,1999,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2000,R,1940,,
,,,,,
,,,,,
,,,,,
,,,,,
,1995,R,1955,,
,,,,,
,2008,R,1965,,
,,,,,
,,,,,
,2011,O,1970,,
,2012,Other,2012,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2001,Other,1980,,
,,,,,
,,,,,
,1973,Other,1953,,
,,,,,
,1995,R,1960,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2015,R,1960,,
,2012,Other,1949,,
,,,,,
,2003,O,2003,,
,,,,,
,,,,,
,2003,R,1954,,
,2015,R,1890,,
,2014,R,1940,,
,,,,,
,2007,R,1908,,
,,,,,
,,,,,
,,,,,
,,,,,
,2013,R,2005,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1974,R,1926,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
