id,name,phone_num,address_id
1,Seattle Architecture Foundation,(206) 667-9184,
2,Artist Trust,(866) 218-7878,
3,826 Seattle/ The Greater Seattle Bureau of Fearless Ideas,(206) 725-2625 ,
4,American Dance Institute,(206) 783-0755,
5,Art Institute of Seattle,(206) 448-6600,
6,Burke Museum,(206) 543-5590,
7,Choeizan Enkyoji Nichiren Buddhist Temple,(206) 356-7405,
8,Coyote Central,(206) 323-7276,
9,Kind Hand Studio (CLOSED),(206) 618-1447,
10,Red Eagle Soaring Native Youth Theatre and Daybreak Star Cultural Center,(206) 829-2219,
11,School of Visual Concepts,(206) 623-1560,
12,Seattle Art Museum,(206) 654-3210,
13,Seattle Asian Art Museum,(206) 654-3100,
14,Seattle Center ArtsED WA in Seattle Center Pavillion,(206) 441-4501,
15,Seattle Center Cornish Playhouse,(206) 726-5113,
16,Seattle Center Pottery Northwest,(206) 285-4421,
17,Seattle Glassblowing Studio,(206) 448-2181,
18,Seattle Pinball Museum,(206) 623-0759,
19,Central Cinema,(206) 328-3230,
20,Cinerama,(206) 448-6680,
21,Grand Illusion,(206) 523-3935,
22,Majestic Bay,(206) 781-2229,
23,Nortthwest Film Forum,(206) 329-2629,
24,Seattle Center-SIFF Film Center and Cinema at the Uptown,(206) 464-5830,
25,The Big Picture,(206) 256-0566,
26,Woodland Park Zoo and Stage,(206) 548-2500,
27,Center for Wooden Boats South Lake Union,(206) 382-2628,
28,Center for Wooden Boats Wallingford,(206) 382-2628,
29,Log House Museum,(206) 938-5293,
30,Northwest African American Museum,(206) 518-6000,
31,South Seattle Community College Chinese Gardens,(206) 934-5219,
32,Elliott Bay Book Company,(206) 624-6600,
33,Hugo House,(206) 322-7030,
34,Kinokuniya Book Store,(206) 587-2477,
35,Magus Books,(206) 633-1800,
36,Ophelia''s Books,(206) 632-3759,
37,Seattle Public Library Ballard,(206) 684-4089,
38,Seattle Public Library Beacon Hill,(206) 684-4711,
39,Seattle Public Library Broadview,(206) 684-7519,
40,Seattle Public Library Capitol Hill,(206) 684-4715,
41,Seattle Public Library Columbia,(206) 386-1908,
42,Seattle Public Library Delridge,(206) 733-9125,
43,Seattle Public Library Douglas-Truth,(206) 684-4704,
44,Seattle Public Library Fremont,(206) 684-4084,
45,Seattle Public Library Green Lake,(206) 684-7547,
46,Seattle Public Library Greenwood,(206) 684-4086,
47,Seattle Public Library High Point,(206) 684-7454,
48,Seattle Public Library International Districtrict/Chinatown,(206) 386-4636,
