id,Type
1,TREE/VEGETATION MAINT/RESTORE
2,ADD/ALT
3,ADD/ALT
4,ADD/ALT
5,ADD/ALT
6,ADD/ALT
7,CURB CUT
8,ADD/ALT
9,ADD/ALT
10,ADD/ALT
11,ADD/ALT
12,ALTER
13,ADD/ALT
14,NEW
15,DEMOLITION
16,ADD/ALT
17,NEW
18,ADD/ALT
19,ADD/ALT
20,NEW
21,ADD/ALT
22,ADD/ALT
23,DEMOLITION
24,ADD/ALT
25,ADD/ALT
26,ADD/ALT
27,ADD/ALT
28,ADD/ALT
29,ADD/ALT
30,DEMOLITION
31,ADD/ALT
32,ADD/ALT
33,ADD/ALT
34,CURB CUT
35,ADD/ALT
36,ADD/ALT
37,ADD/ALT
38,ADD/ALT
39,ADD/ALT
40,ADD/ALT
41,ADD/ALT
42,ADD/ALT
43,ADD/ALT
44,ADD/ALT
45,ADD/ALT
46,ADD/ALT
47,ADD/ALT
48,ADD/ALT
49,ADD/ALT
50,ADD/ALT
51,ADD/ALT
52,ADD/ALT
53,ADD/ALT
54,NEW
55,ADD/ALT
56,ADD/ALT
57,ADD/ALT
58,ADD/ALT
59,ADD/ALT
60,ADD/ALT
61,ADD/ALT
62,ADD/ALT
63,ADD/ALT
64,ADD/ALT
65,DEMOLITION
66,ADD/ALT
67,NEW
68,ADD/ALT
69,ADD/ALT
70,ADD/ALT
71,ADD/ALT
72,DEMOLITION
73,DEMOLITION
74,ADD/ALT
75,ADD/ALT
76,ADD/ALT
77,ADD/ALT
78,ADD/ALT
79,ADD/ALT
80,NO CONSTRUCTION
81,ADD/ALT
82,ADD/ALT
83,ADD/ALT
84,ADD/ALT
85,ADD/ALT
86,ADD/ALT
87,ADD/ALT
88,ADD/ALT
89,ADD/ALT
90,ADD/ALT
91,ADD/ALT
92,ADD/ALT
93,NEW
94,DEMOLITION
95,ADD/ALT
96,ALTER
97,NO CONSTRUCTION
98,NO CONSTRUCTION
99,ADD/ALT
100,ADD/ALT
101,ADD/ALT
102,ALTER
103,ADD/ALT
104,ADD/ALT
105,ADD/ALT
106,ADD/ALT
107,ADD/ALT
108,ADD/ALT
109,NEW
110,NEW
111,ADD/ALT
112,ADD/ALT
113,ADD/ALT
114,CURB CUT
115,ADD/ALT
116,DEMOLITION
117,NEW
118,DEMOLITION
119,ADD/ALT
120,
121,ADD/ALT
122,ADD/ALT
123,DEMOLITION
124,TREE/VEGETATION MAINT/RESTORE
125,ADD/ALT
126,ADD/ALT
127,ADD/ALT
128,ADD/ALT
129,NEW
130,NEW
131,ADD/ALT
132,ADD/ALT
133,ADD/ALT
134,ADD/ALT
135,ADD/ALT
136,NEW
137,NEW
138,NEW
139,NEW
140,NEW
141,NEW
142,NEW
143,NEW
144,NEW
145,NEW
146,NEW
147,NEW
148,DEMOLITION
149,NEW
150,NEW
151,ADD/ALT
152,
153,DEMOLITION
154,DEMOLITION
155,NEW
156,ADD/ALT
157,ADD/ALT
158,DEMOLITION
159,NEW
160,NEW
161,ADD/ALT
162,ALTER
163,ADD/ALT
164,ADD/ALT
165,ADD/ALT
166,ADD/ALT
167,ADD/ALT
168,ADD/ALT
169,ADD/ALT
170,
171,ADD/ALT
172,ADD/ALT
173,ADD/ALT
174,ADD/ALT
175,ADD/ALT
176,ADD/ALT
177,ADD/ALT
178,ADD/ALT
179,ADD/ALT
180,ADD/ALT
181,NO CONSTRUCTION
182,NEW
183,ADD/ALT
184,ADD/ALT
185,ALTER
186,ADD/ALT
187,ADD/ALT
188,ADD/ALT
189,DEMOLITION
190,DEMOLITION
191,ALTER
192,ADD/ALT
193,NEW
194,ADD/ALT
195,ADD/ALT
196,ADD/ALT
197,DEMOLITION
198,ADD/ALT
199,ADD/ALT
200,ADD/ALT
201,GRADING
202,ADD/ALT
203,ADD/ALT
204,NO CONSTRUCTION
205,ADD/ALT
206,ADD/ALT
207,ADD/ALT
208,DEMOLITION
209,NEW
210,ADD/ALT
211,ADD/ALT
212,ADD/ALT
213,ADD/ALT
214,ADD/ALT
215,ADD/ALT
216,ADD/ALT
217,ADD/ALT
218,ADD/ALT
219,
220,ADD/ALT
221,ADD/ALT
222,ADD/ALT
223,ADD/ALT
224,ADD/ALT
225,DEMOLITION
226,DEMOLITION
227,DEMOLITION
228,NEW
229,NEW
230,NEW
231,ALTER
232,ADD/ALT
233,ADD/ALT
234,ADD/ALT
235,ADD/ALT
236,ADD/ALT
237,ADD/ALT
238,ADD/ALT
239,ADD/ALT
240,NEW
241,ADD/ALT
242,ADD/ALT
243,ADD/ALT
244,TREE/VEGETATION MAINT/RESTORE
245,ADD/ALT
246,ADD/ALT
247,NEW
248,ADD/ALT
249,ADD/ALT
250,TREE/VEGETATION MAINT/RESTORE
251,NEW
252,ADD/ALT
253,NEW
254,NEW
255,NEW
256,NEW
257,NEW
258,DEMOLITION
259,ADD/ALT
260,NEW
261,ADD/ALT
262,NEW
263,ADD/ALT
264,ALTER
265,GRADING
266,GRADING
267,ADD/ALT
268,ADD/ALT
269,ADD/ALT
270,ADD/ALT
271,ADD/ALT
272,ADD/ALT
273,ADD/ALT
274,ADD/ALT
275,DEMOLITION
276,NEW
277,ADD/ALT
278,ADD/ALT
279,NEW
280,DEMOLITION
281,ADD/ALT
282,NEW
283,NEW
284,ADD/ALT
285,ADD/ALT
286,ADD/ALT
287,ADD/ALT
288,ALTER
289,ALTER
290,ADD/ALT
291,ADD/ALT
292,ADD/ALT
293,ADD/ALT
294,ALTER
295,NEW
296,NEW
297,NEW
298,NEW
299,ADD/ALT
300,ADD/ALT
301,ADD/ALT
302,NEW
303,DEMOLITION
304,ALTER
305,DEMOLITION
306,ADD/ALT
307,ADD/ALT
308,ADD/ALT
309,DEMOLITION
310,NEW
311,NEW
312,DEMOLITION
313,NEW
314,ADD/ALT
315,NEW
316,ADD/ALT
317,ADD/ALT
318,ADD/ALT
319,ADD/ALT
320,NEW
321,ADD/ALT
322,ADD/ALT
323,ADD/ALT
324,GRADING
325,DEMOLITION
326,ADD/ALT
327,TREE/VEGETATION MAINT/RESTORE
328,TREE/VEGETATION MAINT/RESTORE
329,ADD/ALT
330,NEW
331,ADD/ALT
332,DEMOLITION
333,ADD/ALT
334,NEW
335,ADD/ALT
336,ADD/ALT
337,ADD/ALT
338,ADD/ALT
339,ADD/ALT
340,DEMOLITION
341,DEMOLITION
342,NEW
343,NEW
344,NEW
345,NEW
346,DEMOLITION
347,NEW
348,DEMOLITION
349,ADD/ALT
350,ADD/ALT
351,ADD/ALT
352,ADD/ALT
353,NEW
354,NEW
355,NEW
356,DEMOLITION
357,ADD/ALT
358,ADD/ALT
359,ADD/ALT
360,ADD/ALT
361,ADD/ALT
362,ADD/ALT
363,CURB CUT
364,ADD/ALT
365,TREE/VEGETATION MAINT/RESTORE
366,ADD/ALT
367,ADD/ALT
368,ADD/ALT
369,DEMOLITION
370,DEMOLITION
371,DEMOLITION
372,DEMOLITION
373,NEW
374,NEW
375,DEMOLITION
376,DEMOLITION
377,NEW
378,NEW
379,ADD/ALT
380,ADD/ALT
381,ADD/ALT
382,ADD/ALT
