id,Type
1,Site Development
2,Construction
3,Construction
4,Construction
5,Construction
6,Construction
7,Site Development
8,Construction
9,Construction
10,Construction
11,Construction
12,Construction
13,Construction
14,Construction
15,Demolition
16,Construction
17,Construction
18,Construction
19,Construction
20,Construction
21,Construction
22,Construction
23,Demolition
24,Construction
25,Construction
26,Construction
27,Construction
28,Construction
29,Construction
30,Demolition
31,Construction
32,Construction
33,Construction
34,Site Development
35,Construction
36,Construction
37,Construction
38,Construction
39,Construction
40,Construction
41,Construction
42,Construction
43,Construction
44,Construction
45,Construction
46,Construction
47,Construction
48,Construction
49,Construction
50,Construction
51,Construction
52,Construction
53,Construction
54,Construction
55,Construction
56,Construction
57,Construction
58,Construction
59,Construction
60,Construction
61,Construction
62,Construction
63,Construction
64,Construction
65,Demolition
66,Construction
67,Construction
68,Construction
69,Construction
70,Construction
71,Construction
72,Demolition
73,Demolition
74,Construction
75,Construction
76,Construction
77,Construction
78,Construction
79,Construction
80,Construction
81,Construction
82,Construction
83,Construction
84,Construction
85,Construction
86,Construction
87,Construction
88,Construction
89,Construction
90,Construction
91,Construction
92,Construction
93,Construction
94,Demolition
95,Construction
96,Construction
97,Construction
98,Construction
99,Construction
100,Construction
101,Construction
102,Construction
103,Construction
104,Construction
105,Construction
106,Construction
107,Construction
108,Construction
109,Construction
110,Construction
111,Construction
112,Construction
113,Construction
114,Site Development
115,Construction
116,Demolition
117,Construction
118,Demolition
119,Construction
120,Construction
121,Construction
122,Construction
123,Demolition
124,Site Development
125,Construction
126,Construction
127,Construction
128,Construction
129,Construction
130,Construction
131,Construction
132,Construction
133,Construction
134,Construction
135,Construction
136,Construction
137,Construction
138,Construction
139,Construction
140,Construction
141,Construction
142,Construction
143,Construction
144,Construction
145,Construction
146,Construction
147,Construction
148,Demolition
149,Construction
150,Construction
151,Construction
152,Construction
153,Demolition
154,Demolition
155,Construction
156,Construction
157,Construction
158,Demolition
159,Construction
160,Construction
161,Construction
162,Construction
163,Construction
164,Construction
165,Construction
166,Construction
167,Construction
168,Construction
169,Construction
170,Construction
171,Construction
172,Construction
173,Construction
174,Construction
175,Construction
176,Construction
177,Construction
178,Construction
179,Construction
180,Construction
181,Construction
182,Construction
183,Construction
184,Construction
185,Construction
186,Construction
187,Construction
188,Construction
189,Demolition
190,Demolition
191,Construction
192,Construction
193,Construction
194,Construction
195,Construction
196,Construction
197,Demolition
198,Construction
199,Construction
200,Construction
201,Site Development
202,Construction
203,Construction
204,Construction
205,Construction
206,Construction
207,Construction
208,Demolition
209,Construction
210,Construction
211,Construction
212,Construction
213,Construction
214,Construction
215,Construction
216,Construction
217,Construction
218,Construction
219,Construction
220,Construction
221,Construction
222,Construction
223,Construction
224,Construction
225,Demolition
226,Demolition
227,Demolition
228,Construction
229,Construction
230,Construction
231,Construction
232,Construction
233,Construction
234,Construction
235,Construction
236,Construction
237,Construction
238,Construction
239,Construction
240,Construction
241,Construction
242,Construction
243,Construction
244,Site Development
245,Construction
246,Construction
247,Construction
248,Construction
249,Construction
250,Site Development
251,Construction
252,Construction
253,Construction
254,Construction
255,Construction
256,Construction
257,Construction
258,Demolition
259,Construction
260,Construction
261,Construction
262,Construction
263,Construction
264,Construction
265,Site Development
266,Site Development
267,Construction
268,Construction
269,Construction
270,Construction
271,Construction
272,Construction
273,Construction
274,Construction
275,Demolition
276,Construction
277,Construction
278,Construction
279,Construction
280,Demolition
281,Construction
282,Construction
283,Construction
284,Construction
285,Construction
286,Construction
287,Construction
288,Construction
289,Construction
290,Construction
291,Construction
292,Construction
293,Construction
294,Construction
295,Construction
296,Construction
297,Construction
298,Construction
299,Construction
300,Construction
301,Construction
302,Construction
303,Demolition
304,Construction
305,Demolition
306,Construction
307,Construction
308,Construction
309,Demolition
310,Construction
311,Construction
312,Demolition
313,Construction
314,Construction
315,Construction
316,Construction
317,Construction
318,Construction
319,Construction
320,Construction
321,Construction
322,Construction
323,Construction
324,Site Development
325,Demolition
326,Construction
327,Site Development
328,Site Development
329,Construction
330,Construction
331,Construction
332,Demolition
333,Construction
334,Construction
335,Construction
336,Construction
337,Construction
338,Construction
339,Construction
340,Demolition
341,Demolition
342,Construction
343,Construction
344,Construction
345,Construction
346,Demolition
347,Construction
348,Demolition
349,Construction
350,Construction
351,Construction
352,Construction
353,Construction
354,Construction
355,Construction
356,Demolition
357,Construction
358,Construction
359,Construction
360,Construction
361,Construction
362,Construction
363,Site Development
364,Construction
365,Site Development
366,Construction
367,Construction
368,Construction
369,Demolition
370,Demolition
371,Demolition
372,Demolition
373,Construction
374,Construction
375,Demolition
376,Demolition
377,Construction
378,Construction
379,Construction
380,Construction
381,Construction
382,Construction
383,Construction
384,Construction
385,Construction
386,Construction
387,Construction
388,Construction
389,Construction
390,Construction
391,Construction
392,Construction
393,Construction
394,Construction
395,Construction
396,Construction
397,Construction
398,Construction
399,Construction
400,Construction
401,Construction
402,Construction
403,Construction
404,Construction
405,Construction
406,Construction
407,Construction
408,Construction
409,Construction
410,Construction
411,Construction
