id,feature_desc,child_desc_id,field_type_id
1,Play Area,,
2,View,,
3,Boat Launch (Hand Carry),,
4,Boat Launch (Motorized),,
5,Waterfront,,
6,Boat Launch (Hand Carry),,
7,Play Area (ADA Compliant),,
8,Paths,,
9,View,,
10,Boat Launch (Hand Carry),,
11,Waterfront,,
12,Play Area (ADA Compliant),,
13,Boat Launch (Hand Carry),,
14,Boat Launch (Hand Carry),,
15,Fire Pit,,
16,Paths,,
17,Paths (ADA Compliant),,
18,Picnic Sites,,
19,Rental Facility,,
20,Restrooms,,
21,Restrooms (ADA Compliant),,
22,View,,
23,Waterfront,,
24,Baseball/Softball,,
25,Basketball (Half),,
26,Fishing,,
27,Basketball (Half),,
28,Community Center,,
29,Pesticide Free,,
30,Play Area (ADA Compliant),,
31,Restrooms,,
32,Soccer,,
33,Tennis Court (Outdoor),,
34,Tennis Court (Outdoor),,
35,Tennis Lights,,
36,Paths,,
37,Tennis Court (Outdoor),,
38,Tennis Court (Outdoor),,
39,Tennis Court (Outdoor),,
40,Tennis Court (Outdoor),,
41,Tennis Court (Outdoor),,
42,Tennis Court (Outdoor),,
43,View,,
44,Waterfront,,
45,Green Space,,
46,Woods,,
47,Boat Launch (Motorized),,
48,Waterfront,,
49,Adult Fitness Equipment,,
50,Paths,,
51,Paths (ADA Compliant),,
52,Play Area (ADA Compliant),,
53,Baseball/Softball,,
54,Basketball (Full),,
55,Basketball (Half),,
56,Play Area (ADA Compliant),,
57,Soccer,,
58,View,,
59,Paths,,
60,Pesticide Free,,
61,Play Area (ADA Compliant),,
62,Skatepark,,
63,Wading Pool or Water Feature,,
64,Play Area (ADA Compliant),,
65,Baseball/Softball,,
66,Baseball/Softball,,
67,Community Center,,
68,Play Area (ADA Compliant),,
69,Pool (Indoor),,
70,Soccer,,
71,Baseball/Softball,,
72,Baseball/Softball,,
73,Baseball/Softball,,
74,Basketball (Half),,
75,Play Area (ADA Compliant),,
76,Restrooms,,
77,Soccer,,
78,View,,
79,Play Area (ADA Compliant),,
80,Baseball/Softball,,
81,Basketball (Half),,
82,Basketball (Half),,
83,Play Area (ADA Compliant),,
84,Restrooms,,
85,Restrooms (ADA Compliant),,
86,Soccer,,
87,Tennis Backboard (Outdoor),,
88,Tennis Court (Outdoor),,
89,Tennis Court (Outdoor),,
90,Wading Pool or Water Feature,,
91,Boat Launch (Hand Carry),,
92,Pesticide Free,,
93,Picnic Sites,,
94,Play Area (ADA Compliant),,
95,Restrooms,,
96,View,,
97,Waterfront,,
98,Paths,,
99,Paths (ADA Compliant),,
100,Historic Landmark,,
101,P-Patch Community Garden,,
102,View,,
103,Weddings and Ceremonies,,
104,Boat Launch (Hand Carry),,
105,Pesticide Free,,
106,View,,
107,Waterfront,,
108,Basketball (Full),,
109,Basketball (Half),,
110,Basketball (Half),,
111,Basketball (Half),,
112,Paths,,
113,Pesticide Free,,
114,Picnic Sites,,
115,Play Area (ADA Compliant),,
116,Skatepark,,
117,View,,
118,View,,
119,Play Area (ADA Compliant),,
120,View,,
121,Weddings and Ceremonies,,
122,Baseball/Softball,,
123,Baseball/Softball,,
124,Community Center,,
125,Play Area (ADA Compliant),,
126,Restrooms,,
127,Soccer,,
128,T-Ball,,
129,Tennis Court (Outdoor),,
130,Tennis Court (Outdoor),,
131,Tennis Court (Outdoor),,
132,Tennis Court (Outdoor),,
133,Tennis Lights,,
134,Wading Pool or Water Feature,,
135,Waterfront,,
136,Adult Fitness Equipment,,
137,Paths,,
138,Play Area (ADA Compliant),,
139,P-Patch Community Garden,,
140,Dog Off Leash Area,,
141,Paths,,
142,Weddings and Ceremonies,,
143,Woods,,
144,Community Building,,
145,Garden,,
146,Pesticide Free,,
147,Play Area (ADA Compliant),,
148,P-Patch Community Garden,,
149,Restrooms,,
150,Restrooms (ADA Compliant),,
151,View,,
152,Baseball/Softball,,
153,Baseball/Softball,,
154,Baseball/Softball,,
155,Basketball (Full),,
156,Basketball (Half),,
157,Basketball (Half),,
158,Play Area (ADA Compliant),,
159,Restrooms,,
160,Soccer,,
161,Tennis Court (Outdoor),,
162,Tennis Court (Outdoor),,
163,Basketball (Half),,
164,Basketball (Half),,
165,Play Area (ADA Compliant),,
166,Tennis Court (Outdoor),,
167,Tennis Court (Outdoor),,
168,Basketball (Half),,
169,Paths,,
170,Play Area (ADA Compliant),,
171,Restrooms,,
172,Restrooms (ADA Compliant),,
173,Bike Trail,,
174,Paths,,
175,Paths (ADA Compliant),,
176,Paths (ADA Compliant),,
