id,PermitType,PermitNumber,PerrmitStatus
1,Demolition,6532107,Reviews Completed
2,Construction,6518623,Application Accepted
3,Construction,6520919,Application Accepted
4,Construction,6489775,Application Accepted
5,Site Development,6532172,AP Closed
6,Construction,6522552,Application Accepted
7,Construction,6532123,Permit Issued
8,Construction,6532169,Permit Issued
9,Construction,6528064,Application Accepted
10,Construction,6365769,Application Accepted
11,Construction,6530536,Permit Issued
12,Construction,6532135,Permit Issued
13,Construction,6532131,Permit Issued
14,Construction,6531750,Permit Issued
15,Construction,6463633,Application Accepted
16,Construction,6532066,Permit Issued
17,Construction,6532066,Permit Issued
18,Construction,6530707,Application Accepted
19,Construction,6512577,Permit Issued
20,Construction,6532045,Permit Issued
21,Construction,6532050,Permit Issued
22,Construction,6524965,Permit Issued
23,Construction,6526840,Application Accepted
24,Construction,6526840,Application Accepted
25,Construction,6515246,Application Accepted
26,Construction,6532033,Permit Issued
27,Construction,6530871,Application Accepted
28,Construction,6519420,Application Accepted
29,Construction,6519420,Application Accepted
30,Construction,6511006,Application Accepted
31,Construction,6417863,Application Accepted
32,Construction,6516691,Application Accepted
33,Construction,6523731,Application Accepted
34,Construction,6530364,Application Accepted
35,Construction,6530364,Application Accepted
36,Demolition,6464198,Reviews Completed
37,Construction,6518986,Application Accepted
38,Construction,6521715,Application Accepted
39,Construction,6518508,Application Accepted
40,Construction,6525805,Application Accepted
41,Construction,6525805,Application Accepted
42,Demolition,6531727,Reviews Completed
43,Demolition,6531808,Reviews Completed
44,Construction,6530360,Application Accepted
45,Construction,6524905,Application Accepted
46,Construction,6524905,Application Accepted
47,Construction,6513689,Application Accepted
48,Construction,6530258,Permit Issued
49,Construction,6530258,Permit Issued
50,Construction,6524944,Application Accepted
51,Construction,6398051,
52,Construction,6530062,Permit Issued
53,Construction,6531863,Permit Issued
54,Construction,6524629,Application Accepted
55,Construction,6524629,Application Accepted
56,Construction,6513734,Application Accepted
57,Construction,6531848,Permit Issued
58,Construction,6484299,Permit Issued
59,Construction,6529731,Application Accepted
60,Construction,6526928,Application Accepted
61,Construction,6531805,Permit Issued
62,Construction,6530654,Permit Issued
63,Construction,6530654,Permit Issued
64,Construction,6526647,Application Accepted
65,Demolition,6531642,Reviews Completed
66,Construction,6491624,Application Accepted
67,Construction,6531742,Application Accepted
68,Construction,6531596,Permit Issued
69,Construction,6517860,Application Accepted
70,Construction,6530363,Permit Issued
71,Construction,6527622,Permit Issued
72,Construction,6517136,Application Accepted
73,Construction,6531737,Application Accepted
74,Construction,6528092,Permit Issued
75,Construction,6531696,Permit Issued
76,Construction,6528176,Permit Issued
77,Construction,6530373,Application Accepted
78,Construction,6523907,Application Accepted
79,Construction,6470832,Application Accepted
80,Construction,6515473,Application Accepted
81,Construction,6467515,Application Accepted
82,Construction,6519877,Application Accepted
83,Construction,6528062,Application Accepted
84,Construction,6419041,Application Accepted
85,Site Development,6531601,AP Closed
86,Construction,6520755,Application Accepted
87,Demolition,6467510,Reviews Completed
88,Construction,6500008,Application Accepted
89,Demolition,6530992,Reviews Completed
90,Construction,6528833,Application Accepted
91,Construction,6526277,Permit Issued
92,Construction,6531577,Permit Issued
93,Demolition,6531318,Permit Issued
94,Site Development,6528931,AP Closed
95,Construction,6515915,Application Accepted
96,Construction,6494401,Application Accepted
97,Construction,6531489,Permit Issued
98,Construction,6530525,Permit Issued
99,Construction,6512350,Application Accepted
100,Construction,6512350,Application Accepted
101,Construction,6531445,Permit Issued
102,Construction,6529756,Permit Issued
103,Construction,6526552,Application Accepted
104,Construction,6529479,Application Accepted
105,Construction,6510003,Application Accepted
106,Construction,6530782,Application Accepted
107,Construction,6492915,Application Accepted
108,Construction,6492915,Application Accepted
109,Construction,6531192,Application Accepted
110,Construction,6531192,Application Accepted
111,Construction,6531191,Application Accepted
112,Construction,6531191,Application Accepted
113,Construction,6531190,Application Accepted
114,Construction,6531190,Application Accepted
115,Construction,6531189,Application Accepted
116,Construction,6531189,Application Accepted
117,Construction,6508167,Application Accepted
118,Construction,6531170,Application Accepted
119,Demolition,6531172,Reviews Completed
120,Construction,6517594,Application Accepted
121,Construction,6517594,Application Accepted
122,Construction,6531295,Permit Issued
123,Demolition,6530110,Reviews Completed
124,Demolition,6531282,Reviews Completed
125,Construction,6516091,Application Accepted
126,Construction,6518452,Application Accepted
127,Construction,6516267,Application Accepted
128,Demolition,6531213,Reviews Completed
129,Construction,6520648,Application Accepted
130,Construction,6147225,Application Accepted
131,Construction,6522864,Application Accepted
132,Construction,6531322,Application Accepted
133,Construction,6531271,Permit Issued
134,Construction,6531246,Permit Issued
135,Construction,6529982,Permit Issued
136,Construction,6529982,Permit Issued
137,Construction,6507909,Application Accepted
138,Construction,6523307,Application Accepted
139,Construction,6522805,Application Accepted
140,Construction,6520546,Application Accepted
141,Construction,6528439,Permit Issued
142,Construction,6531210,Permit Issued
143,Construction,6531211,Permit Issued
144,Construction,6531203,Permit Issued
145,Construction,6531200,Permit Issued
146,Construction,6531185,Permit Issued
147,Construction,6531185,Permit Issued
148,Construction,6526481,Permit Issued
149,Construction,6526864,Permit Issued
150,Construction,6524313,Application Accepted
151,Construction,6517909,Application Accepted
152,Construction,6530747,Permit Issued
153,Construction,6530747,Permit Issued
154,Construction,6531151,Application Accepted
155,Construction,6521674,Application Accepted
156,Construction,6530278,Application Accepted
157,Construction,6517763,Application Accepted
158,Demolition,6510162,Permit Issued
159,Demolition,6509972,Permit Issued
160,Construction,6530773,Application Accepted
161,Construction,6530506,Permit Issued
162,Construction,6520609,Application Accepted
163,Construction,6525192,Application Accepted
164,Construction,6531033,Permit Issued
165,Construction,6525935,Application Accepted
166,Demolition,6530740,Reviews Completed
167,Construction,6531006,Permit Issued
168,Construction,6531028,Permit Issued
169,Site Development,6521470,Application Accepted
170,Construction,6527612,Permit Issued
171,Construction,6530453,Permit Issued
172,Construction,6526931,Application Accepted
173,Construction,6531008,Permit Issued
174,Construction,6531004,Permit Issued
175,Construction,6530997,Permit Issued
176,Demolition,6530950,Permit Issued
177,Construction,6513668,Application Accepted
178,Construction,6509202,Application Accepted
179,Construction,6520317,Application Accepted
180,Construction,6521417,Application Accepted
181,Construction,6522821,Application Accepted
182,Construction,6501345,Application Accepted
183,Site Development,6528240,AP Closed
184,Construction,6527380,Permit Issued
185,Construction,6530933,Permit Issued
186,Construction,6530937,Permit Issued
187,Construction,6530940,Permit Issued
188,Construction,6530901,Permit Issued
189,Construction,6529713,Permit Issued
190,Construction,6528210,Application Accepted
191,Construction,6530090,Permit Issued
192,Construction,6517622,Application Accepted
193,Demolition,6530643,Reviews Completed
194,Demolition,6530801,Reviews Completed
195,Demolition,6530569,Reviews Completed
196,Construction,6471321,Application Accepted
197,Construction,6474593,Application Accepted
198,Construction,6524404,Application Accepted
199,Construction,6530765,Application Accepted
200,Construction,6514798,Application Accepted
201,Construction,6518270,Application Accepted
202,Construction,6499935,Application Accepted
203,Construction,6520422,Permit Issued
204,Construction,6530775,Permit Issued
205,Construction,6530750,Permit Issued
206,Construction,6517027,Application Accepted
207,Construction,6530715,Permit Issued
208,Construction,6520610,Application Accepted
209,Construction,6530184,Permit Issued
210,Construction,6530734,Permit Issued
211,Construction,6530722,Permit Issued
212,Site Development,6530728,AP Closed
213,Construction,6529952,Permit Issued
214,Construction,6518706,Application Accepted
215,Construction,6525953,Application Accepted
216,Construction,6523665,Application Accepted
217,Construction,6260438,
218,Construction,6518709,Permit Issued
219,Site Development,6528579,AP Closed
220,Construction,6497826,Application Accepted
221,Construction,6529120,Permit Issued
222,Construction,6525960,Application Accepted
223,Construction,6503134,Application Accepted
224,Construction,6530490,Application Accepted
225,Construction,6530490,Application Accepted
226,Demolition,6530491,Reviews Completed
227,Construction,6528290,Permit Issued
228,Construction,6523543,Application Accepted
229,Construction,6528324,Application Accepted
230,Construction,6522230,Application Accepted
231,Construction,6528098,Application Accepted
232,Construction,6530568,Reviews Completed
233,Site Development,6528638,Application Accepted
234,Construction,6068528,
235,Site Development,6528638,Application Accepted
236,Construction,6529893,Permit Issued
237,Construction,6529893,Permit Issued
238,Construction,6529893,Permit Issued
239,Construction,6520577,Application Accepted
240,Construction,6524885,Application Accepted
241,Construction,6529391,Permit Issued
242,Construction,6526542,Permit Issued
243,Construction,6530505,Permit Issued
244,Demolition,6529661,Reviews Completed
245,Construction,6500641,Application Accepted
246,Construction,6528768,Application Accepted
247,Construction,6530206,Application Accepted
248,Construction,6517589,Application Accepted
249,Demolition,6530377,Reviews Completed
250,Construction,6512238,Application Accepted
251,Construction,6067550,
252,Construction,6520611,Application Accepted
253,Construction,6530458,Application Accepted
254,Construction,6520734,Application Accepted
255,Construction,6526716,Application Accepted
256,Construction,6526716,Application Accepted
257,Construction,6530492,Permit Issued
258,Construction,6530479,Application Accepted
259,Construction,6530471,Reviews Completed
260,Construction,6530445,Permit Issued
261,Construction,6530445,Permit Issued
262,Construction,6527610,Permit Issued
263,Construction,6530440,Permit Issued
264,Construction,6530399,Application Accepted
265,Construction,6503698,Application Accepted
266,Construction,6530269,Application Accepted
267,Construction,6530268,Application Accepted
268,Construction,6530268,Application Accepted
269,Construction,6525547,Permit Issued
270,Construction,6530306,Permit Issued
271,Construction,6529442,Application Accepted
272,Construction,6515549,Application Accepted
273,Demolition,6530158,Reviews Completed
274,Construction,6530310,Reviews Completed
275,Demolition,6443120,Permit Closed
276,Construction,6493617,Application Accepted
277,Construction,6480630,Application Accepted
278,Construction,6521970,Application Accepted
279,Demolition,6529256,Reviews Completed
280,Construction,6530180,Application Accepted
281,Construction,6505809,Application Accepted
282,Demolition,6530181,Reviews Completed
283,Construction,6489537,Application Accepted
284,Construction,6512579,Application Accepted
285,Construction,6476238,Application Accepted
286,Construction,6515382,Application Accepted
287,Construction,6507730,Application Accepted
288,Construction,6518041,Application Accepted
289,Construction,6516962,Application Accepted
290,Construction,6516256,Application Accepted
291,Construction,6488628,Application Accepted
292,Construction,6530243,Permit Issued
293,Construction,6529195,Permit Issued
294,Site Development,6522441,Application Accepted
295,Demolition,6529690,Permit Issued
296,Construction,6530101,Permit Issued
297,Site Development,6530212,Application Accepted
298,Site Development,6530210,Application Accepted
299,Construction,6528630,Permit Issued
300,Construction,6399017,Application Accepted
301,Construction,6506409,Permit Issued
302,Demolition,6510290,Permit Issued
303,Construction,6530117,Permit Issued
304,Construction,6512768,Application Accepted
305,Construction,6528693,Permit Issued
306,Construction,6530078,Permit Closed
307,Construction,6509421,Application Accepted
308,Construction,6490814,Application Accepted
309,Construction,6525157,Application Accepted
310,Demolition,6523677,Permit Issued
311,Demolition,6529679,Reviews Completed
312,Construction,6496147,Application Accepted
313,Construction,6512358,Application Accepted
314,Construction,6512358,Application Accepted
315,Construction,6529863,Application Accepted
316,Demolition,6529864,Reviews Completed
317,Construction,6515730,Application Accepted
318,Demolition,6529367,Reviews Completed
319,Construction,6517784,Application Accepted
320,Construction,6507745,Permit Issued
321,Construction,6512292,Application Accepted
322,Construction,6513003,Application Accepted
323,Construction,6529525,Application Accepted
324,Construction,6529525,Application Accepted
325,Demolition,6529737,Reviews Completed
326,Construction,6513202,Application Accepted
327,Construction,6525533,Application Accepted
328,Construction,6515199,Application Accepted
329,Construction,6519628,Application Accepted
330,Construction,6525114,Permit Issued
331,Construction,6529938,Permit Issued
332,Site Development,6493214,AP Closed
333,Construction,6529931,Permit Issued
334,Site Development,6526659,AP Closed
335,Construction,6529624,Permit Issued
336,Construction,6527402,Reviews Completed
337,Construction,6523963,Application Accepted
338,Construction,6514244,Permit Issued
339,Demolition,6529721,Reviews Completed
340,Demolition,6529349,Reviews Completed
341,Demolition,6529454,Reviews Completed
342,Demolition,6529348,Reviews Completed
343,Construction,6520592,Application Accepted
344,Construction,6520592,Application Accepted
345,Demolition,6529625,Reviews Completed
346,Demolition,6529625,Reviews Completed
347,Construction,6529623,Application Accepted
348,Construction,6529623,Application Accepted
349,Construction,6520258,Application Accepted
350,Construction,6211435,CANCELLED
351,Construction,6521433,Application Accepted
352,Construction,6512047,Application Accepted
353,Construction,6516940,Application Accepted
354,Construction,6516507,Application Accepted
355,Construction,6509267,Application Accepted
356,Construction,6517751,Application Accepted
357,Construction,6519560,Application Accepted
358,Construction,6521336,Application Accepted
359,Construction,6524595,Application Accepted
360,Construction,6523301,Application Accepted
361,Construction,6522476,Application Accepted
362,Construction,6511295,Application Accepted
363,Construction,6503984,Application Accepted
