id,Street,Longitude,Latitude,BuildingPermit_id
1,2429A 55TH AVE SW,,,
2,3823 40TH AVE SW,-122.38320158,47.56949001,
3,400 DEXTER AVE N,-122.34195684,47.6223157,
4,1919 POST AL,-122.34252101,47.61014501,
5,116 37TH AVE E,-122.28617779,47.61893547,
6,1220 4TH AVE S,-122.32829252,47.59080543,
7,4718 2ND AVE NE,-122.32692883,47.66376745,
8,811 5TH AVE,-122.33119077,47.60547767,
9,3721 SUNNYSIDE AVE N,-122.33059611,47.65265984,
10,9830 ARROWSMITH AVE S,-122.25223486,47.51358115,
11,3733 BELVIDERE AVE SW,-122.37977397,47.57025157,
12,3911 S FERDINAND ST,-122.28293845,47.55766176,
13,1205 E PIKE ST,-122.31644919,47.61392474,
14,10227 42ND AVE SW,-122.38640022,47.51131256,
15,2534 WARREN AVE N,-122.35422037,47.64242125,
16,10126 66TH AVE S,-122.25093357,47.51017171,
17,10126 66TH AVE S,-122.25093357,47.51017171,
18,523 N 68TH ST,-122.35156472,47.67850433,
19,3403 NW 62ND ST,-122.40132095,47.67373956,
20,8633 39TH AVE SW,-122.3822884,47.52523221,
21,5229 S MAYFLOWER ST,-122.26687045,47.55391591,
22,2721 10TH AVE E,-122.32001738,47.6452049,
23,415 N 68TH ST,-122.35366589,47.67853309,
24,415 N 68TH ST,-122.35366589,47.67853309,
25,4300 BROOKLYN AVE NE,-122.31403576,47.66006585,
26,4747 34TH AVE NE,-122.2915675,47.66420172,
27,2621 2ND AVE,-122.34974746,47.61612629,
28,1913 7TH AVE,-122.33749589,47.61487609,
29,1913 7TH AVE,-122.33749589,47.61487609,
30,7414 34TH AVE NW,-122.40021794,47.68283899,
31,2326 CALIFORNIA AVE SW,-122.38612535,47.58212466,
32,7530 DETROIT AVE SW,-122.3378589,47.53532717,
33,7338 44TH AVE SW,-122.38822044,47.53727246,
34,8724 HOLMAN RD NW,-122.37581156,47.69354613,
35,8724 HOLMAN RD NW,-122.37581156,47.69354613,
36,3816 22ND AVE SW,-122.36084374,47.56964185,
37,4225 2ND AVE S,-122.33222511,47.5654948,
38,322 21ST AVE E,-122.30437139,47.62208705,
39,11 W ALOHA ST,-122.35737496,47.62684241,
40,331 N 84TH ST,-122.35388734,47.6896596,
41,331 N 84TH ST,-122.35388734,47.6896596,
42,3532 45TH AVE NE,-122.27896603,47.654742,
43,322 21ST AVE E,-122.30437139,47.62208705,
44,318 NE NORTHGATE WAY,-122.32530577,47.70911857,
45,2135 NW 97TH ST,-122.38452127,47.69946335,
