id,ValueAmount,BuildingPermit_id
1,$0.00,
2,$624513.00,
3,$29919043.00,
4,$505846.00,
5,$200000.00,
6,$200000.00,
7,$150000.00,
8,$100000.00,
9,$48000.00,
10,$69802.00,
11,$6000.00,
12,$9000.00,
13,$20000.00,
14,$60000.00,
15,$12941.00,
16,$55000.00,
17,$55000.00,
18,$13000.00,
19,$85000.00,
20,$12500.00,
21,$40000.00,
22,$195000.00,
23,$250000.00,
24,$250000.00,
25,$9682902.00,
26,$20000.00,
27,$175000.00,
28,$77746.00,
29,$77746.00,
30,$54000.00,
31,$17000.00,
32,$25000.00,
33,$176965.00,
34,$25575.00,
35,$25575.00,
36,$0.00,
37,$100000.00,
38,$446258.00,
39,$2050000.00,
40,$125000.00,
41,$125000.00,
42,$0.00,
43,$0.00,
44,$25575.00,
45,$9000.00,
46,$9000.00,
47,$21380.00,
48,$30000.00,
49,$30000.00,
50,$682406.00,
51,$0.00,
52,$1000.00,
53,$2000.00,
54,$165000.00,
55,$165000.00,
56,$216135.00,
57,$4000.00,
58,$75000.00,
59,$53153.00,
60,$850000.00,
61,$5000.00,
62,$7367.00,
63,$7367.00,
64,$407183.00,
65,$0.00,
66,$763585.00,
67,$850000.00,
68,$0.00,
69,$39000.00,
70,$15000.00,
71,$70000.00,
72,$1000.00,
73,$190000.00,
74,$20000.00,
75,$7782.00,
76,$10000.00,
77,$100000.00,
78,$200000.00,
79,$4864.00,
80,$465511.00,
81,$280000.00,
82,$712000.00,
83,$10000.00,
84,$500000.00,
85,$0.00,
86,$107225.00,
87,$0.00,
88,$365867.00,
89,$0.00,
90,$100000.00,
91,$6000.00,
92,$10000.00,
93,$0.00,
94,$0.00,
95,$75000.00,
96,$30000.00,
97,$15000.00,
98,$60000.00,
99,$198429.00,
100,$198429.00,
101,$5000.00,
102,$12000.00,
103,$200000.00,
104,$400000.00,
105,$70000.00,
106,$204547.00,
107,$238449.00,
108,$238449.00,
109,$212116.00,
110,$212116.00,
111,$218673.00,
112,$218673.00,
113,$217904.00,
114,$217904.00,
115,$216804.00,
116,$216804.00,
117,$845966.00,
118,$163913.00,
119,$0.00,
120,$180978.00,
121,$180978.00,
122,$2000.00,
123,$0.00,
124,$0.00,
125,$360383.00,
126,$120000.00,
127,$45000.00,
128,$0.00,
129,$529058.00,
130,$480858.00,
131,$100000.00,
132,$97052.00,
133,$67611.00,
134,$15000.00,
135,$50000.00,
136,$50000.00,
137,$20000.00,
138,$3150.00,
139,$110000.00,
140,$30882.00,
141,$6000.00,
142,$100000.00,
143,$120000.00,
144,$36000.00,
145,$20000.00,
146,$55000.00,
147,$55000.00,
148,$150000.00,
149,$42600.00,
150,$250000.00,
151,$489586.00,
152,$50000.00,
153,$50000.00,
154,$150000.00,
155,$50000.00,
156,$128930.00,
157,$134053.00,
158,$0.00,
159,$0.00,
160,$780000.00,
161,$1200.00,
162,$488295.00,
163,$20000.00,
164,$45000.00,
165,$45500.00,
166,$0.00,
167,$5000.00,
168,$5000.00,
169,$0.00,
170,$10000.00,
171,$20000.00,
172,$0.00,
173,$25000.00,
174,$8000.00,
175,$50000.00,
176,$0.00,
177,$365998.00,
178,$335953.00,
179,$75000.00,
180,$3000.00,
181,$5000.00,
182,$105891.00,
183,$0.00,
184,$10000.00,
185,$82300.00,
186,$800000.00,
187,$250000.00,
188,$160000.00,
189,$3500.00,
190,$74246.00,
191,$10000.00,
192,$318250.00,
193,$0.00,
194,$0.00,
195,$0.00,
196,$316365.00,
197,$500000.00,
198,$524397.00,
199,$3800000.00,
200,$100000.00,
201,$1.00,
202,$20000.00,
203,$150000.00,
204,$10000.00,
205,$20000.00,
206,$97372.00,
207,$100000.00,
208,$959932.00,
209,$4000.00,
210,$110000.00,
211,$100000.00,
212,$0.00,
213,$2260.00,
214,$55869.00,
215,$450000.00,
216,$5000.00,
217,$0.00,
218,$150000.00,
219,$0.00,
