City Feature,Common Name,Address,Website,Longitude,Latitude
Public Art,Woodland Park Zoo,5500 Phinney Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=8,-122.353686,47.668532
Public Art,Woodland Park Zoo,5500 Phinney Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=9,-122.353686,47.668532
Public Art,Seattle Center,400 Broad St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=8&item=1,-122.349301,47.620493
Public Art,Seattle Center,200 2nd Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=8&item=2,-122.351104,47.619739
Public Art,Seattle Center,321 Mercer St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=8&item=3,-122.351434,47.623946
Public Art,Alki Beach,West Seattle Cultural Trail Alki Point to Duwamish Head,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=3&item=3,-122.395845,47.58825
Public Art,Terminal 107,4700 W Marginal Wy S,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=3&item=4,-122.3386,47.558868
Public Art,Belltown Neighborhood,2nd Ave between Virginia St and Denny Wy,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=3&item=1,-122.346888,47.614906
Public Art,South Lake Union,Westlake Avenue North from Galer Street to Crockett Street,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=3&item=2,-122.336574,47.626365
Public Art,Seattle Public Utilities Operations Control Center,2700 Airport Wy S,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=6&item=2,-122.320745,47.579185
Public Art,81 Vine Street,81 Vine St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=6&item=3,-122.350243,47.614549
Public Art,Seattle City Light North Service Center,1300 N 97th Street,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=6&item=4,-122.341607,47.699781
Public Art,Cal Anderson Park,1635 11th Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=6&item=5,-122.318367,47.615449
Public Art,Southwest Police Precinct,2300 SW Webster,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=7&item=2,-122.362049,47.53578
Public Art,Southwest Police Precinct,2300 SW Webster,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=7&item=3,-122.362049,47.53578
Public Art,Pratt Park,1800 S Main St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=10,-122.307197,47.600925
Public Art,Douglass-Truth Branch Library,2300 E Yesler Wy,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=5&item=10,-122.301833,47.601905
Public Art,Seattle City Hall,600 4th Ave,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=4&item=1,-122.329706,47.603773
