id,Week,Day,Date,Time,HometeamID,AwayteamID,StadiumID
1,1,Thursday,9/10/2015,8:30 PM ET ,,,
2,1,Sunday,9/13/2015,1:00 PM ET ,,,
3,1,Sunday,9/13/2015,1:00 PM ET ,,,
4,1,Sunday,9/13/2015,1:00 PM ET ,,,
5,1,Sunday,9/13/2015,1:00 PM ET ,,,
6,1,Sunday,9/13/2015,1:00 PM ET ,,,
7,1,Sunday,9/13/2015,1:00 PM ET ,,,
8,1,Sunday,9/13/2015,1:00 PM ET ,,,
9,1,Sunday,9/13/2015,4:05 PM ET ,,,
10,1,Sunday,9/13/2015,4:05 PM ET ,,,
11,1,Sunday,9/13/2015,4:25 PM ET ,,,
12,1,Sunday,9/13/2015,4:25 PM ET ,,,
13,1,Sunday,9/13/2015,4:25 PM ET ,,,
14,1,Sunday,9/13/2015,8:30 PM ET ,,,
15,1,Monday,9/14/2015,7:10 PM ET ,,,
16,1,Monday,9/14/2015,10:20 PM ET ,,,
17,2,Thursday,9/17/2015,8:25 PM ET ,,,
18,2,Sunday,9/20/2015,1:00 PM ET ,,,
19,2,Sunday,9/20/2015,1:00 PM ET ,,,
20,2,Sunday,9/20/2015,1:00 PM ET ,,,
21,2,Sunday,9/20/2015,1:00 PM ET ,,,
22,2,Sunday,9/20/2015,1:00 PM ET ,,,
23,2,Sunday,9/20/2015,1:00 PM ET ,,,
24,2,Sunday,9/20/2015,1:00 PM ET ,,,
25,2,Sunday,9/20/2015,1:00 PM ET ,,,
26,2,Sunday,9/20/2015,1:00 PM ET ,,,
27,2,Sunday,9/20/2015,1:00 PM ET ,,,
28,2,Sunday,9/20/2015,4:05 PM ET ,,,
29,2,Sunday,9/20/2015,4:05 PM ET ,,,
30,2,Sunday,9/20/2015,4:25 PM ET ,,,
31,2,Sunday,9/20/2015,8:30 PM ET ,,,
32,2,Monday,9/21/2015,8:30 PM ET ,,,
33,3,Thursday,9/24/2015,8:25 PM ET ,,,
34,3,Sunday,9/27/2015,1:00 PM ET ,,,
35,3,Sunday,9/27/2015,1:00 PM ET ,,,
36,3,Sunday,9/27/2015,1:00 PM ET ,,,
37,3,Sunday,9/27/2015,1:00 PM ET ,,,
38,3,Sunday,9/27/2015,1:00 PM ET ,,,
39,3,Sunday,9/27/2015,1:00 PM ET ,,,
40,3,Sunday,9/27/2015,1:00 PM ET ,,,
41,3,Sunday,9/27/2015,1:00 PM ET ,,,
42,3,Sunday,9/27/2015,1:00 PM ET ,,,
43,3,Sunday,9/27/2015,1:00 PM ET ,,,
44,3,Sunday,9/27/2015,4:05 PM ET ,,,
45,3,Sunday,9/27/2015,4:25 PM ET ,,,
46,3,Sunday,9/27/2015,4:25 PM ET ,,,
47,3,Sunday,9/27/2015,8:30 PM ET ,,,
48,3,Monday,9/28/2015,8:30 PM ET ,,,
49,4,Thursday,10/1/2015,8:25 PM ET ,,,
50,4,Sunday,10/4/2015,9:30 AM ET ,,,
51,4,Sunday,10/4/2015,1:00 PM ET ,,,
52,4,Sunday,10/4/2015,1:00 PM ET ,,,
53,4,Sunday,10/4/2015,1:00 PM ET ,,,
54,4,Sunday,10/4/2015,1:00 PM ET ,,,
55,4,Sunday,10/4/2015,1:00 PM ET ,,,
56,4,Sunday,10/4/2015,1:00 PM ET ,,,
57,4,Sunday,10/4/2015,1:00 PM ET ,,,
58,4,Sunday,10/4/2015,4:05 PM ET ,,,
59,4,Sunday,10/4/2015,4:25 PM ET ,,,
60,4,Sunday,10/4/2015,4:25 PM ET ,,,
61,4,Sunday,10/4/2015,4:25 PM ET ,,,
62,4,Sunday,10/4/2015,8:30 PM ET ,,,
63,4,Monday,10/5/2015,8:30 PM ET ,,,
64,5,Thursday,10/8/2015,8:25 PM ET ,,,
65,5,Sunday,10/11/2015,1:00 PM ET ,,,
66,5,Sunday,10/11/2015,1:00 PM ET ,,,
67,5,Sunday,10/11/2015,1:00 PM ET ,,,
68,5,Sunday,10/11/2015,1:00 PM ET ,,,
69,5,Sunday,10/11/2015,1:00 PM ET ,,,
70,5,Sunday,10/11/2015,1:00 PM ET ,,,
71,5,Sunday,10/11/2015,1:00 PM ET ,,,
72,5,Sunday,10/11/2015,1:00 PM ET ,,,
73,5,Sunday,10/11/2015,4:05 PM ET ,,,
74,5,Sunday,10/11/2015,4:25 PM ET ,,,
75,5,Sunday,10/11/2015,4:25 PM ET ,,,
76,5,Sunday,10/11/2015,8:30 PM ET ,,,
77,5,Monday,10/12/2015,8:30 PM ET ,,,
78,6,Thursday,10/15/2015,8:25 PM ET ,,,
79,6,Sunday,10/18/2015,1:00 PM ET ,,,
80,6,Sunday,10/18/2015,1:00 PM ET ,,,
81,6,Sunday,10/18/2015,1:00 PM ET ,,,
82,6,Sunday,10/18/2015,1:00 PM ET ,,,
83,6,Sunday,10/18/2015,1:00 PM ET ,,,
84,6,Sunday,10/18/2015,1:00 PM ET ,,,
85,6,Sunday,10/18/2015,1:00 PM ET ,,,
86,6,Sunday,10/18/2015,1:00 PM ET ,,,
87,6,Sunday,10/18/2015,4:05 PM ET ,,,
88,6,Sunday,10/18/2015,4:25 PM ET ,,,
89,6,Sunday,10/18/2015,4:25 PM ET ,,,
90,6,Sunday,10/18/2015,8:30 PM ET ,,,
91,6,Monday,10/19/2015,8:30 PM ET ,,,
92,7,Thursday,10/22/2015,8:25 PM ET ,,,
93,7,Sunday,10/25/2015,9:30 AM ET ,,,
94,7,Sunday,10/25/2015,1:00 PM ET ,,,
95,7,Sunday,10/25/2015,1:00 PM ET ,,,
96,7,Sunday,10/25/2015,1:00 PM ET ,,,
97,7,Sunday,10/25/2015,1:00 PM ET ,,,
98,7,Sunday,10/25/2015,1:00 PM ET ,,,
99,7,Sunday,10/25/2015,1:00 PM ET ,,,
100,7,Sunday,10/25/2015,1:00 PM ET ,,,
101,7,Sunday,10/25/2015,1:00 PM ET ,,,
102,7,Sunday,10/25/2015,4:05 PM ET ,,,
103,7,Sunday,10/25/2015,4:25 PM ET ,,,
104,7,Sunday,10/25/2015,8:30 PM ET ,,,
105,7,Monday,10/26/2015,8:30 PM ET ,,,
106,8,Thursday,10/29/2015,8:25 PM ET ,,,
107,8,Sunday,11/1/2015,9:30 AM ET ,,,
108,8,Sunday,11/1/2015,1:00 PM ET ,,,
109,8,Sunday,11/1/2015,1:00 PM ET ,,,
110,8,Sunday,11/1/2015,1:00 PM ET ,,,
111,8,Sunday,11/1/2015,1:00 PM ET ,,,
112,8,Sunday,11/1/2015,1:00 PM ET ,,,
113,8,Sunday,11/1/2015,1:00 PM ET ,,,
114,8,Sunday,11/1/2015,1:00 PM ET ,,,
115,8,Sunday,11/1/2015,1:00 PM ET ,,,
116,8,Sunday,11/1/2015,4:05 PM ET ,,,
117,8,Sunday,11/1/2015,4:25 PM ET ,,,
118,8,Sunday,11/1/2015,8:30 PM ET ,,,
119,8,Monday,11/2/2015,8:30 PM ET ,,,
120,9,Thursday,11/5/2015,8:25 PM ET ,,,
121,9,Sunday,11/8/2015,1:00 PM ET ,,,
122,9,Sunday,11/8/2015,1:00 PM ET ,,,
123,9,Sunday,11/8/2015,1:00 PM ET ,,,
124,9,Sunday,11/8/2015,1:00 PM ET ,,,
125,9,Sunday,11/8/2015,1:00 PM ET ,,,
126,9,Sunday,11/8/2015,1:00 PM ET ,,,
127,9,Sunday,11/8/2015,1:00 PM ET ,,,
128,9,Sunday,11/8/2015,4:05 PM ET ,,,
129,9,Sunday,11/8/2015,4:05 PM ET ,,,
130,9,Sunday,11/8/2015,4:25 PM ET ,,,
131,9,Sunday,11/8/2015,8:30 PM ET ,,,
132,9,Monday,11/9/2015,8:30 PM ET ,,,
133,10,Thursday,11/12/2015,8:25 PM ET ,,,
134,10,Sunday,11/15/2015,1:00 PM ET ,,,
135,10,Sunday,11/15/2015,1:00 PM ET ,,,
136,10,Sunday,11/15/2015,1:00 PM ET ,,,
