id,Name,Division,StadiumID
0,Patriots,AFC East,
0,Bears,NFC North,
0,Texans,AFC South,
0,Jets,AFC East,
0,Bills,AFC East,
0,Redskins,NFC East,
0,Jaguars,AFC South,
0,Rams,NFC West,
0,Cardinals,NFC West,
0,Chargers,AFC West,
0,Buccaneers,NFC South,
0,Raiders,AFC West,
0,Broncos,AFC West,
0,Cowboys,NFC East,
0,Falcons,NFC South,
0,49ers,NFC West,
0,Chiefs,AFC West,
0,Panthers,NFC South,
0,Steelers,AFC North,
0,Saints,NFC South,
0,Vikings,NFC North,
0,Bears,NFC North,
0,Bills,AFC East,
0,Bengals,AFC North,
0,Browns,AFC North,
0,Giants,NFC East,
0,Redskins,NFC East,
0,Jaguars,AFC South,
0,Raiders,AFC West,
0,Eagles,NFC East,
0,Packers,NFC North,
0,Colts,AFC South,
0,Giants,NFC East,
0,Cowboys,NFC East,
0,Titans,AFC South,
0,Browns,AFC North,
0,Ravens,AFC North,
0,Patriots,AFC East,
0,Panthers,NFC South,
0,Jets,AFC East,
0,Texans,AFC South,
0,Vikings,NFC North,
0,Rams,NFC West,
0,Cardinals,NFC West,
0,Dolphins,AFC East,
0,Seahawks,NFC West,
0,Lions,NFC North,
0,Packers,NFC North,
0,Steelers,AFC North,
0,Dolphins,AFC East,
0,Colts,AFC South,
0,Bills,AFC East,
0,Buccaneers,NFC South,
0,Redskins,NFC East,
0,Bears,NFC North,
0,Falcons,NFC South,
0,Bengals,AFC North,
0,Chargers,AFC West,
0,49ers,NFC West,
0,Cardinals,NFC West,
0,Broncos,AFC West,
0,Saints,NFC South,
0,Seahawks,NFC West,
0,Texans,AFC South,
0,Chiefs,AFC West,
0,Bengals,AFC North,
0,Falcons,NFC South,
0,Buccaneers,NFC South,
0,Eagles,NFC East,
0,Ravens,AFC North,
0,Packers,NFC North,
0,Titans,AFC South,
0,Lions,NFC North,
0,Cowboys,NFC East,
0,Raiders,AFC West,
0,Giants,NFC East,
0,Chargers,AFC West,
0,Saints,NFC South,
0,Jets,AFC East,
0,Steelers,AFC North,
0,Vikings,NFC North,
0,Bills,AFC East,
0,Lions,NFC North,
0,Browns,AFC North,
0,Jaguars,AFC South,
0,Titans,AFC South,
0,Seahawks,NFC West,
0,Packers,NFC North,
0,49ers,NFC West,
0,Colts,AFC South,
0,Eagles,NFC East,
0,49ers,NFC West,
0,Jaguars,AFC South,
0,Redskins,NFC East,
0,Titans,AFC South,
0,Colts,AFC South,
0,Lions,NFC North,
0,Chiefs,AFC West,
0,Rams,NFC West,
0,Dolphins,AFC East,
0,Patriots,AFC East,
0,Chargers,AFC West,
0,Giants,NFC East,
0,Panthers,NFC South,
0,Cardinals,NFC West,
0,Patriots,AFC East,
0,Chiefs,AFC West,
0,Falcons,NFC South,
0,Browns,AFC North,
0,Rams,NFC West,
0,Saints,NFC South,
0,Bears,NFC North,
0,Ravens,AFC North,
0,Steelers,AFC North,
0,Texans,AFC South,
0,Raiders,AFC West,
0,Cowboys,NFC East,
0,Broncos,AFC West,
0,Panthers,NFC South,
0,Bengals,AFC North,
0,Panthers,NFC South,
0,Patriots,AFC East,
0,Saints,NFC South,
0,Bills,AFC East,
0,Vikings,NFC North,
