id,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,OTHER
1,,,,,N
2,,,,,N
3,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=170,N
4,I P M,206-254-0811,,http://www.ipmseattle.com/locations/lot.asp?id=463,N
5,,,,,N
6,Merchants Parking/Transia,,,,N
7,,,,,N
8,AMPCO,,,,N
9,,,,,N
10,,,,,N
11,,,,,N
12,,,,,N
13,,,,,N
14,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
15,,,,,N
16,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
17,,,,,N
18,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
19,AMPCO,206-405-2655,,http://www.pacificplaceseattle.com/parking.aspx,N
20,,,,,N
21,,,,,N
22,,,,,Y
23,Standard,(206) 623-1279,,http://www.standardparkingnw.com/locations/lot.asp?id=79,N
24,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
25,,,,,N
26,Central,(206) 386-2230,,http://www.parking.com/,N
27,,,,,N
28,,,,,N
29,,,,,Y
30,,,,,Y
31,,,,,Y
32,,,,,N
33,,,,,N
34,,,,,N
35,,,,,N
36,,,,,N
37,Central,(206) 386-2235,,http://www.parking.com/,N
38,International,,,http://www.ipmseattle.com/locations.htm,N
39,,,,,Y
40,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=22,N
41,,,,,Y
42,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
43,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=155,N
44,,,,,N
45,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
46,Central,(206) 386-2235,,http://www.parking.com/,N
47,,,,,N
48,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
49,,,,,N
50,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
51,,,,,N
52,,,,,N
53,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
54,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
55,,,,,Y
56,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
57,,,,,N
58,Central,(206) 624-1755,,http://www.parking.com/,N
59,Merchants Parking/Transia,,,,N
60,,,,,Y
61,International,,,http://www.ipmseattle.com/locations.htm,N
62,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
63,,,,,N
64,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
65,,,,,N
66,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
67,,,,,Y
68,AMPCO,,,,N
69,,,,,N
70,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
71,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
72,,,,,N
73,Central,(206) 624-1755,,http://www.parking.com/,N
74,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
75,,,,,N
76,,,,,N
77,,,,,N
78,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
79,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
80,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
81,,,,,N
82,,,,,N
83,UDPA,,,,N
84,Central,(206) 386-2235,,http://www.parking.com/,N
85,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
86,Central,(206) 384-5054,,http://www.parking.com/,N
87,,,,,N
88,,,,,N
89,,,,,N
90,,,,,N
91,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
92,,,,,N
93,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
94,,,,,
95,Standard,(206) 623-3405,,http://www.standardparkingnw.com/locations/lot.asp?id=177,N
96,,,,,N
97,,,,,N
98,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
99,,,,,N
100,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=25,Y
101,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=105,N
102,,,,,N
103,Standard,(206) 545-9401,,http://www.standardparkingnw.com/locations/lot.asp?id=46,N
104,Standard,(206) 545-9401,,http://www.standardparkingnw.com/locations/lot.asp?id=47,N
105,,,,,N
106,,,,,N
107,,,,,N
108,,,,,N
109,,,,,N
110,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=73,N
111,,,,,N
112,,,,,N
113,,,,,N
114,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
115,Central,(206) 386-2235,,http://www.parking.com/,N
116,,,,,N
117,,,,,N
118,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
119,,,,,N
120,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=33,N
121,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
122,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
123,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
124,Standard,(206) 447-5664,,http://www.standardparkingnw.com/locations/lot.asp?id=106,N
125,,,,,N
126,,,,,N
127,,,,,N
128,,,,,Y
129,,,,,Y
130,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
131,,,,,N
132,,,,,N
133,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
134,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
135,,,,,N
136,,,,,N
137,,,,,N
138,,,,,Y
139,Butler Parking,(206) 624-7168,,,Y
140,Standard,(206) 622-3813,,http://www.standardparkingnw.com/locations/lot.asp?id=80,N
141,,,,,Y
142,United Parking Services,,,,N
143,,,,,N
144,,,,,Y
145,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
146,,,,,N
147,,,,,N
148,,,,,N
149,,,,,N
150,,,,,N
151,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
152,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
153,,,,,N
154,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
155,Standard,(206) 623-2727 EXT 225,,http://www.standardparkingnw.com/locations/lot.asp?id=178,N
156,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=176,N
157,,,,,N
158,,,,,N
159,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=3,N
160,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=84,N
161,Standard,(206) 467-1810,,http://www.standardparkingnw.com/locations/lot.asp?id=183,N
162,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=55,N
163,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=35,N
164,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
165,,,,,N
166,,,,,N
167,Standard,(206) 623-2727 EXT 225,,http://www.standardparkingnw.com/locations/lot.asp?id=185,N
168,Standard,(206) 624-7040,,http://www.standardparkingnw.com/locations/lot.asp?id=184,N
169,,,,,N
170,,,,,N
171,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
172,U-Park System,,,http://www.u-parksystem.com/locations/,N
173,,,,,N
174,Central,(206) 386-2235,,http://www.parking.com/,N
175,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
176,,,,,N
177,,206-694-5000,,http://www.wsctc.com/about_us/directions_parking.aspx,N
178,,,,,N
179,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
180,,,,,N
181,,,,,N
182,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
183,Standard,(206) 623-8572,,http://www.standardparkingnw.com/locations/,N
184,,,,,N
185,Chinook Parking LLC,(206) 447-3352,,,N
186,,,,,N
187,,,,,N
188,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
189,,,,,N
190,,,,,N
191,PIKE PLACE MARKET,206-774-5242,,http://www.pikeplacemarket.org/visitor_info/parking,N
192,,,,,N
193,,,,,N
194,,,,,Y
195,,,,,N
196,,,,,N
197,,,,,Y
198,United Parking Services,,,,N
199,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=9,N
200,,,,,N
201,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=156,N
202,Standard,(206) 442-4337,,http://www.standardparkingnw.com/locations/lot.asp?id=50,N
203,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
204,,,,,N
205,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
206,,,,,N
207,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
208,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
209,,,,,Y
210,,,,,N
211,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
212,,,,,N
213,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
214,,,,,N
215,UDPA,,,,N
216,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
217,International,,,http://www.ipmseattle.com/locations.htm,N
218,,,,,N
219,United Parking Services,,,,N
220,Standard,(206) 652-0849,,http://www.standardparkingnw.com/locations/lot.asp?id=76,N
221,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
222,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
223,Standard,(206) 624-7040,,http://www.standardparkingnw.com/locations/lot.asp?id=77,N
224,,,,,N
225,,,,,N
226,,,,,N
227,International,,,http://www.ipmseattle.com/locations.htm,N
228,,,,,N
229,Standard,(206) 623-8572,,http://www.standardparkingnw.com/locations/lot.asp?id=111,N
230,Central,(206) 386-2230,,http://www.parking.com/,N
231,,,,,N
232,,,,,N
233,,,,,N
234,,,,,Y
235,,,,,N
236,,206-694-5000,,http://www.wsctc.com/about_us/directions_parking.aspx,N
237,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
238,,,,,N
239,,,,,N
240,,,,,N
241,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
242,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
243,United Parking Services,,,https://secure.diamondparking.com/monthlyParking/location.aspx?id=239,N
244,,,,,N
245,UDPA,,,,N
246,,,,,N
247,,,,,N
248,,,,,N
249,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
250,,,,,N
251,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
252,,,,,N
253,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=66,Y
254,,,,,Y
255,,,,,N
256,,,,,N
257,,,,,N
258,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/,N
259,IMPARK,,,http://www2.impark.com/Pages/default.aspx?lang=en&region=seattle,N
260,,,,,N
261,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
262,,,,,N
263,,,,,N
264,,,,,Y
265,,,,,N
266,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/,Y
267,,,,,N
268,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
269,,,,,N
270,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
271,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
272,,,,,N
273,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=189,N
274,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
275,,,,,Y
276,,,,,N
277,,,,,N
278,,,,,N
279,,,,,N
280,Republic Parking,(206) 783-4144,,,N
281,,,,,N
282,,,,,N
283,,,,,N
284,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
285,,,,,N
286,,,,,N
287,,,,,N
288,,,,,N
289,AMPCO,(206) 652-0416?,,,N
290,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
291,,,,,Y
292,Central,,,http://www.parking.com/,N
293,,,,,N
294,United Parking Services,,,,N
295,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=169,N
296,,,,,N
297,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
298,,,,,N
299,Standard,(206) 623-8572,,http://www.standardparkingnw.com/locations/lot.asp?id=110,N
300,,,,,N
301,United Parking Services,,,,N
302,,,,,N
303,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=10,Y
304,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
305,,,,,N
306,,,,,N
307,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=12,N
308,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
309,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
310,,,,,N
311,,,,,N
312,AMPCO,(206) 386-4152,,,N
313,Merchants Parking/Transia,,,,N
314,,,,,
315,,,,,Y
316,,,,,N
317,,,,,Y
318,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
319,Merchants Parking/Transia,,,,N
320,,,,,N
321,,,,,N
322,,,,,N
323,Butler Parking,(206) 622-4367?,,,N
324,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
325,,,,,N
326,,,,,N
327,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
328,Seattle Center,,,http://seattlecenter.com/transportation/parking/,N
329,,,,,N
330,,,,,N
331,I P M,206-254-0811,,http://www.ipmseattle.com/locations.htm,N
332,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
333,Diamond,,,http://diamondparking.com/locations/washington.aspx,N
334,Merchants Parking/Transia,,,,N
335,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
336,,,,,N
337,,,,http://www.rpnw.com/seattle/locations/default.asp,N
338,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,N
339,,,,,N
340,,,,,N
341,United Parking Services,,,,N
342,,,,,N
343,U-Park System,,,http://www.u-parksystem.com/locations/,N
344,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=48,N
345,Pacific Parking,,,,N
346,U-Park System,(206) 284-9797,,http://www.u-parksystem.com/locations/,N
347,,,,,N
348,,,,,N
349,,,,,
