OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,Communication_id,Webname_id,Hours_id,Rate_id,Type_id
4834,513317,"801 E THOMAS ST, SEATTLE, WA   98102",27,,1,1,1,1,1
4835,646189,"200 TAYLOR AV N, SEATTLE, WA   98109",102,,2,2,2,2,2
4836,633166,"120 WESTLAKE AV N, SEATTLE, WA   98109",19,Rollin Street,3,3,3,3,3
4837,533688,"1000 OCCIDENTAL AV S, SEATTLE, WA   98104",2050,Stadium Exhibition Center Garage,4,4,4,4,4
4838,609170,"1018 E SENECA ST, SEATTLE, WA   98122",19,,5,5,5,5,5
4839,17646,"214 5TH AV S, SEATTLE, WA   98104",36,Merchants Parking,6,6,6,6,6
4840,644072,"809 OLIVE WY, SEATTLE, WA   98101",44,,7,7,7,7,7
4841,12214,"200 2ND AV N, SEATTLE, WA   98109",169,,8,8,8,8,8
4842,645767,"901 8TH AV, SEATTLE, WA   98104",8,,9,9,9,9,9
4843,645733,"901 DEXTER AV N, SEATTLE, WA   98109",43,,10,10,10,10,10
4844,595104,"1416 2ND AV, SEATTLE, WA   98101",53,,11,11,11,11,11
4845,646190,"910 8TH AV, SEATTLE, WA 98104",210,,12,12,12,12,12
4846,17652,"624 S DEARBORN ST, SEATTLE, WA   98104",10,,13,13,13,13,13
4847,625102,"401 QUEEN ANNE AV N, SEATTLE, WA   98109",27,,14,14,14,14,14
4848,530468,"1918 3RD AV, SEATTLE, WA   98101",312,,15,15,15,15,15
5121,564866,"1730 MINOR AV, SEATTLE, WA   98101",287,,16,16,16,16,16
5122,618375,"999 3RD AV, SEATTLE, WA 98104",680,,17,17,17,17,17
5123,2000026,,75,STADIUM PLACE,18,18,18,18,18
5124,2000005,,1130,PACIFIC PLACE,19,19,19,19,19
5125,637241,"620 N 34TH ST, SEATTLE, WA   98103",95,,20,20,20,20,20
5126,635173,"1058 E MERCER ST, SEATTLE, WA   98102",57,,21,21,21,21,21
5127,58064,"1038 ELLIOTT AV W, SEATTLE, WA   98119",10,,22,22,22,22,22
5128,611425,"320 WESTLAKE AV N, SEATTLE, WA   98109",452,Westlake and Terry,23,23,23,23,23
5129,640019,"411 PONTIUS AV N, SEATTLE, WA 98109",10,,24,24,24,24,24
5130,635360,"2237 NW 57TH ST, SEATTLE, WA   98107",45,,25,25,25,25,25
5131,508955,"600 BROADWAY, SEATTLE, WA   98122",189,600 Broadway Bg,26,26,26,26,26
5132,616848,"2300 6TH AV, SEATTLE, WA   98121",28,,27,27,27,27,27
5133,594278,"105 BLANCHARD ST, SEATTLE, WA   98121",12,,28,28,28,28,28
5134,78078,"1964 4TH AV S, SEATTLE, WA   98134",95,,29,29,29,29,29
5135,135183,"2605 22ND AV E, SEATTLE, WA   98112",46,,30,30,30,30,30
5136,4850,"2230 4TH AV S, SEATTLE, WA 98134",113,,31,31,31,31,31
5137,593910,"1001 E PINE ST, SEATTLE, WA   98122",32,,32,32,32,32,32
5138,636326,"1531 UTAH AV S, SEATTLE, WA   98134",220,,33,33,33,33,33
5139,546764,"614 MAYNARD AV S, SEATTLE, WA   98104",34,,34,34,34,34,34
5140,645751,"2811 E MADISON ST, SEATTLE, WA   98112",10,,35,35,35,35,35
5141,76145,"1218 3RD AV, SEATTLE, WA   98101",63,,36,36,36,36,36
5142,552881,"747 BROADWAY, SEATTLE, WA   98122",540,Broadway Garage,37,37,37,37,37
5143,627841,"1420 10TH AV, SEATTLE, WA   98122",60,Lot 21,38,38,38,38,38
5144,537050,"2801 ALASKAN WY, SEATTLE, WA   98121",112,,39,39,39,39,39
5145,602987,"525 DEXTER AV N, SEATTLE, WA   98109",16,Bozotronics Lot,40,40,40,40,40
5146,645295,"211 LENORA ST, SEATTLE, WA   98121",102,,41,41,41,41,41
5147,4533,"710 4TH AV N, SEATTLE, WA   98109",47,Seattle Center Lot #28,42,42,42,42,42
5148,625019,"1101 NE BOAT ST, SEATTLE, WA   98105",107,Boat Street Marina #81585,43,43,43,43,43
5149,1784,"1763 4TH AV S, SEATTLE, WA   98134",36,,44,44,44,44,44
5150,4516,"4228 ROOSEVELT WY NE, SEATTLE, WA   98105",295,U District Lot #11,45,45,45,45,45
5151,552889,"5300 TALLMAN AV NW, SEATTLE, WA   98107",459,Ballard Garage,46,46,46,46,46
5152,645731,"1000 6TH AV S, SEATTLE, WA   98134",45,,47,47,47,47,47
5153,639858,"333 TAYLOR AV N, SEATTLE, WA   98109",21,,48,48,48,48,48
