id,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,PAYMENT_TYPE
1,4,4,,6,
2,,,,,
3,1,3,,15,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,6,8,,25,
16,11.75,13.75,,21.75,
17,,,,,
18,3,6,9,,
19,5,7,9,,
20,,,,,
21,,,,,
22,,,,,
23,4,6,,21,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,9,9,,9,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,5,9,,25,
37,,,,,
38,5,7,,,
39,,,,,
40,Permit only,Permit only,,Permit only,
41,,,,,
42,5,5,,10,
43,,,,,
44,,,,,
45,3,3,,6,
46,,,,,
47,,,,,
48,,,,,
49,5,10,,15,
50,7,7,,15,
51,,,,,
52,,,,,
53,3.25,5.5,,10,
54,,,,,
55,,,,,
56,,,,,
57,5,5,,17,
58,7,17,,34,
59,,,,,
60,,,,,
61,,,,6,
62,5,5,,7,
63,,,,,
64,3,6,,12,
65,5,5,,17,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,9,9,,18,
71,5,5,,8,
72,2,4,,12,
73,9.9,11.3,,18.7,
74,8,8,,30,
75,2,4,,15,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,5,5,,5,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,5,5,,17,
94,,,,,
95,Permit only,Permit only,Permit only,Permit only,
96,,,,,
97,3,6,,21,
98,3,3,,10,
99,,,,,
100,Permit only,Permit only,,Permit only,
101,,,,,
102,,,,,
103,5,9,,12,
104,6,7,,12,
105,,,,,
106,5,8,,15,
107,,,,,
108,,,,,
109,,,,,
110,3,3,,10,
111,,,,,
112,,,,,
113,,,,,
114,5,5,,20,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,7,11,,21,
120,3,3,,10,
121,,,,,
122,5,5,,10,
123,,,,,
124,8,14,,28,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,11.75,13.75,,21.75,
133,4,4,,12,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,8,12,,24,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,2,2,,15,
147,,,,,
148,5,5,,10,
149,,,,,
150,,,,,
151,4,11.5,,25,
152,,,,,
153,5,5,,17,
154,,,,,
155,Permit only,Permit only,Permit only,Permit only,
156,Permit only,Permit only,Permit only,Permit only,
157,,,,,
158,,,,,
159,4.9,14.65,14.65,14.65,
160,4.9,14.65,14.65,14.65,
161,Permit only,Permit only,Permit only,Permit only,
162,7,10,10,10,
163,3,10,10,10,
164,,,,,
165,,,,,
166,,,,,
167,Permit only,Permit only,Permit only,Permit only,
168,Permit only,Permit only,Permit only,Permit only,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,5,5,,17,
176,,,,,
177,,,,,
178,6,6,,22,
179,6,6,,12,
180,,,,,
181,,,,,
182,,,,,
183,,8,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,9,18,,24,
189,,,,,
190,,,,,
191,4,8,,,
192,5,5,,9,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,Permit only,Permit only,,Permit only,
200,8,12,,26,
201,18,18,,Up to 4 hours only,
202,8,14,,30,
203,,,,,
204,2,2,,4,
205,,,,,
206,,,,,
207,,,,,
208,5,5,,7,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,7.5,15,,,
218,5,5,,12,
219,,,,,
220,,,,,
221,5,5,,10,
222,,,,,
223,8,11.5,,28,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,2,4,,13,
229,9,12,,35,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,5,5,,17,
238,2,4,,18,
239,,,,,
240,,,,,
241,9.5,14.5,,23,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,3,3,,7,
247,,,,,
248,,,,,
249,,,,,
250,2,2,,2,
251,,,,,
252,,,,,
253,Permit only,Permit only,,Permit only,
254,,,,,
255,,,,,
256,5,10,,24,
257,,,,,
258,,,,,
259,2,2,,17,
260,,,,,
261,5,5,,10,
262,,,,,
263,5,5,,17,
264,,,,,
265,,,,,
266,Monthly only,Monthly only,,Monthly only,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,5,5,,10,
272,,,,,
273,2,2,,2,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,GARAGE,6,,,
281,,,,,
282,,,,,
283,3,5.5,,14.25,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,3,3,,5,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,1,3,,15,
296,,,,,
297,,,,,
298,,,,,
299,9,15,,35,
300,6,10,,20,
301,,,,,
302,,,,,
303,3,3,,8,
304,,,,,
305,,,,,
306,,,,,
307,4.9,4.9,,22,
308,7,7,,15,
309,,,,,
310,,,,,
311,,,,,
312,9,13,,27,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,6,8,,18,
325,1,2,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,6,,12,
332,10,10,,20,
333,,,,,
334,,,,,
335,6,6,,9,
336,,,,,
337,14.5,20,,,
338,8,11,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,3,3,,15,
345,SURFACE LOT,,,,
346,7,7,,10,
347,8,8,,20,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,5,5,,12,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,3,3,,10,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,7,7,,12,
367,,,,,
368,,,,,
369,,,,,
370,Permit only,Permit only,,Permit only,
371,,,,,
372,5,5,,7,
373,SURFACE LOT,,,,
374,,,,,
375,4,10,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,8,11,,24,
383,,,,,
384,,,,,
385,,,,,
386,SURFACE LOT,,,,
387,6,6,,10,
388,7,7,,12,
389,,,,,
390,,,,,
391,,5,,10,
392,11.75,13.75,,21.75,
393,,,,,
394,,,,,
395,,,,,
396,9,12,,31,
397,,,,,
398,,,,,
399,2,2,,5,
400,13,20,,31,
401,6,6,,16,
402,,,,,
403,5,5,,17,
404,,,,,
405,,,,,
406,,,,,
407,5,5,,17,
408,,,,,
409,,,,,
410,,,,,
411,8,8,,15,
412,8,8,,20,
413,11,16,,23,
414,,,,,
415,Permit only,Permit only,,Permit only,
416,11,14,,37,
417,,,,18,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,3,9,,18,
423,7,12,,24,
424,6,10,,20,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,5,7,,11,
433,,,,,
434,,,,,
435,10,14,,21,
436,,,,,
437,,,,,
438,,,,,
439,8,14,,23,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,5,5,,17,
447,10,17,22,33,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,18,24,,36,
453,8,8,,16,
454,,,,,
455,,,,,
456,5,7,,16,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,9,12,,24,
465,4,7,,20,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,3,3,,8,
480,,,,,
481,,,,,
482,4,4,,7,
483,,,,,
484,,,,,
485,3,3,,10,
486,8.00,10.25,,24.75,
487,7,9,,28,
488,,,,,
489,6,6,,10,
490,7,7,,15,
491,5,5,,12,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,11,14,,30,
498,,,,,
499,9.5,9.5,,16.5,
500,,,,,
501,Permit only,Permit only,Permit only,Permit only,
502,4.9,9.8,12.2,14.65,
503,Permit only,Permit only,Permit only,Permit only,
504,4.5,6.5,,13.5,
505,,,,,
506,,,,,
507,7,10,,18,
508,5,11,,19,
509,10,12,,26,
510,,,,,
511,,,,,
512,,,,,
513,9,12,,28,
514,5,5,,17,
515,,,,,
516,Event only,Event only,,Event only,
517,,,,,
518,,,,,
519,,,,,
520,,,,,
521,,,,,
522,,,,,
523,,,,,
524,5,5,,17,
525,5,7,,,
526,5,5,,,
527,16,19,,38,
528,,,,,
529,,,,,
530,5,5,,8,
531,,,,,
532,,,,,
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,4.9,4.9,,14.65,
553,,,,,
554,4,8,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,6,6,,9,
560,5,5,,17,
561,6,6,,10,
562,,,,,
563,,,,,
564,,,,,
565,7,7,,15,
566,6,8,,25,
567,,,,,
568,,,,,
569,,,,,
570,5,8,,15,
571,,,,,
572,4,5,,20,
573,5,5,,17,
574,2,2,,4,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,,,,,
583,5,5,,10,
584,5,5,,17,
585,6,6,,14,
586,,,,,
587,5,5,,10,
588,10,15,,,
589,,,,,
590,free,2,,12,
591,,,,,
592,,,,,
593,6,6,,16,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,5,5,,10,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,11.95,15.53,,20.32,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,5,5,,7,
610,,,,,
611,5,5,,,
612,,,,,
613,,,,,
614,,,,,
615,10,19,,33,
616,9,12,,35,
617,,,,,
618,12,12,,25,
619,,,,,
620,7,7,,12,
621,,,,,
622,,,,,
623,,,,,
624,Permit only,Permit only,,Permit only,
625,,,,,
626,,,,,
627,3,6,,22,
628,,,,,
629,3,3,,8,
630,,,,,
631,7.00,10.00,,35.00,
632,,,,,
633,,,,,
634,6,6,,9,
635,,,,,
636,,,,,
637,,,,,
638,5,5,,17,
639,2,2,,6,
640,5,12,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,3.7,3.7,,12.2,
649,,,,,
650,9,9,,15,
651,,,,,
652,,,,,
653,4.9,6.1,,6.1,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,1,2,,,
662,,,,,
663,,,,,
664,8,11,,24,
665,,,,,
666,5,5,,12,
667,,,,,
668,5,5,,17,
669,,,,,
670,,,,,
671,6,9,,39,
672,,,,,
673,,,,,
674,5,5,,8,
675,6,12,,24,
676,3.7,3.7,,12.2,
677,8,8,,20,
678,,,,,
679,,,,,
680,9,12,,24,
681,5,8,,14,
682,,,,,
683,5.02,10.04,,,
684,5,5,,8,
685,8,12,,24,
686,,,,,
