id,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME
1,KEY PARK NORTHWEST,0,,,,['DATETIME']
2,IMPARK,0,,,,['DATETIME']
3,ROLLIN ST LOT,0,,,,['DATETIME']
4,STADIUM/EXHIBITION CENTER GARAGE,0,,,,['DATETIME']
5,DIAMOND,0,,,,['DATETIME']
6,AMAZON PHASE 1B #81866,0,,,,['DATETIME']
7,UNITED,0,,,,['DATETIME']
8,AMPCO,0,,,,['DATETIME']
9,DIAMOND,0,,,,['DATETIME']
10,DIAMOND,0,,,,['DATETIME']
11,DIAMOND,0,,,,['DATETIME']
12,IMPARK,0,,,,['DATETIME']
13,MERCHANTS PARKING ASSOC,0,,,,['DATETIME']
14,DIAMOND,0,,,,['DATETIME']
15,IMPARK,0,,,,['DATETIME']
16,REPUBLIC,0,,,,['DATETIME']
17,999 THIRD AVENUE,0,,,,['DATETIME']
18,STADIUM PLACE,17,Y,62,62,['DATETIME']
19,PACIFIC PLACE,5,N,940,OPEN,['DATETIME']
20,DIAMOND,0,,,,['DATETIME']
21,DIAMOND,0,,,,['DATETIME']
22,WILSON MACHINE WORKS,0,,,,['DATETIME']
23,WESTLAKE & TERRY GARAGE,0,,,,['DATETIME']
24,DIAMOND,0,,,,['DATETIME']
25,DIAMOND,0,,,,['DATETIME']
26,CPS - 600 BROADWAY,0,,,,['DATETIME']
27,6TH & BELL,0,,,,['DATETIME']
28,KEY PARK NORTHWEST,0,,,,['DATETIME']
29,CLOTHIER T & CLOTHIER R III,0,,,,['DATETIME']
30,HOP IN GROCERY MONTLAKE,0,,,,['DATETIME']
31,PACIFIC IRON & METAL,0,,,,['DATETIME']
32,DIAMOND,0,,,,['DATETIME']
33,IPM,0,,,,['DATETIME']
34,DIAMOND,0,,,,['DATETIME']
35,DIAMOND,0,,,,['DATETIME']
36,REPUBLIC,0,,,,['DATETIME']
37,CPS - BROADWAY GARAGE,0,,,,['DATETIME']
38,IPM,0,,,,['DATETIME']
39,,0,,,,['DATETIME']
40,523 DEXTER AV N,0,,,,['DATETIME']
41,,0,,,,['DATETIME']
42,U-PARK,0,,,,['DATETIME']
43,BOAT STREET MARINA - LOT,0,,,,['DATETIME']
44,DIAMOND,0,,,,['DATETIME']
45,U-PARK,0,,,,['DATETIME']
46,CPS - BALLARD GARAGE,0,,,,['DATETIME']
47,DIAMOND,0,,,,['DATETIME']
48,REPUBLIC ADLER LOT,0,,,,['DATETIME']
49,REPUBLIC - PIER 91,0,,,,['DATETIME']
50,U-PARK,0,,,,['DATETIME']
51,DIAMOND,0,,,,['DATETIME']
52,DIAMOND,0,,,,['DATETIME']
53,REPUBLIC,0,,,,['DATETIME']
54,DIAMOND,0,,,,['DATETIME']
55,,0,,,,['DATETIME']
56,U-PARK,0,,,,['DATETIME']
57,IMPARK,0,,,,['DATETIME']
58,CPS - 1111 3RD AVE,0,,,,['DATETIME']
59,MERCHANTS PARKING ASSOC,0,,,,['DATETIME']
60,JOHN'S,0,,,,['DATETIME']
61,IPM - HOMEPLATE,0,,,,['DATETIME']
62,U-PARK,0,,,,['DATETIME']
63,DIAMOND,0,,,,['DATETIME']
64,REPUBLIC,0,,,,['DATETIME']
65,IMPARK,0,,,,['DATETIME']
66,DIAMOND,0,,,,['DATETIME']
67,,0,,,,['DATETIME']
68,AMPCO,0,,,,['DATETIME']
69,DIAMOND,0,,,,['DATETIME']
70,REPUBLIC,0,,,,['DATETIME']
71,U-PARK,0,,,,['DATETIME']
72,REPUBLIC - PIER 66,0,,,,['DATETIME']
73,1ST & COLUMBIA GARAGE,15,Y,158,,['DATETIME']
74,IMPARK,0,,,,['DATETIME']
75,IMPARK,0,,,,['DATETIME']
76,DIAMOND,0,,,,['DATETIME']
77,DIAMOND,0,,,,['DATETIME']
78,DIAMOND,0,,,,['DATETIME']
79,DIAMOND,0,,,,['DATETIME']
80,U-PARK,0,,,,['DATETIME']
81,DIAMOND,0,,,,['DATETIME']
82,DIAMOND,0,,,,['DATETIME']
83,U-DISTRICT PARKING LOT,0,,,,['DATETIME']
84,CPS - SWEDISH ORTHOPEDIC INSITUTE,0,,,,['DATETIME']
85,U-PARK,0,,,,['DATETIME']
86,CPS - CHERRY HILL,0,,,,['DATETIME']
87,DIAMOND,0,,,,['DATETIME']
88,DIAMOND,0,,,,['DATETIME']
89,DIAMOND,0,,,,['DATETIME']
90,REPUBLIC,0,,,,['DATETIME']
91,U-PARK,0,,,,['DATETIME']
92,DIAMOND,0,,,,['DATETIME']
93,IMPARK,0,,,,['DATETIME']
94,,,,,,['DATETIME']
95,Standard,,,,,['DATETIME']
96,WEST SEATTLE JUNCTION ASSOCIATION,0,,,,['DATETIME']
97,IMPARK,0,,,,['DATETIME']
98,U-PARK,0,,,,['DATETIME']
99,DIAMOND,0,,,,['DATETIME']
100,TRICK & MURRAY LOT,0,,,,['DATETIME']
101,BANK OF AMERICA - EAST MADISON,0,,,,['DATETIME']
102,DIAMOND,0,,,,['DATETIME']
103,4225 ROOSEVELT WY NE GARAGE,0,,,,['DATETIME']
104,4245 ROOSEVELT WY NE GARAGE,0,,,,['DATETIME']
105,UNITED,0,,,,['DATETIME']
106,IMPARK,0,,,,['DATETIME']
107,DIAMOND,0,,,,['DATETIME']
108,DIAMOND,0,,,,['DATETIME']
109,IPM,0,,,,['DATETIME']
110,REXLAND LOT,0,,,,['DATETIME']
111,DIAMOND,0,,,,['DATETIME']
112,MERCHANTS PARKING ASSOC,0,,,,['DATETIME']
113,DIAMOND,0,,,,['DATETIME']
114,REPUBLIC,0,,,,['DATETIME']
115,CPS - MARION & MINOR,0,,,,['DATETIME']
116,DIAMOND,0,,,,['DATETIME']
117,WOODLAND PARK ZOO LOT,0,,,,['DATETIME']
118,DIAMOND,0,,,,['DATETIME']
119,REPUBLIC,0,,,,['DATETIME']
120,SEATTLE TIMES LOT,0,,,,['DATETIME']
121,DIAMOND,0,,,,['DATETIME']
122,U-PARK,0,,,,['DATETIME']
123,DIAMOND,0,,,,['DATETIME']
124,TWO UNION SQUARE,0,,,,['DATETIME']
125,DIAMOND,0,,,,['DATETIME']
126,UNITED,0,,,,['DATETIME']
127,DIAMOND,0,,,,['DATETIME']
128,CITY PRODUCE CO LLC,0,,,,['DATETIME']
129,STERNOD ENTERPRISES INC,0,,,,['DATETIME']
130,DIAMOND,0,,,,['DATETIME']
131,DIAMOND,0,,,,['DATETIME']
132,REPUBLIC,0,,,,['DATETIME']
133,REPUBLIC,0,,,,['DATETIME']
134,DIAMOND,0,,,,['DATETIME']
135,COLUMBIA CITY,0,,,,['DATETIME']
136,DIAMOND,0,,,,['DATETIME']
137,DIAMOND,0,,,,['DATETIME']
138,BUTLER,0,,,,['DATETIME']
139,BUTLER,0,,,,['DATETIME']
140,901 4TH AVENUE GARAGE,0,,,,['DATETIME']
141,EXETER HOUSE,0,,,,['DATETIME']
142,UNITED,0,,,,['DATETIME']
143,DIAMOND,0,,,,['DATETIME']
144,,0,,,,['DATETIME']
145,DIAMOND,0,,,,['DATETIME']
146,IMPARK,0,,,,['DATETIME']
147,UNITED,0,,,,['DATETIME']
148,REPUBLIC - MARS HILL CHURCH LOT,0,,,,['DATETIME']
149,REPUBLIC,0,,,,['DATETIME']
150,DIAMOND,0,,,,['DATETIME']
151,BUTLER GARAGE,12,N,174,164,['DATETIME']
152,IMPARK,0,,,,['DATETIME']
153,IMPARK,0,,,,['DATETIME']
154,U-PARK,0,,,,['DATETIME']
155,Standard,,,,,['DATETIME']
156,Standard,,,,,['DATETIME']
157,WEST SEATTLE JUNCTION ASSOCIATION,0,,,,['DATETIME']
158,WEST SEATTLE JUNCTION ASSOCIATION,0,,,,['DATETIME']
159,Standard,,,,,['DATETIME']
160,Standard,,,,,['DATETIME']
161,Standard,,,,,['DATETIME']
162,Standard,,,,,['DATETIME']
163,Standard,,,,,['DATETIME']
164,IPM,,,,,['DATETIME']
165,SEATTLE CENTER 5TH AVENUE NORTH,0,,,,['DATETIME']
166,DIAMOND,0,,,,['DATETIME']
167,Standard,,,,,['DATETIME']
168,Standard,,,,,['DATETIME']
169,DIAMOND,0,,,,['DATETIME']
170,DIAMOND,0,,,,['DATETIME']
171,DIAMOND,0,,,,['DATETIME']
172,U-PARK,0,,,,['DATETIME']
173,DIAMOND,0,,,,['DATETIME']
174,CPS - INVEX ALLEY,0,,,,['DATETIME']
175,IMPARK,0,,,,['DATETIME']
176,DIAMOND,0,,,,['DATETIME']
177,CONVENTION CENTER,4,Y,692,692,['DATETIME']
178,REPUBLIC - OLYMPIC SCULPTURE PARK,0,,,,['DATETIME']
179,REPUBLIC,0,,,,['DATETIME']
