0,,Latitude,Longitude,Application/Permit Number
1,,47.62185678,-122.30336977,6532703
2,,47.67133034,-122.38091575,6532702
3,,47.67146218,-122.38092412,6532700
4,,47.66827656,-122.399758,6532698
5,,47.63370661,-122.36471754,6532687
6,,47.6105508,-122.33467931,6532685
7,,47.71342831,-122.27705847,6532676
8,,47.67145654,-122.29931532,6532675
9,,47.58833721,-122.38669663,6532672
10,,47.58833721,-122.38669663,6532672
11,,47.58833721,-122.38669663,6532672
12,,47.52200719,-122.3900122,6532669
13,,47.66346713,-122.31388208,6532668
14,,47.66918992,-122.29706019,6532667
15,,47.66918992,-122.29706019,6532667
16,,47.66918992,-122.29706019,6532667
17,,47.56448578,-122.32485168,6532666
18,,47.56993461,-122.286955,6532663
19,,47.58453006,-122.33370999,6532659
20,,47.66962867,-122.33392603,6532658
21,,47.69004184,-122.29403746,6532656
22,,47.6143853,-122.33872658,6532649
23,,47.61732732,-122.34792455,6532647
24,,47.66158839,-122.31626136,6532648
25,,47.59731453,-122.33370217,6532645
26,,47.63519519,-122.37308453,6532642
27,,47.66409062,-122.33612329,6532633
28,,47.543649,-122.38415824,6532632
29,,47.6256928,-122.33147892,6532629
30,,47.61534104,-122.34845928,6532626
31,,47.63398567,-122.2910486,6532624
32,,47.53197266,-122.31223954,6532622
33,,47.62374357,-122.33881448,6532617
34,,47.6363452,-122.30446249,6532614
35,,47.6719246,-122.36371467,6532613
36,,47.6719246,-122.36371467,6532613
37,,47.6740112,-122.37862495,6532607
38,,47.61192997,-122.33718625,6532603
39,,47.55244767,-122.33151514,6532602
40,,47.55244767,-122.33151514,6532602
41,,47.64976539,-122.35685558,6532598
42,,47.67414015,-122.37975505,6532597
43,,47.63451652,-122.32506448,6532596
44,,47.70066655,-122.3832676,6532595
45,,47.66963325,-122.36376961,6532589
46,,47.66456148,-122.36326571,6532588
47,,47.66456148,-122.36326571,6532588
48,,47.55035135,-122.37739235,6532586
49,,47.55952853,-122.36315902,6532029
50,,47.63978692,-122.39885861,6532482
51,,47.63284285,-122.37713018,6532580
52,,47.6102272,-122.3374679,6532572
53,,47.6105508,-122.33467931,6532570
54,,47.68957039,-122.33807008,6532571
55,,47.63251875,-122.34621297,6532214
56,,47.60967252,-122.33230646,6532553
57,,47.62982557,-122.35707944,6532556
58,,47.56833173,-122.40971626,6532554
59,,47.67058029,-122.29824743,6532546
60,,47.63124949,-122.37334062,6532545
61,,47.66158733,-122.32765355,6532544
62,,47.67609599,-122.31529093,6532536
63,,47.71391139,-122.35512992,6532530
64,,47.58181846,-122.33535751,6532527
65,,47.65279577,-122.35522794,6532525
66,,47.62419713,-122.34444505,6532519
67,,47.6064911,-122.33298287,6532480
68,,47.60403796,-122.33498562,6532522
69,,47.60723772,-122.33612134,6532506
70,,47.53777454,-122.36857801,6532505
71,,47.56530761,-122.28199192,6532036
72,,47.6134532,-122.34302299,6532504
73,,47.71541512,-122.33172084,6532503
74,,47.54824602,-122.33492923,6532502
75,,47.64835029,-122.33188991,6532501
76,,47.54794823,-122.38826878,6532499
77,,47.66560431,-122.35783873,6532496
78,,47.63065134,-122.28798625,6532494
79,,47.61811095,-122.3390982,6532491
80,,47.54647192,-122.2949743,6532488
81,,47.64827306,-122.33575265,6532487
82,,47.62208508,-122.35399633,6532481
83,,47.72847814,-122.34027733,6532485
84,,47.62175658,-122.30336723,6532474
85,,47.57070622,-122.33011958,6532470
86,,47.69454874,-122.36844683,6532469
87,,47.68629018,-122.33131688,6532467
88,,47.65443126,-122.38539519,6532166
89,,47.60850802,-122.32788026,6532462
90,,47.69809112,-122.34929927,6532460
91,,47.63373151,-122.31018655,6532457
92,,47.70928091,-122.28436336,6532456
93,,47.70928091,-122.28436336,6532456
94,,47.68117348,-122.38351609,6532455
95,,47.57624501,-122.39311181,6532451
96,,47.68386165,-122.34558112,6532450
97,,47.61611828,-122.29978901,6532449
98,,47.61294294,-122.34411572,6532448
99,,47.63974282,-122.39596905,6532447
100,,47.6066366,-122.28865162,6532446
101,,47.62406618,-122.33620465,6532445
102,,47.67740775,-122.28334976,6532444
103,,47.62406618,-122.33620465,6532443
104,,47.65982423,-122.32543849,6532441
105,,47.6837274,-122.31066247,6532440
106,,47.6837274,-122.31066247,6532440
107,,47.70973916,-122.3227046,6532438
108,,47.71369914,-122.32546899,6532437
109,,47.67964459,-122.38780222,6532433
110,,47.54545235,-122.27197986,6532432
111,,47.65605048,-122.39254656,6532431
112,,47.62543165,-122.32692429,6532426
113,,47.57879308,-122.31487305,6532422
114,,47.54904701,-122.28390613,6532410
115,,47.68706511,-122.29795761,6532413
116,,47.68706511,-122.29795761,6532413
117,,47.68170608,-122.38081714,6532411
118,,47.68170608,-122.38081714,6532411
119,,47.68170608,-122.38081714,6532411
120,,47.63115485,-122.30506681,6532409
121,,47.63606613,-122.28171525,6532405
122,,47.59944557,-122.30496445,6532403
123,,47.66554497,-122.31787756,6532401
124,,47.61275016,-122.33686713,6532395
125,,47.57410713,-122.32542222,6532358
126,,47.6156633,-122.35336543,6532386
127,,47.61673411,-122.33268035,6532389
128,,47.63284285,-122.37713018,6532388
129,,47.63397599,-122.31937989,6532387
130,,47.6394286,-122.3630918,6532384
