number,address,description
1037364,212 E BOSTON ST,"Bradrick 4.29.16 The garage needs to be repaired, it is open to entry."
1037363,4532 S HENDERSON ST,Bradrick 4.29.16 Exterior Housing violations.
1037362,4524 7TH AVE NE,Application for a Tenant Relocation License.  Total units:9; total units occupied:8. Demolition.
1037361,2522 14TH AVE S,Issuance of an Owner's Certification of Exemption.  Total units:  14; total units occupied:  14.  Substantial rehabilitation.
1037360,2003 13TH AVE S,Application for a Tenant Relocation License.  Total units: 1; total units occupied: 1.  Substantial Rehabilitation.
1037359,1141 N 91ST ST,Application for a Tenant Relocation License.  Total units 3; total units occupied: 2.  Demolition.
1037358,4721 9TH AVE NE,WEEDS AND VEGETATION CODE: Vegetation encroaching on to abutting sidewalk along 9th Avenue NE.
1037357,6031 38TH AVE SW,Removing approximately the back 1/3 of this 3 bedroom 2 bathroom SFR and deck and remodeling without a permit and inspections.
1037356,2822 BOYER AVE E,Work float behind home and decking replacement occurring without permit.
1037355,6105 22ND AVE NW,04/28/16 EO Vacant building violations
1037354,8815 RAVENNA AVE NE,Housing and Bldg Maintenance Code Violation
1037353,4719 9TH AVE NE,WEEDS AND VEGETATION CODE VIOLATION: Vegetation encroaching onto sidewalk.
1037352,11204 ROOSEVELT WAY NE,04/21/16 Vacant building violations
1037351,13759 INTERLAKE AVE N,04/28/16 EO Vacant building violations
1037350,8605 14TH AVE S,04/28/16 DW Observed left ouver construction debris
1037349,2026 14TH AVE S,Housing and Bldg Code Violation
1037348,3053 FAUNTLEROY AVE SW,"Bradrick 4.21.16 Vacant, Open, Violation. I will issue an Emergency Order to Close."
1037347,6501 FRANCIS AVE N,rs 04-28-16  Vegetation overgrown onto ROW of street.
1037346,13759 INTERLAKE AVE N,04/28/16 EO Vacant building violations
1037345,12040 GREENWOOD AVE N,04/20/16 Per SPD - Vacant building violations
1037344,1900 23RD AVE S,04/27/16 DW Observed vegetation overhanging into sidewalk r-o-w
1037343,1900 WESTLAKE AVE N,Unlawful floating platform accessory to FOWR 806 @ Slip B-2. Platform/float is dilapidated & listing.
1037342,8125 48TH AVE S,Land Use Code Violation.
1037341,906 S EDDY ST,04/27/16 DW please refer to case 103663
1037340,8152 16TH AVE SW,04/27/16 DW Observed inoperable vehicles parked in rear yard and exceeding the total number of vehicles permitted per lot.
1037339,1601 INTERLAKEN PL E,Weeds and Vegetation Ordinance Violation
1037338,7729 15TH AVE SW,04/27/16 DW Observed outdoor storage underneath the front porch
1037337,7503 16TH AVE SW,04/27/16 DW Posted warning citation notice on the front door  outdoor storage/inoperable vehicle
1037337,7503 16TH AVE SW,04/27/16 DW Posted warning citation notice on the front door  outdoor storage/inoperable vehicle
1037336,1900 WESTLAKE AVE N,Roof deck added to unregistered FOWR w/o shoreline authorization.
1037335,133 NE 60TH ST,Vacant Building Code Violations observed.
