id,case_group
1,VACANT BUILDING
2,HOUSING
3,TENANT RELOCATION ASSIST ORD
4,TENANT RELOCATION ASSIST ORD
5,TENANT RELOCATION ASSIST ORD
6,TENANT RELOCATION ASSIST ORD
7,WEEDS AND VEGETATION
8,BUILDING
9,ZONING
10,VACANT BUILDING
11,HOUSING
12,WEEDS AND VEGETATION
13,VACANT BUILDING
14,VACANT BUILDING
15,ZONING
16,HOUSING
17,VACANT BUILDING
18,WEEDS AND VEGETATION
19,VACANT BUILDING
20,HOUSING
21,WEEDS AND VEGETATION
22,ZONING
23,ZONING
24,ZONING
25,ZONING
26,WEEDS AND VEGETATION
27,ZONING
28,ZONING
29,ZONING
30,ZONING
31,VACANT BUILDING
32,VACANT BUILDING
33,ZONING
34,WEEDS AND VEGETATION
35,ZONING
36,WEEDS AND VEGETATION
37,JUST CAUSE EVICTION
38,VACANT BUILDING
39,WEEDS AND VEGETATION
40,VACANT BUILDING
41,VACANT BUILDING
42,WEEDS AND VEGETATION
43,WEEDS AND VEGETATION
44,VACANT BUILDING
45,ZONING
46,HOUSING
47,ZONING
48,ZONING
49,ZONING
50,ZONING
51,ZONING
52,ZONING
53,ZONING
54,ZONING
55,WEEDS AND VEGETATION
56,ZONING
57,HOUSING
58,WEEDS AND VEGETATION
59,WEEDS AND VEGETATION
60,ZONING
61,WEEDS AND VEGETATION
62,ZONING
63,ZONING
64,ZONING
65,ZONING
66,ZONING
67,HOUSING
68,ZONING
69,ZONING
70,ZONING
71,ZONING
72,ZONING
73,ZONING
74,ZONING
75,ZONING
76,BUILDING
77,BUILDING
78,ZONING
79,ZONING
80,ZONING
81,ZONING
82,ZONING
83,ZONING
84,ZONING
85,ZONING
86,ZONING
87,ZONING
88,HOUSING
89,ZONING
90,ZONING
91,ZONING
92,ZONING
93,WEEDS AND VEGETATION
94,ZONING
95,TENANT RELOCATION ASSIST ORD
96,ZONING
97,ZONING
98,ZONING
99,JUST CAUSE EVICTION
100,WEEDS AND VEGETATION
101,ZONING
102,SITE
103,BUILDING
104,ZONING
105,SITE
106,SITE
107,CONSTRUCTION NOISE
108,ZONING
109,BUILDING
110,BUILDING
111,ZONING
112,HOUSING
113,BUILDING
114,HOUSING
115,BUILDING
116,SITE
117,SIGNS
118,JUST CAUSE EVICTION
119,ZONING
120,JUST CAUSE EVICTION
121,CONDO/COOP CONVERSION
122,ZONING
123,ZONING
124,ZONING
125,BUILDING
126,BUILDING
127,JUST CAUSE EVICTION
128,ZONING
129,WEEDS AND VEGETATION
130,ZONING
131,ZONING
132,ZONING
133,ZONING
134,WEEDS AND VEGETATION
135,WEEDS AND VEGETATION
136,ZONING
137,HOUSING
138,HOUSING
139,ZONING
140,ZONING
141,TENANT RELOCATION ASSIST ORD
142,TENANT RELOCATION ASSIST ORD
143,ZONING
144,SIGNS
145,SITE
146,VACANT BUILDING
147,ZONING
148,CONSTRUCTION NOISE
149,ZONING
150,TENANT RELOCATION ASSIST ORD
151,VACANT BUILDING
152,ZONING
153,ZONING
154,ZONING
155,ZONING
156,VACANT BUILDING
157,VACANT BUILDING
158,ZONING
159,ZONING
160,VACANT BUILDING
161,ZONING
162,BUILDING
163,HOUSING
164,ZONING
165,ZONING
166,ZONING
167,ZONING
168,HOUSING
169,WEEDS AND VEGETATION
170,BUILDING
171,HOUSING
172,VACANT BUILDING
173,ZONING
174,ZONING
175,JUST CAUSE EVICTION
176,WEEDS AND VEGETATION
177,WEEDS AND VEGETATION
178,SIGNS
179,ZONING
180,ZONING
181,ZONING
182,ZONING
183,HOUSING
184,ZONING
185,VACANT BUILDING
186,TENANT RELOCATION ASSIST ORD
187,BUILDING
188,ZONING
189,ZONING
190,BUILDING
191,SITE
192,SIGNS
193,SITE
194,HOUSING
195,ZONING
196,HOUSING
197,HOUSING
198,WEEDS AND VEGETATION
199,WEEDS AND VEGETATION
200,TENANT RELOCATION ASSIST ORD
201,WEEDS AND VEGETATION
202,HOUSING
203,ZONING
204,BUILDING
205,ZONING
206,SITE
207,ZONING
208,BUILDING
209,ZONING
210,SITE
211,SITE
212,BUILDING
213,SIGNS
214,
215,HOUSING
216,HOUSING
217,ZONING
218,HOUSING
219,SITE
220,ZONING
221,BUILDING AND PREMISES
222,ZONING
223,BUILDING
224,ZONING
225,ZONING
226,HOUSING
227,ZONING
228,ZONING
229,HOUSING
230,HOUSING
231,VACANT BUILDING
232,VACANT BUILDING
233,TENANT RELOCATION ASSIST ORD
234,HOUSING
235,ZONING
236,ZONING
237,ZONING
238,ZONING
239,ZONING
240,SITE
241,TENANT RELOCATION ASSIST ORD
242,TENANT RELOCATION ASSIST ORD
243,ZONING
244,ZONING
245,ZONING
246,ZONING
247,ZONING
248,ZONING
249,HOUSING
250,SITE
251,SITE
252,BUILDING
253,HOUSING
254,ZONING
255,VACANT BUILDING
256,VACANT BUILDING
257,VACANT BUILDING
258,BUILDING
259,BUILDING
260,BUILDING
261,BUILDING
262,HOUSING
263,BUILDING
264,BUILDING
265,VACANT BUILDING
266,ZONING
267,
268,ZONING
269,SITE
270,ZONING
271,VACANT BUILDING
272,BUILDING
273,BUILDING
274,HOUSING
275,ZONING
276,ZONING
277,VACANT BUILDING
278,HOUSING
279,ZONING
280,
281,ZONING
282,WEEDS AND VEGETATION
283,ZONING
284,BUILDING
285,ZONING
286,TENANT RELOCATION ASSIST ORD
287,TENANT RELOCATION ASSIST ORD
288,WEEDS AND VEGETATION
289,ZONING
290,BUILDING
291,WEEDS AND VEGETATION
292,WEEDS AND VEGETATION
293,ZONING
294,WEEDS AND VEGETATION
295,ZONING
296,ZONING
297,BUILDING
298,BUILDING
299,ZONING
300,BUILDING
301,ZONING
302,ZONING
303,HOUSING
304,ZONING
305,BUILDING
306,HOUSING
307,BUILDING
308,CONSTRUCTION NOISE
309,ZONING
310,ZONING
311,ZONING
312,ZONING
313,ZONING
314,ZONING
315,HOUSING
316,HOUSING
317,ZONING
318,ZONING
319,CONSTRUCTION NOISE
320,SITE
321,BUILDING
322,VACANT BUILDING
323,BUILDING
324,TENANT RELOCATION ASSIST ORD
325,BUILDING
326,VACANT BUILDING
327,ZONING
328,SITE
329,SITE
330,ZONING
331,ZONING
332,HOUSING
333,ZONING
334,HOUSING
335,SIGNS
336,ZONING
337,ZONING
338,ELECTRICAL
339,ZONING
340,JUST CAUSE EVICTION
341,SITE
342,SITE
343,ZONING
344,BUILDING AND PREMISES
345,VACANT BUILDING
346,BUILDING
347,BUILDING
348,HOUSING
349,WEEDS AND VEGETATION
350,ZONING
351,ZONING
352,ZONING
353,ZONING
354,WEEDS AND VEGETATION
355,WEEDS AND VEGETATION
356,VACANT BUILDING
357,HOUSING
358,BUILDING
359,WEEDS AND VEGETATION
360,WEEDS AND VEGETATION
361,BUILDING
362,HOUSING
363,TENANT RELOCATION ASSIST ORD
364,ZONING
365,SITE
366,ZONING
367,VACANT BUILDING
368,HOUSING
369,JUST CAUSE EVICTION
370,BUILDING
371,ZONING
372,WEEDS AND VEGETATION
373,ZONING
374,ZONING
375,BUILDING
376,HOUSING
377,BUILDING
378,ZONING
379,ZONING
380,ZONING
381,BUILDING
382,HOUSING
383,ZONING
384,ZONING
385,CONSTRUCTION NOISE
386,ZONING
387,ZONING
388,BUILDING
389,BUILDING
390,BUILDING
391,WEEDS AND VEGETATION
392,ZONING
393,ZONING
394,ZONING
395,JUST CAUSE EVICTION
396,JUST CAUSE EVICTION
397,JUST CAUSE EVICTION
398,ZONING
399,HOUSING
400,ZONING
401,WEEDS AND VEGETATION
402,HOUSING
403,ZONING
404,ZONING
405,HOUSING
406,HOUSING
407,HOUSING
408,ZONING
409,JUST CAUSE EVICTION
410,CONSTRUCTION NOISE
411,ZONING
412,CONSTRUCTION NOISE
413,TENANT RELOCATION ASSIST ORD
414,ZONING
415,ZONING
416,ZONING
417,ZONING
418,VACANT BUILDING
419,ZONING
420,BUILDING
421,SITE
422,ZONING
423,ZONING
424,ZONING
425,BUILDING
426,TENANT RELOCATION ASSIST ORD
427,ZONING
428,JUST CAUSE EVICTION
429,ZONING
430,ZONING
431,JUST CAUSE EVICTION
432,HOUSING
433,ZONING
434,ELECTRICAL
435,TENANT RELOCATION ASSIST ORD
436,ZONING
437,VACANT BUILDING
438,WEEDS AND VEGETATION
439,ZONING
440,ZONING
441,ZONING
442,JUST CAUSE EVICTION
443,JUST CAUSE EVICTION
444,JUST CAUSE EVICTION
445,ZONING
446,ZONING
447,ZONING
448,ZONING
449,HOUSING
450,ZONING
451,BUILDING
452,BUILDING
453,BUILDING
454,BUILDING
455,VACANT BUILDING
456,JUST CAUSE EVICTION
457,WEEDS AND VEGETATION
458,ZONING
459,WEEDS AND VEGETATION
460,ZONING
461,HOUSING
462,HOUSING
463,ZONING
464,WEEDS AND VEGETATION
465,ZONING
466,TENANT RELOCATION ASSIST ORD
467,HOUSING
468,BUILDING
469,ZONING
470,ZONING
471,ZONING
472,HOUSING
473,HOUSING
474,HOUSING
475,BUILDING
476,JUST CAUSE EVICTION
477,TENANT RELOCATION ASSIST ORD
478,ZONING
479,HOUSING
480,JUST CAUSE EVICTION
481,HOUSING
482,HOUSING
483,JUST CAUSE EVICTION
484,TENANT RELOCATION ASSIST ORD
485,ZONING
486,ZONING
487,ZONING
488,ZONING
489,ZONING
490,ZONING
491,ZONING
492,WEEDS AND VEGETATION
493,ZONING
494,TRAO AVOIDANCE
495,ZONING
496,ZONING
497,ZONING
498,VACANT BUILDING
499,NONCONSTRUCTION NOISE
500,ZONING
501,BUILDING
502,HOUSING
503,HOUSING
504,ZONING
505,ZONING
506,ZONING
507,ZONING
508,TENANT RELOCATION ASSIST ORD
509,ZONING
510,BUILDING
511,SITE
512,ZONING
513,TENANT RELOCATION ASSIST ORD
514,TENANT RELOCATION ASSIST ORD
515,HOUSING
516,HOUSING
517,TENANT RELOCATION ASSIST ORD
518,ZONING
519,ZONING
520,ZONING
521,ZONING
522,HOUSING
523,ZONING
524,ZONING
525,BUILDING
526,ZONING
527,ZONING
528,HOUSING
529,WEEDS AND VEGETATION
530,WEEDS AND VEGETATION
531,WEEDS AND VEGETATION
532,WEEDS AND VEGETATION
533,WEEDS AND VEGETATION
534,ZONING
535,ZONING
536,ZONING
537,BUILDING
538,ZONING
539,BUILDING
540,
541,VACANT BUILDING
542,ZONING
543,ZONING
544,VACANT BUILDING
545,ZONING
546,VACANT BUILDING
547,ZONING
548,WEEDS AND VEGETATION
549,ZONING
550,HOUSING
551,WEEDS AND VEGETATION
552,ZONING
553,TENANT RELOCATION ASSIST ORD
554,BUILDING
555,ZONING
556,HOUSING
557,BUILDING
558,ZONING
559,HOUSING
560,HOUSING
561,BUILDING
562,ZONING
563,HOUSING
564,ZONING
565,WEEDS AND VEGETATION
566,HOUSING
567,SITE
568,BUILDING
569,JUST CAUSE EVICTION
570,WEEDS AND VEGETATION
571,ZONING
572,ZONING
573,ELECTRICAL
574,ZONING
575,BUILDING
576,SITE
577,ZONING
578,TENANT RELOCATION ASSIST ORD
579,JUST CAUSE EVICTION
580,ZONING
581,ZONING
582,WEEDS AND VEGETATION
583,ZONING
584,ZONING
585,ZONING
586,BUILDING
587,ZONING
588,SITE
589,HOUSING
590,ZONING
591,BUILDING
592,ZONING
593,ZONING
594,ZONING
595,SITE
596,HOUSING
597,TENANT RELOCATION ASSIST ORD
598,SITE
599,ZONING
600,ZONING
601,ZONING
602,ZONING
603,ZONING
604,ZONING
605,HOUSING
606,HOUSING
607,HOUSING
608,HOUSING
609,VACANT BUILDING
610,ZONING
611,ZONING
612,WEEDS AND VEGETATION
613,ZONING
614,ZONING
615,JUST CAUSE EVICTION
616,BUILDING AND PREMISES
617,BUILDING AND PREMISES
618,WEEDS AND VEGETATION
619,WEEDS AND VEGETATION
620,ZONING
621,ZONING
622,ZONING
623,ZONING
624,BUILDING
625,WEEDS AND VEGETATION
626,ZONING
627,ZONING
628,ZONING
629,ZONING
630,ZONING
631,ZONING
632,SITE
633,WEEDS AND VEGETATION
634,ZONING
635,HOUSING
636,WEEDS AND VEGETATION
637,ZONING
638,TENANT RELOCATION ASSIST ORD
639,BUILDING
640,WEEDS AND VEGETATION
641,ZONING
642,HOUSING
643,HOUSING
644,ZONING
645,ZONING
646,VACANT BUILDING
647,ZONING
648,VACANT BUILDING
649,HOUSING
650,SITE
651,JUST CAUSE EVICTION
652,ZONING
653,ZONING
654,BUILDING
655,BUILDING
656,WEEDS AND VEGETATION
657,VACANT BUILDING
658,VACANT BUILDING
659,WEEDS AND VEGETATION
660,ZONING
661,HOUSING
662,SITE
663,ZONING
664,ZONING
665,ZONING
666,ZONING
667,ZONING
668,HOUSING
669,BUILDING
670,ZONING
671,CONSTRUCTION NOISE
672,ZONING
673,ZONING
674,ZONING
675,HOUSING
676,ZONING
677,ZONING
678,ZONING
679,ZONING
680,ZONING
681,WEEDS AND VEGETATION
682,BUILDING
683,JUST CAUSE EVICTION
684,JUST CAUSE EVICTION
685,JUST CAUSE EVICTION
686,JUST CAUSE EVICTION
687,HOUSING
688,HOUSING
689,JUST CAUSE EVICTION
690,JUST CAUSE EVICTION
691,JUST CAUSE EVICTION
692,ZONING
693,JUST CAUSE EVICTION
694,ZONING
695,ZONING
696,BUILDING
697,BUILDING
698,WEEDS AND VEGETATION
699,TENANT RELOCATION ASSIST ORD
700,TENANT RELOCATION ASSIST ORD
701,TENANT RELOCATION ASSIST ORD
702,TENANT RELOCATION ASSIST ORD
703,WEEDS AND VEGETATION
704,BUILDING
705,CONSTRUCTION NOISE
706,BUILDING
707,BUILDING
708,TRAO AVOIDANCE
709,SITE
710,BUILDING
711,TENANT RELOCATION ASSIST ORD
712,TENANT RELOCATION ASSIST ORD
713,TENANT RELOCATION ASSIST ORD
714,HOUSING
715,ZONING
716,BUILDING
717,HOUSING
718,HOUSING
719,HOUSING
720,VACANT BUILDING
721,VACANT BUILDING
722,ZONING
723,ZONING
724,ELECTRICAL
725,WEEDS AND VEGETATION
726,HOUSING
727,TRAO AVOIDANCE
728,HOUSING
729,TRAO AVOIDANCE
730,ZONING
731,ZONING
732,WEEDS AND VEGETATION
733,HOUSING
734,WEEDS AND VEGETATION
735,BUILDING
736,ZONING
737,ZONING
738,WEEDS AND VEGETATION
739,ZONING
740,ZONING
741,ZONING
742,SITE
743,BUILDING
744,JUST CAUSE EVICTION
745,VACANT BUILDING
746,VACANT BUILDING
747,ZONING
748,HOUSING
749,ZONING
750,ZONING
751,ZONING
752,BUILDING
753,SITE
754,TENANT RELOCATION ASSIST ORD
755,ZONING
756,ZONING
757,ZONING
758,TENANT RELOCATION ASSIST ORD
759,TENANT RELOCATION ASSIST ORD
760,HOUSING
761,WEEDS AND VEGETATION
762,ZONING
763,ZONING
764,WEEDS AND VEGETATION
765,ZONING
766,SITE
767,ZONING
768,WEEDS AND VEGETATION
769,ZONING
770,ZONING
771,ZONING
772,ZONING
773,SITE
774,ZONING
775,ZONING
776,ZONING
777,HOUSING
778,BUILDING
779,TENANT RELOCATION ASSIST ORD
780,ZONING
781,BUILDING
782,ZONING
783,ZONING
784,HOUSING
785,ZONING
786,HOUSING
787,TENANT RELOCATION ASSIST ORD
788,HOUSING
789,ZONING
790,ZONING
791,ZONING
792,ZONING
793,ZONING
794,ZONING
795,ZONING
796,ZONING
797,ZONING
798,ZONING
799,HOUSING
800,JUST CAUSE EVICTION
801,ZONING
802,ZONING
803,ZONING
804,WEEDS AND VEGETATION
805,ZONING
806,ZONING
807,ZONING
808,ZONING
809,TENANT RELOCATION ASSIST ORD
810,ZONING
811,SIGNS
812,ZONING
813,ZONING
814,HOUSING
815,ZONING
816,ZONING
817,BUILDING
818,SITE
819,JUST CAUSE EVICTION
820,TENANT RELOCATION ASSIST ORD
821,ZONING
822,TENANT RELOCATION ASSIST ORD
823,BUILDING
824,HOUSING
825,ZONING
826,ZONING
827,ZONING
828,ZONING
829,ZONING
830,BUILDING
831,TENANT RELOCATION ASSIST ORD
832,BUILDING
833,ZONING
834,ZONING
835,ZONING
836,BUILDING
837,ZONING
838,HOUSING
839,ZONING
840,WEEDS AND VEGETATION
841,ZONING
842,BUILDING
843,ZONING
844,WEEDS AND VEGETATION
845,HOUSING
846,WEEDS AND VEGETATION
847,HOUSING
848,BUILDING
849,BUILDING
850,VACANT BUILDING
851,HOUSING
852,ZONING
853,SITE
854,ZONING
855,VACANT BUILDING
856,ZONING
857,ZONING
858,ZONING
859,BUILDING
860,HOUSING
861,ZONING
862,ZONING
863,WEEDS AND VEGETATION
864,WEEDS AND VEGETATION
865,WEEDS AND VEGETATION
866,ZONING
867,WEEDS AND VEGETATION
868,WEEDS AND VEGETATION
869,TENANT RELOCATION ASSIST ORD
870,HOUSING
871,TENANT RELOCATION ASSIST ORD
872,ZONING
873,ZONING
874,ZONING
875,CONSTRUCTION NOISE
876,ZONING
877,WEEDS AND VEGETATION
878,ZONING
879,ZONING
880,BUILDING
881,ZONING
882,WEEDS AND VEGETATION
883,TENANT RELOCATION ASSIST ORD
884,SITE
885,ZONING
886,HOUSING
887,VACANT BUILDING
888,VACANT BUILDING
889,CONSTRUCTION NOISE
890,SITE
891,SITE
892,VACANT BUILDING
893,VACANT BUILDING
894,BUILDING
895,ZONING
896,HOUSING
897,VACANT BUILDING
898,HOUSING
899,HOUSING
900,ZONING
901,ZONING
902,HOUSING
903,BUILDING
904,VACANT BUILDING
905,ZONING
906,MECHANICAL
907,CONSTRUCTION NOISE
908,TENANT RELOCATION ASSIST ORD
909,VACANT BUILDING
910,CONSTRUCTION NOISE
911,ZONING
912,ZONING
913,SITE
914,ZONING
915,ZONING
916,ZONING
917,ZONING
918,BUILDING
919,BUILDING
920,HOUSING
921,SITE
922,SITE
923,SITE
924,HOUSING
925,BUILDING
926,VACANT BUILDING
927,ZONING
928,TENANT RELOCATION ASSIST ORD
929,WEEDS AND VEGETATION
930,BUILDING
931,ZONING
932,HOUSING
933,BUILDING
934,ZONING
935,BUILDING
936,VACANT BUILDING
937,TENANT RELOCATION ASSIST ORD
938,JUST CAUSE EVICTION
939,JUST CAUSE EVICTION
940,ZONING
941,SITE
942,ZONING
943,SITE
944,SIGNS
945,SITE
946,WEEDS AND VEGETATION
947,ZONING
948,BUILDING
949,TENANT RELOCATION ASSIST ORD
950,TENANT RELOCATION ASSIST ORD
951,ZONING
952,VACANT BUILDING
953,ZONING
954,ZONING
955,VACANT BUILDING
956,VACANT BUILDING
957,ZONING
958,VACANT BUILDING
