id,date,result,case_id
1,4/29/2016,FAILED,
2,4/29/2016,FAILED,
3,4/29/2016,,
4,4/29/2016,,
5,4/29/2016,,
6,4/29/2016,,
7,4/29/2016,FAILED,
8,4/29/2016,FAILED,
9,4/29/2016,,
10,4/29/2016,FAILED,
11,4/29/2016,FAILED,
12,4/29/2016,FAILED,
13,4/29/2016,FAILED,
14,4/29/2016,FAILED,
15,4/28/2016,FAILED,
16,4/28/2016,FAILED,
17,4/28/2016,FAILED,
18,4/28/2016,FAILED,
19,4/28/2016,FAILED,
20,4/28/2016,FAILED,
21,4/28/2016,FAILED,
22,4/28/2016,FAILED,
23,4/28/2016,FAILED,
24,4/28/2016,,
25,4/28/2016,FAILED,
26,4/28/2016,FAILED,
27,4/28/2016,,
28,4/28/2016,FAILED,
29,4/28/2016,FAILED,
30,4/28/2016,,
31,4/28/2016,FAILED,
32,4/28/2016,,
33,4/27/2016,FAILED,
34,4/27/2016,FAILED,
35,4/27/2016,,
36,4/27/2016,FAILED,
37,4/27/2016,FAILED,
38,4/27/2016,FAILED,
39,4/27/2016,FAILED,
40,4/27/2016,PASSED,
41,4/27/2016,FAILED,
42,4/27/2016,FAILED,
43,4/27/2016,FAILED,
44,4/27/2016,FAILED,
45,4/26/2016,FAILED,
46,4/26/2016,FAILED,
47,4/26/2016,FAILED,
48,4/26/2016,FAILED,
49,4/26/2016,FAILED,
50,4/26/2016,FAILED,
51,4/26/2016,FAILED,
52,4/26/2016,FAILED,
53,4/26/2016,FAILED,
54,4/25/2016,FAILED,
55,4/25/2016,FAILED,
56,4/25/2016,FAILED,
57,4/25/2016,FAILED,
58,4/25/2016,FAILED,
59,4/25/2016,FAILED,
60,4/25/2016,FAILED,
61,4/25/2016,FAILED,
62,4/25/2016,FAILED,
63,4/25/2016,FAILED,
64,4/25/2016,FAILED,
65,4/25/2016,FAILED,
66,4/25/2016,FAILED,
67,4/25/2016,FAILED,
68,4/25/2016,FAILED,
69,4/22/2016,,
70,4/22/2016,FAILED,
71,4/22/2016,FAILED,
72,4/22/2016,FAILED,
73,4/22/2016,,
74,4/22/2016,FAILED,
75,4/22/2016,FAILED,
76,4/22/2016,FAILED,
77,4/22/2016,FAILED,
78,4/22/2016,,
79,4/22/2016,FAILED,
80,4/22/2016,FAILED,
81,4/22/2016,FAILED,
82,4/22/2016,FAILED,
83,4/22/2016,FAILED,
84,4/22/2016,FAILED,
85,4/22/2016,FAILED,
86,4/21/2016,FAILED,
87,4/21/2016,FAILED,
88,4/21/2016,FAILED,
89,4/21/2016,FAILED,
90,4/21/2016,FAILED,
91,4/21/2016,FAILED,
92,4/21/2016,FAILED,
93,4/21/2016,FAILED,
94,4/20/2016,FAILED,
95,4/20/2016,,
96,4/20/2016,FAILED,
97,4/20/2016,FAILED,
98,4/20/2016,FAILED,
99,4/20/2016,FAILED,
100,4/20/2016,FAILED,
101,4/20/2016,FAILED,
102,4/20/2016,,
103,4/20/2016,,
104,4/20/2016,FAILED,
105,4/20/2016,FAILED,
106,4/20/2016,FAILED,
107,4/20/2016,FAILED,
108,4/20/2016,FAILED,
109,4/20/2016,FAILED,
110,4/20/2016,FAILED,
111,4/20/2016,FAILED,
112,4/20/2016,,
113,4/20/2016,FAILED,
114,4/20/2016,FAILED,
115,4/19/2016,FAILED,
116,4/19/2016,FAILED,
117,4/19/2016,FAILED,
118,4/19/2016,PASSED,
119,4/19/2016,,
120,4/19/2016,PASSED,
121,4/19/2016,,
122,4/19/2016,FAILED,
123,4/8/2016,,
124,4/19/2016,FAILED,
125,4/19/2016,FAILED,
126,4/19/2016,FAILED,
127,4/19/2016,PASSED,
128,4/19/2016,,
129,4/19/2016,FAILED,
130,4/19/2016,FAILED,
131,4/19/2016,FAILED,
132,4/19/2016,FAILED,
133,4/19/2016,FAILED,
134,4/19/2016,FAILED,
135,4/19/2016,FAILED,
136,4/18/2016,FAILED,
137,4/18/2016,FAILED,
138,4/18/2016,FAILED,
139,4/18/2016,FAILED,
140,4/18/2016,FAILED,
141,4/15/2016,,
142,4/15/2016,,
143,4/15/2016,FAILED,
144,4/15/2016,FAILED,
145,4/15/2016,FAILED,
146,4/15/2016,FAILED,
147,4/15/2016,FAILED,
148,4/15/2016,FAILED,
149,4/14/2016,FAILED,
150,4/14/2016,,
151,4/14/2016,FAILED,
152,4/14/2016,FAILED,
153,4/14/2016,FAILED,
154,4/14/2016,FAILED,
155,4/13/2016,FAILED,
156,4/13/2016,FAILED,
157,4/13/2016,FAILED,
158,4/13/2016,FAILED,
159,4/13/2016,FAILED,
160,4/13/2016,FAILED,
161,4/13/2016,FAILED,
162,4/13/2016,PASSED,
163,4/13/2016,FAILED,
164,4/13/2016,FAILED,
165,4/13/2016,FAILED,
166,4/13/2016,FAILED,
167,4/13/2016,FAILED,
168,4/13/2016,FAILED,
169,4/13/2016,FAILED,
170,4/13/2016,FAILED,
171,4/13/2016,FAILED,
172,4/13/2016,FAILED,
173,4/12/2016,FAILED,
174,4/12/2016,FAILED,
175,4/12/2016,PASSED,
176,4/12/2016,FAILED,
177,4/12/2016,FAILED,
178,4/12/2016,FAILED,
179,4/12/2016,FAILED,
180,4/11/2016,,
181,4/11/2016,FAILED,
182,4/11/2016,FAILED,
183,4/8/2016,,
184,4/8/2016,FAILED,
185,4/8/2016,FAILED,
186,4/8/2016,,
187,4/8/2016,FAILED,
188,4/8/2016,FAILED,
189,4/8/2016,FAILED,
190,4/7/2016,FAILED,
191,4/7/2016,FAILED,
192,4/7/2016,,
193,4/7/2016,PASSED,
194,4/7/2016,FAILED,
195,4/7/2016,FAILED,
196,4/7/2016,FAILED,
197,4/7/2016,FAILED,
198,4/7/2016,FAILED,
199,4/7/2016,FAILED,
200,4/6/2016,,
201,4/6/2016,FAILED,
202,4/6/2016,FAILED,
203,4/6/2016,FAILED,
204,4/6/2016,FAILED,
205,4/6/2016,FAILED,
206,4/6/2016,FAILED,
207,4/6/2016,FAILED,
208,4/6/2016,FAILED,
209,4/6/2016,FAILED,
210,4/6/2016,PASSED,
211,4/6/2016,PASSED,
212,4/6/2016,FAILED,
213,4/5/2016,FAILED,
214,4/5/2016,FAILED,
215,4/5/2016,PASSED,
216,4/5/2016,PASSED,
217,4/5/2016,PASSED,
218,4/5/2016,,
219,4/5/2016,FAILED,
220,4/4/2016,FAILED,
221,4/4/2016,,
222,4/4/2016,FAILED,
223,4/4/2016,FAILED,
224,4/4/2016,FAILED,
225,4/4/2016,FAILED,
226,4/4/2016,FAILED,
227,4/4/2016,FAILED,
228,4/4/2016,FAILED,
229,4/1/2016,FAILED,
230,4/1/2016,,
231,4/1/2016,FAILED,
232,4/1/2016,FAILED,
233,4/1/2016,,
234,4/1/2016,FAILED,
235,4/1/2016,FAILED,
236,4/1/2016,FAILED,
237,4/1/2016,FAILED,
238,4/1/2016,PASSED,
239,4/1/2016,PASSED,
240,3/31/2016,FAILED,
241,3/31/2016,,
242,3/31/2016,,
243,3/31/2016,FAILED,
244,3/31/2016,PASSED,
245,3/31/2016,PASSED,
246,3/31/2016,FAILED,
247,3/31/2016,PASSED,
248,3/31/2016,FAILED,
249,3/31/2016,FAILED,
250,3/31/2016,FAILED,
251,3/31/2016,FAILED,
252,3/31/2016,FAILED,
253,3/31/2016,PASSED,
254,3/31/2016,FAILED,
255,3/31/2016,PASSED,
256,3/31/2016,FAILED,
257,3/31/2016,FAILED,
258,3/30/2016,PASSED,
259,3/30/2016,PASSED,
260,3/30/2016,FAILED,
261,3/30/2016,FAILED,
262,3/28/2016,FAILED,
263,3/30/2016,FAILED,
264,3/30/2016,FAILED,
265,3/30/2016,FAILED,
266,3/30/2016,FAILED,
267,3/30/2016,FAILED,
268,3/30/2016,FAILED,
269,3/30/2016,FAILED,
270,3/29/2016,FAILED,
271,3/29/2016,FAILED,
272,3/29/2016,FAILED,
273,3/29/2016,FAILED,
274,3/29/2016,PASSED,
275,3/29/2016,PASSED,
276,3/29/2016,FAILED,
277,3/29/2016,FAILED,
278,3/29/2016,FAILED,
279,3/29/2016,FAILED,
280,3/28/2016,,
281,3/28/2016,FAILED,
282,3/28/2016,PASSED,
283,3/28/2016,FAILED,
284,3/28/2016,FAILED,
285,3/25/2016,PASSED,
286,3/25/2016,,
287,3/25/2016,,
288,3/25/2016,PASSED,
289,3/25/2016,PASSED,
290,3/25/2016,FAILED,
291,3/25/2016,FAILED,
292,3/25/2016,PASSED,
293,3/25/2016,FAILED,
294,3/25/2016,PASSED,
295,3/25/2016,FAILED,
296,3/25/2016,FAILED,
297,3/25/2016,FAILED,
298,3/25/2016,FAILED,
299,3/24/2016,PASSED,
300,3/24/2016,FAILED,
301,3/24/2016,FAILED,
302,3/24/2016,FAILED,
303,3/24/2016,FAILED,
304,3/24/2016,FAILED,
305,3/24/2016,FAILED,
306,3/24/2016,PASSED,
307,3/24/2016,FAILED,
308,3/24/2016,PASSED,
309,3/23/2016,FAILED,
310,3/23/2016,PASSED,
311,3/23/2016,FAILED,
312,3/23/2016,FAILED,
313,3/23/2016,PASSED,
314,3/23/2016,PASSED,
315,3/23/2016,FAILED,
316,3/23/2016,PASSED,
317,3/21/2016,FAILED,
318,11/18/2015,PASSED,
319,3/23/2016,PASSED,
320,3/22/2016,PASSED,
321,3/22/2016,FAILED,
322,3/22/2016,FAILED,
323,3/22/2016,FAILED,
324,3/22/2016,,
325,3/22/2016,PASSED,
326,3/22/2016,FAILED,
327,3/22/2016,FAILED,
328,3/21/2016,FAILED,
329,3/21/2016,FAILED,
330,3/21/2016,PASSED,
331,3/21/2016,FAILED,
332,3/21/2016,PASSED,
