id,type of activity
1,HOUSING / ZONING
2,HOUSING / ZONING
3,TENANT RELOCATION ORDINANCE
4,TENANT RELOCATION ORDINANCE
5,TENANT RELOCATION ORDINANCE
6,TENANT RELOCATION ORDINANCE
7,CITATION
8,CONSTRUCTION
9,HOUSING / ZONING
10,HOUSING / ZONING
11,HOUSING / ZONING
12,CITATION
13,HOUSING / ZONING
14,HOUSING / ZONING
15,HOUSING / ZONING
16,HOUSING / ZONING
17,HOUSING / ZONING
18,CITATION
19,HOUSING / ZONING
20,HOUSING / ZONING
21,CITATION
22,HOUSING / ZONING
23,CITATION
24,CITATION
25,CITATION
26,CITATION
27,CITATION
28,CITATION
29,CITATION
30,HOUSING / ZONING
31,HOUSING / ZONING
32,HOUSING / ZONING
33,CITATION
34,CITATION
35,HOUSING / ZONING
36,CITATION
37,HOUSING / ZONING
38,HOUSING / ZONING
39,CITATION
40,HOUSING / ZONING
41,HOUSING / ZONING
42,CITATION
43,CITATION
44,HOUSING / ZONING
45,CITATION
46,HOUSING / ZONING
47,CITATION
48,CITATION
49,HOUSING / ZONING
50,CITATION
51,CITATION
52,CITATION
53,CITATION
54,CITATION
55,CITATION
56,HOUSING / ZONING
57,HOUSING / ZONING
58,CITATION
59,CITATION
60,CITATION
61,CITATION
62,HOUSING / ZONING
63,CITATION
64,CITATION
65,CITATION
66,CITATION
67,HOUSING / ZONING
68,CITATION
69,CITATION
70,CITATION
71,CITATION
72,CITATION
73,CITATION
74,CITATION
75,CITATION
76,CONSTRUCTION
77,CONSTRUCTION
78,HOUSING / ZONING
79,CITATION
80,CITATION
81,CITATION
82,HOUSING / ZONING
83,CITATION
84,CITATION
85,CITATION
86,CITATION
87,CITATION
88,HOUSING / ZONING
89,CITATION
90,CITATION
91,HOUSING / ZONING
92,CITATION
93,CITATION
94,CITATION
95,TENANT RELOCATION ORDINANCE
96,HOUSING / ZONING
97,CITATION
98,CITATION
99,HOUSING / ZONING
100,CITATION
101,HOUSING / ZONING
102,CONSTRUCTION
103,CONSTRUCTION
104,CITATION
105,CONSTRUCTION
106,CONSTRUCTION
107,CITATION
108,HOUSING / ZONING
109,CONSTRUCTION
110,CONSTRUCTION
111,HOUSING / ZONING
112,HOUSING / ZONING
113,CONSTRUCTION
114,HOUSING / ZONING
115,CONSTRUCTION
116,CONSTRUCTION
117,CONSTRUCTION
118,HOUSING / ZONING
119,CITATION
120,HOUSING / ZONING
121,CONDO CONVERSION AND PRESALE
122,CITATION
123,CITATION
124,CITATION
125,CONSTRUCTION
126,CONSTRUCTION
127,HOUSING / ZONING
128,CITATION
129,CITATION
130,HOUSING / ZONING
131,CITATION
132,CITATION
133,CITATION
134,CITATION
135,CITATION
136,CITATION
137,HOUSING / ZONING
138,HOUSING / ZONING
139,CITATION
140,CITATION
141,TENANT RELOCATION ORDINANCE
142,TENANT RELOCATION ORDINANCE
143,HOUSING / ZONING
144,CONSTRUCTION
145,CONSTRUCTION
146,HOUSING / ZONING
147,HOUSING / ZONING
148,CITATION
149,CITATION
150,TENANT RELOCATION ORDINANCE
151,HOUSING / ZONING
152,CITATION
153,CITATION
154,CITATION
155,HOUSING / ZONING
156,VACANT BUILDING MONITORING
157,VACANT BUILDING MONITORING
158,CITATION
159,CITATION
160,VACANT BUILDING MONITORING
161,CITATION
162,CONSTRUCTION
163,HOUSING / ZONING
164,CITATION
165,CITATION
166,CITATION
167,CITATION
168,HOUSING / ZONING
169,CITATION
170,CONSTRUCTION
171,HOUSING / ZONING
172,VACANT BUILDING MONITORING
173,CITATION
174,CITATION
175,HOUSING / ZONING
176,CITATION
177,CITATION
178,CONSTRUCTION
179,HOUSING / ZONING
180,CITATION
181,CITATION
182,CITATION
183,HOUSING / ZONING
184,CITATION
185,HOUSING / ZONING
186,TENANT RELOCATION ORDINANCE
187,CONSTRUCTION
188,CITATION
189,CITATION
190,CONSTRUCTION
191,CONSTRUCTION
192,CONSTRUCTION
193,CONSTRUCTION
194,HOUSING / ZONING
195,CITATION
196,HOUSING / ZONING
197,HOUSING / ZONING
198,CITATION
199,CITATION
200,TENANT RELOCATION ORDINANCE
201,CITATION
202,HOUSING / ZONING
203,CITATION
204,CONSTRUCTION
205,CITATION
206,CONSTRUCTION
207,HOUSING / ZONING
208,CONSTRUCTION
209,CITATION
210,CONSTRUCTION
211,CONSTRUCTION
212,CONSTRUCTION
213,CONSTRUCTION
214,CONSTRUCTION
215,HOUSING / ZONING
216,HOUSING / ZONING
217,HOUSING / ZONING
218,HOUSING / ZONING
219,CONSTRUCTION
220,HOUSING / ZONING
221,CITATION
222,CITATION
223,CONSTRUCTION
224,CITATION
225,CITATION
226,HOUSING / ZONING
227,CITATION
228,CITATION
229,HOUSING / ZONING
230,HOUSING / ZONING
231,HOUSING / ZONING
232,HOUSING / ZONING
233,TENANT RELOCATION ORDINANCE
234,HOUSING / ZONING
235,CITATION
236,HOUSING / ZONING
237,CITATION
238,CITATION
239,CITATION
240,CONSTRUCTION
241,TENANT RELOCATION ORDINANCE
242,TENANT RELOCATION ORDINANCE
243,CITATION
244,CITATION
245,CITATION
246,CITATION
247,CITATION
248,CITATION
249,HOUSING / ZONING
250,CONSTRUCTION
251,CONSTRUCTION
252,CONSTRUCTION
253,HOUSING / ZONING
254,HOUSING / ZONING
255,HOUSING / ZONING
256,HOUSING / ZONING
257,HOUSING / ZONING
258,CONSTRUCTION
259,CONSTRUCTION
260,CONSTRUCTION
261,CONSTRUCTION
262,HOUSING / ZONING
263,CONSTRUCTION
264,CONSTRUCTION
265,HOUSING / ZONING
266,CITATION
267,CITATION
268,CITATION
269,CONSTRUCTION
