dom_disc,sec_disc,thrd_disc,cultspc_id
Advocacy,Heritage,,
Arts Administration,Advocacy,,
Arts Ed,,,
Arts Ed,Studios,,
Arts Ed,,,
Arts Ed,Heritage,,
Arts Ed,Heritage,Multi-use,
Arts Ed,,,
Arts Ed,,,
Arts Ed,Cultural Preservation,Social Service,
Arts Ed,,,
Arts Ed,,,
Arts Ed,,,
Arts Ed,,,
Arts Ed,,,
Arts Ed,Studios,,
Arts Ed,Studios,Multi-use,
Arts Ed,,,
Cinema,,,
Cinema,Multi-use,,
Cinema,,,
Cinema,,,
Cinema,Arts Ed,,
Cinema,,,
Cinema,,,
Education,,,
Heritage,,,
Heritage,,,
Heritage,,,
Heritage,Multi-use,,
Heritage,Multi-use,,
Literary,,,
Literary,,,
Literary,,,
Literary,,,
Literary,,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Literary,Multi-use,,
Live/Work,Multi-use,,
Live/Work,Multi-use,,
Live/Work,,,
Multi-use,,,
,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
,,,
Multi-use,Arts Ed,,
Multi-use,,,
Multi-use,Visual,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Multi-use,Performance,Visual,
Multi-use,,,
Multi-use,,,
Multi-use,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,Literary,,
Music,,,
Music,,,
Music,Arts Ed,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,Literary,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Music,,,
Performance,,,
Performance,,,
Performance,Music,Arts Ed,
Performance,,,
Performance,Visual,Multi-use,
Performance,Music,,
Performance,Heritage,Multi-use,
Performance,Music,Arts Ed,
Performance,,,
Performance,Arts Ed,,
Performance,Music,Arts Ed,
Performance,Music,,
Performance,Music,,
Performance,Music,,
Performance,,,
Performance,Arts Ed,Multi-use,
Performance,Music,,
Performance,Visual,Music,
Performance,,,
Performance,Puppetry,,
Performance,,,
Performance,,,
Performance,Visual,,
Performance,Visual,Multi-use,
Performance,,,
Performance,Arts Ed,,
Performance,Music,Multi-use,
Performance,Multi-use,,
Performance,Arts Ed,,
Performance,,,
Performance,,,
Performance,Arts Ed,Studios,
Performance,,,
Performance,,,
Performance,Music,,
Performance,,,
Performance,Music,,
Performance,Visual,Music,
Performance,,,
Performance,,,
Performance,,,
Performance,,,
Performance,,,
Performance,,,
Performance,,,
Performance,Arts Ed,,
Performance,,,
Performance,,,
Performance,,,
Performance,,,
Performance,Music,,
Performance,Visual,Cinema,
Performance,,,
Performance,,,
Performance,,,
Performance,Visual,,
Performance,Arts Ed,,
Performance,,,
Performance,,,
Performance,Puppetry,,
Service,Public Funder,,
Studios,,,
Studios,,,
Studios,,,
Studios,,,
Studios,,,
Visual,Studio,Multi-use,
Visual,,,
Visual,,,
Visual,,,
Visual,Multi-use,,
Visual,,,
Visual,,,
Visual,Performance,Arts Ed,
