id,name,phone,sq_ft_total,address,location,dom_disc_id,sec_disc_id,third_disc_id,neighborhood_id,constituency_id
1,Seattle Architecture Foundation,(206) 667-9184,1200,"1333 5th Ave # 300, Seattle, WA 98101","(47.6091917, -122.3345412)",0,0,0,0,0
2,Artist Trust,(866) 218-7878,3500,"1835 12th Ave, Seattle, WA 98122","(47.6185686, -122.3172487)",0,0,0,0,0
3,826 Seattle/ The Greater Seattle Bureau of Fearless Ideas,(206) 725-2625 ,4608,"8414 Greenwood Ave N, Seattle, WA 98103 ","(47.6902621, -122.3549016)",0,0,0,0,0
4,American Dance Institute,(206) 783-0755,2800,"8001 Greenwood Ave N, Seattle, WA 98103","(47.6870482, -122.3554887)",0,0,0,0,0
5,Art Institute of Seattle,(206) 448-6600,100167,"2323 Elliott Ave, Seattle, WA 98121","(47.6122895, -122.3491939)",0,0,0,0,0
6,Burke Museum,(206) 543-5590,60000,"17 Ave NE and Northeast 45th St, Seattle, WA 98105","(47.6609225, -122.3151058)",0,0,0,0,0
7,Choeizan Enkyoji Nichiren Buddhist Temple,(206) 356-7405,1200,"501 S Jackson St, Suite 202, Seattle, WA 98104","(47.5989593, -122.3271163)",0,0,0,0,0
8,Coyote Central,(206) 323-7276,5000,"2300 E Cherry St, Seattle, WA 98122","(47.6081862, -122.3025461)",0,0,0,0,0
9,Kind Hand Studio (CLOSED),(206) 618-1447,158,"4775 Ballard Ave NW, Seattle, WA 98107","(47.6642404, -122.3810653)",0,0,0,0,0
10,Red Eagle Soaring Native Youth Theatre and Daybreak Star Cultural Center,(206) 829-2219,14000,"3801 W Government Way, Seattle, WA 98199","(47.6576318, -122.406330146408)",0,0,0,0,0
11,School of Visual Concepts,(206) 623-1560,7000,"500 Aurora Ave N, Seattle, WA 98109","(47.6233866, -122.343268063725)",0,0,0,0,0
12,Seattle Art Museum,(206) 654-3210,200000,"1300 1st Ave, Seattle, WA 98101","(47.6071955, -122.3382555)",0,0,0,0,0
13,Seattle Asian Art Museum,(206) 654-3100,15000,"1400 E Prospect St, Seattle, WA 98112","(47.63028375, -122.314199826554)",0,0,0,0,0
14,Seattle Center ArtsED WA in Seattle Center Pavillion,(206) 441-4501,,"158 Thomas St, Seattle, WA 98109","(47.621106, -122.353781749979)",0,0,0,0,0
