id,neighborhood
1,
2,Downtown
3,Capitol Hill
4,Greenwood
5,Belltown
6,University District
7,International
8,Central District
9,Ballard
10,Magnolia
11,South Lake Union
12,Seattle Center in Uptown
13,International District
14,Green Lake
15,Wallingford
16,West Seattle
17,International Districtrict
18,Fremont
19,Beacon Hill
20,Columbia City
21,Lake City
22,Madrona
23,Montlake
24,Sand Point
25,Northgate
26,Queen Anne
27,Rainier Beach
28,South Park
29,First Hill
30,Pioneer Square
31,Georgetown
32,SODO
33,Interbay
34,Greenlake
35,Uptown
36,Ravenna
37,Eastlake
38,Haller Lake
39,Hillman City
40,Crown Hill
41,Phinney Ridge
42,Pinehurst
43,Wedgwood
44,Universtiy District
45,Maple Leaf
46,University
47,Mount Baker
48,Rainier Valley
49,Boeing Field
50,Lake City Way
51,Highland Park
52,Rosetown
53,University District and Laurelhurst/Sand Point
54,Chinatown International District
55,Admiral
56,Madison Valley
57,Leschi
58,Laurelhurst/Sand Point
59,Southside Seattle
60,Mt. Baker
61,Pike Market
62,Loyal Heights
63,Fauntleroy
64,Seattle Center in UptO
65,Alki
