id,Application Permit,Address,Location_id,Project_Information_id,Application_Information_id
39488,6061738,10348 14TH AVE NW,39488,39488,39488
43008,6061979,7722 RAINIER AVE S,43008,43008,43008
39669,6062105,6005 48TH AVE SW,39669,39669,39669
44540,6062155,2822 NE 68TH ST,44540,44540,44540
36554,6062289,4404 2ND AVE NW,36554,36554,36554
40723,6062309,2643 NE VILLAGE LN,40723,40723,40723
48081,6062344,4863 RAINIER AVE S,48081,48081,48081
48666,6062458,615 S BRANDON ST,48666,48666,48666
45989,6062459,2307 PERKINS LN W,45989,45989,45989
49977,6062470,5701 6TH AVE S,49977,49977,49977
39157,6062490,706 NE 43RD ST,39157,39157,39157
44742,6062633,230 40TH AVE E,44742,44742,44742
46739,6062739,3730 SW DONOVAN ST,46739,46739,46739
44204,6062857,5281 45TH AVE SW,44204,44204,44204
38883,6062901,4200 37TH AVE S,38883,38883,38883
48499,6062916,924 23RD AVE S,48499,48499,48499
14616,6062967,416 E HARRISON ST,14616,14616,14616
47163,6063012,3656 34TH AVE S,47163,47163,47163
44826,6063016,323 33RD AVE E,44826,44826,44826
43968,6063017,2441 QUEEN ANNE AVE N,43968,43968,43968
45434,6063022,435 M L KING JR WAY S,45434,45434,45434
39582,6063091,3225 EAST MARGINAL WAY S,39582,39582,39582
48228,6063101,8621 RENTON AVE S,48228,48228,48228
37633,6063112,305 HARRISON ST,37633,37633,37633
38847,6063137,1409 MCGILVRA BLVD E,38847,38847,38847
44529,6063381,2515 DEXTER AVE N,44529,44529,44529
47840,6063435,2622 MAYFAIR AVE N,47840,47840,47840
45764,6063502,10401 47TH AVE SW,45764,45764,45764
45650,6063524,3828 19TH AVE SW,45650,45650,45650
43055,6063704,1627 N 103RD ST,43055,43055,43055
44275,6063801,1306 E REMINGTON CT,44275,44275,44275
49374,6063893,8014 INTERLAKE AVE N,49374,49374,49374
39658,6063931,4229 AIKINS AVE SW,39658,39658,39658
44436,6063936,8606 7TH AVE S,44436,44436,44436
42565,6063942,1205 E PIKE ST,42565,42565,42565
44318,6063944,3518 S HOLDEN ST,44318,44318,44318
8282,6063974,1101 DEXTER AVE N,8282,8282,8282
47849,6063977,4029 BEACH DR SW,47849,47849,47849
47881,6063990,9716 GREENWOOD AVE N,47881,47881,47881
44452,6064035,1 YESLER WAY,44452,44452,44452
43917,6064078,313 W GALER ST,43917,43917,43917
44190,6064342,9286 44TH AVE SW,44190,44190,44190
38315,6064405,3044 38TH AVE SW,38315,38315,38315
49375,6064433,2765 E CHERRY ST,49375,49375,49375
50111,6064551,600 PINE ST,50111,50111,50111
41817,6064705,5049 BROOKLYN AVE NE,41817,41817,41817
49269,6064707,3601 FREMONT AVE N,49269,49269,49269
28155,6064732,506 2ND AVE,28155,28155,28155
47826,6064738,737 N 70TH ST,47826,47826,47826
