id,Application Permit,Action Type,Work Type,Value,Location_id
39488,6061738,ADD/ALT,Plan Review,$140000.00,0
43008,6061979,NEW,Plan Review,$0.00,0
39669,6062105,ADD/ALT,Plan Review,$31838.00,0
44540,6062155,ADD/ALT,Plan Review,$1000.00,0
36554,6062289,ADD/ALT,Plan Review,$21000.00,0
40723,6062309,ADD/ALT,No plan review,$50000.00,0
48081,6062344,ADD/ALT,Plan Review,$0.00,0
48666,6062458,ADD/ALT,Plan Review,$0.00,0
45989,6062459,ADD/ALT,Plan Review,$0.00,0
49977,6062470,ADD/ALT,Plan Review,$0.00,0
39157,6062490,NEW,Plan Review,$808760.00,0
44742,6062633,,Plan Review,$0.00,0
46739,6062739,ADD/ALT,No plan review,$20000.00,0
44204,6062857,,Plan Review,$0.00,0
38883,6062901,NEW,Plan Review,$360871.00,0
48499,6062916,,Plan Review,$0.00,0
14616,6062967,NEW,Plan Review,$3203426.00,0
47163,6063012,,Plan Review,$0.00,0
44826,6063016,NEW,Plan Review,$0.00,0
43968,6063017,ADD/ALT,Plan Review,$10000.00,0
45434,6063022,NEW,Plan Review,$0.00,0
39582,6063091,NEW,Plan Review,$23991375.00,0
48228,6063101,ADD/ALT,Plan Review,$0.00,0
37633,6063112,ADD/ALT,Plan Review,$1400000.00,0
38847,6063137,NEW,Plan Review,$639672.00,0
44529,6063381,,Plan Review,$0.00,0
47840,6063435,ADD/ALT,Plan Review,$0.00,0
45764,6063502,NEW,Plan Review,$0.00,0
45650,6063524,,Plan Review,$0.00,0
43055,6063704,,Plan Review,$0.00,0
44275,6063801,,Plan Review,$0.00,0
49374,6063893,ADD/ALT,Plan Review,$0.00,0
39658,6063931,ADD/ALT,Plan Review,$180000.00,0
44436,6063936,NEW,Plan Review,$0.00,0
42565,6063942,ADD/ALT,Plan Review,$0.00,0
44318,6063944,ADD/ALT,Plan Review,$0.00,0
8282,6063974,ADD/ALT,Plan Review,$20000.00,0
47849,6063977,,Plan Review,$0.00,0
47881,6063990,,Plan Review,$0.00,0
44452,6064035,ADD/ALT,Plan Review,$0.00,0
43917,6064078,NEW,Plan Review,$246000.00,0
44190,6064342,NEW,Plan Review,$0.00,0
38315,6064405,NEW,Plan Review,$336705.00,0
49375,6064433,NEW,Plan Review,$0.00,0
50111,6064551,ADD/ALT,Plan Review,$0.00,0
41817,6064705,NO CONSTRUCTION,Plan Review,$0.00,0
49269,6064707,ADD/ALT,Plan Review,$0.00,0
28155,6064732,ADD/ALT,No plan review,$30000.00,0
47826,6064738,,Plan Review,$0.00,0
48078,6064768,ADD/ALT,Plan Review,$0.00,0
38486,6064850,NEW,Plan Review,$165849.00,0
32466,6064856,NEW,Plan Review,$345484.00,0
39326,6064865,NEW,Plan Review,$274750.00,0
37083,6064872,ADD/ALT,Plan Review,$150000.00,0
48262,6064925,ADD/ALT,Plan Review,$1500000.00,0
43458,6064930,,Plan Review,$0.00,0
43779,6065010,ADD/ALT,Plan Review,$0.00,0
42596,6065058,ADD/ALT,Plan Review,$0.00,0
