id,application_permit,action_type,work_type,value,location_id
44529,6063381,,Plan Review,$0.00,44529
49089,6089997,,Plan Review,$0.00,49089
43796,6110224,,Plan Review,$0.00,43796
9466,6126557,,Plan Review,$0.00,50425
48327,6154647,,Plan Review,$0.00,48327
49541,6172048,,Plan Review,$0.00,49543
46595,6269416,,Plan Review,$0.00,46595
47874,6283324,,Plan Review,$0.00,47874
47221,6297180,,Plan Review,$0.00,47222
44458,6302220,,Plan Review,$0.00,44458
43677,6302939,,Plan Review,$0.00,43678
42234,6308723,,Plan Review,$0.00,42234
40821,6316916,,Plan Review,$0.00,40821
42336,6320201,,Plan Review,$0.00,42336
42083,6320996,,Plan Review,$0.00,42083
49830,6321612,,Plan Review,$0.00,49830
43132,6342969,,Plan Review,$0.00,43132
44652,6348391,,Plan Review,$0.00,44652
45878,6351497,,Plan Review,$0.00,45878
47438,6370020,,Plan Review,$0.00,47438
48492,6386941,,Plan Review,$0.00,48497
40900,6397523,,Plan Review,$0.00,40900
41886,6401001,,Plan Review,$0.00,41887
41609,6402350,,Plan Review,$0.00,41609
40451,6404502,,Plan Review,$0.00,40451
40429,6415099,,Plan Review,$0.00,40430
40352,6417189,,Plan Review,$0.00,40352
39864,6419447,,Plan Review,$0.00,39864
50399,6425076,,Plan Review,$0.00,50425
46868,6427458,,Plan Review,$0.00,46868
40670,6428292,,Plan Review,$0.00,40670
41989,6431089,,Plan Review,$0.00,41989
46368,6451315,,Plan Review,$0.00,46368
40450,6456087,,Plan Review,$0.00,40450
46547,6457240,,Plan Review,$0.00,46548
49318,6463889,,Plan Review,$0.00,49318
47387,6476882,,Plan Review,$0.00,47387
43233,6488267,,Plan Review,$0.00,43233
47822,6500093,,Plan Review,$0.00,47823
24378,6509946,,Plan Review,$0.00,24569
43862,6517564,,Plan Review,$0.00,43868
46467,6518845,,Plan Review,$0.00,46467
37633,6063112,ADD/ALT,Plan Review,$1400000.00,50321
49375,6064433,NEW,Plan Review,$0.00,49375
37083,6064872,ADD/ALT,Plan Review,$150000.00,37083
43779,6065010,ADD/ALT,Plan Review,$0.00,43779
42596,6065058,ADD/ALT,Plan Review,$0.00,42596
44762,6065242,,Plan Review,$0.00,44762
39151,6065683,ADD/ALT,Plan Review,$482000.00,39151
44117,6066121,,Plan Review,$0.00,44117
50281,6066357,,Plan Review,$0.00,50425
41734,6066420,ADD/ALT,Plan Review,$0.00,41734
49675,6066462,ADD/ALT,Plan Review,$16200.00,49675
45840,6066559,ADD/ALT,Plan Review,$0.00,45842
44227,6066608,,Plan Review,$0.00,44228
49191,6066718,,Plan Review,$0.00,49191
48089,6066928,ADD/ALT,Plan Review,$0.00,48089
38863,6066935,NEW,Plan Review,$430808.00,44248
45009,6067218,ADD/ALT,Plan Review,$0.00,45009
47101,6067238,ADD/ALT,Plan Review,$0.00,47101
44610,6067330,ADD/ALT,Plan Review,$0.00,44610
50274,6067395,,Plan Review,$0.00,50425
39654,6067669,NEW,Plan Review,$13000.00,39707
43983,6067814,,Plan Review,$0.00,43983
47152,6067816,NEW,Plan Review,$0.00,47152
50291,6068085,,Plan Review,$0.00,50425
43956,6068106,NEW,Plan Review,$0.00,43956
47549,6068191,ADD/ALT,Plan Review,$100345.00,47549
50285,6068199,,Plan Review,$0.00,50425
6947,6068343,,Plan Review,$0.00,15688
44679,6068436,,Plan Review,$0.00,44679
43979,6068551,NEW,Plan Review,$0.00,43980
46603,6068635,,Plan Review,$0.00,46603
44136,6068660,ADD/ALT,Plan Review,$0.00,44136
47294,6068985,ADD/ALT,Plan Review,$0.00,47294
44081,6069074,,Plan Review,$0.00,44081
50154,6069103,,Plan Review,$0.00,50154
45406,6069134,ADD/ALT,Plan Review,$0.00,45406
46974,6069269,,Plan Review,$0.00,46974
49309,6069609,,Plan Review,$0.00,49309
48206,6069784,,Plan Review,$0.00,48206
43318,6069805,,Plan Review,$0.00,43318
46046,6069810,,Plan Review,$0.00,46046
48072,6069811,,Plan Review,$0.00,48072
44283,6069886,ADD/ALT,Plan Review,$0.00,44283
49283,6069959,,Plan Review,$0.00,49283
50289,6070254,,Plan Review,$0.00,50425
46909,6070416,,Plan Review,$0.00,46912
46911,6070513,,Plan Review,$0.00,46912
44397,6070874,ADD/ALT,Plan Review,$0.00,44397
44198,6070889,ADD/ALT,Plan Review,$5000.00,44198
9763,6070929,,Plan Review,$0.00,38462
46038,6071233,,Plan Review,$0.00,46038
39729,6071686,,No plan review,$0.00,39729
44448,6071766,,Plan Review,$0.00,44448
50263,6072030,NO CONSTRUCTION,No plan review,$0.00,50425
39680,6072499,NEW,Plan Review,$220277.00,39680
47007,6072716,,Plan Review,$0.00,47008
44839,6072854,,Plan Review,$0.00,44839
39722,6073079,ADD/ALT,Plan Review,$30000.00,46576
16050,6073452,NEW,Plan Review,$400000.00,16050
48633,6074443,,Plan Review,$0.00,48633
50173,6074471,,Plan Review,$0.00,50173
44425,6074482,ADD/ALT,Plan Review,$0.00,44425
30966,6074870,NEW,Plan Review,$1674753.00,30966
43483,6075196,NEW,Plan Review,$0.00,43483
8121,6075547,,Plan Review,$0.00,50425
45346,6075656,ADD/ALT,No plan review,$0.00,45346
39690,6075673,NEW,Plan Review,$8000000.00,50173
46485,6075696,ADD/ALT,No plan review,$0.00,46485
26070,6076108,,No plan review,$0.00,44839
50328,6076485,,Plan Review,$0.00,50425
15511,6076514,,Plan Review,$0.00,15511
49773,6076767,ADD/ALT,No plan review,$5000.00,49773
44311,6076852,ADD/ALT,Plan Review,$0.00,44311
47296,6076935,ADD/ALT,Plan Review,$0.00,47296
46765,6077285,ADD/ALT,Plan Review,$0.00,46765
47886,6077805,,Plan Review,$0.00,47886
50329,6077893,,Plan Review,$0.00,50425
39665,6078535,ADD/ALT,Plan Review,$22000.00,49680
38480,6079449,ADD/ALT,Plan Review,$50000.00,47734
49832,6079526,ADD/ALT,Plan Review,$20000.00,49832
44304,6079575,,Plan Review,$0.00,44304
46182,6079660,,Plan Review,$0.00,46184
47828,6079739,ADD/ALT,Plan Review,$0.00,47828
5758,6079839,,No plan review,$0.00,5758
44349,6080128,,Plan Review,$0.00,44350
44442,6080176,,Plan Review,$0.00,44442
45005,6080568,,Plan Review,$0.00,45005
9874,6080652,ADD/ALT,Plan Review,$0.00,9874
45060,6081738,NEW,Plan Review,$0.00,45060
43463,6081792,ADD/ALT,Plan Review,$0.00,43463
7708,6082088,,Plan Review,$0.00,50425
43552,6082264,NEW,Plan Review,$0.00,43552
44118,6082295,,Plan Review,$0.00,44118
44195,6082735,,Plan Review,$0.00,44195
